country,group,matrix,R0,social_dist,with_shield
Madagascar,LIC,15,2.7,0.586586682,0.610897382
Nicaragua,LMIC,13,2.7,0.602581197,0.618553765
Grenada,UMIC,13,2.7,0.627705052,0.648240635
Malta,HIC,7,2.7,0.610797544,0.625302379
Madagascar,LIC,15,3,0.55193695,0.560633825
Nicaragua,LMIC,13,3,0.569910374,0.577596897
Grenada,UMIC,13,3,0.594758835,0.60566781
Malta,HIC,7,3,0.577617982,0.585816859
Madagascar,LIC,15,3.5,0.504200873,0.522696962
Nicaragua,LMIC,13,3.5,0.52466468,0.540271128
Grenada,UMIC,13,3.5,0.549261573,0.57008109
Malta,HIC,7,3.5,0.531852363,0.548661986
