Country,R0,Strategy,Total_Population,Incidence,Deaths,Total_Hospitalied,Peak_Hospital_Bed_Demand,Total_Critical,Peak_Critical_Care_Demand
Afghanistan,2.7,Unmitigated,38928341,35357561,76681,558886,215906,101513,35544
Albania,2.7,Unmitigated,2877800,2383132,18086,92260,31413,23919,6835
Algeria,2.7,Unmitigated,43851043,37862087,186181,1092963,411325,245965,79265
Angola,2.7,Unmitigated,32866268,29417602,56944,432256,164934,75497,25996
Antigua and Barbuda,2.7,Unmitigated,97928,81304,478,2660,913,633,185
Argentina,2.7,Unmitigated,45195777,37810500,245131,1215093,427496,325708,95478
Armenia,2.7,Unmitigated,2963234,2526291,16994,90748,31405,22579,6584
Aruba,2.7,Unmitigated,106766,85584,695,3508,1210,920,264
Australia,2.7,Unmitigated,25499881,21303785,173033,837866,289248,229083,65966
Austria,2.7,Unmitigated,9006400,7298218,71169,331109,112821,94193,26436
Azerbaijan,2.7,Unmitigated,10139175,8854219,41426,266070,92925,55400,16805
Bahamas,2.7,Unmitigated,393248,329193,1708,10030,3442,2256,665
Bahrain,2.7,Unmitigated,1701583,1506019,4313,38339,14205,5744,1952
Bangladesh,2.7,Unmitigated,164689383,150844770,627829,3846024,1475798,831657,276596
Barbados,2.7,Unmitigated,287371,229655,2149,9743,3417,2848,816
Belarus,2.7,Unmitigated,9449321,7857973,63441,324039,110789,84510,24270
Belgium,2.7,Unmitigated,11589616,10032592,104637,469478,172617,138852,41959
Belize,2.7,Unmitigated,397621,343053,1269,7800,2760,1677,515
Benin,2.7,Unmitigated,12123198,10932833,28106,190738,73062,37296,12576
Bhutan,2.7,Unmitigated,771612,706098,3225,18499,7110,4244,1401
Bolivia,2.7,Unmitigated,11673029,10050942,47028,251967,89844,62422,18818
Bosnia and Herzegovina,2.7,Unmitigated,3280815,2685139,23621,118455,40053,31322,8837
Botswana,2.7,Unmitigated,2351625,2139152,7031,46455,17671,9336,3128
Brazil,2.7,Unmitigated,212559409,176359160,1045803,5676994,1955366,1391244,404564
Brunei Darussalam,2.7,Unmitigated,437483,388687,1736,11789,4438,2305,761
Bulgaria,2.7,Unmitigated,6948445,5612261,55600,261117,88726,73601,20657
Burkina Faso,2.7,Unmitigated,20903278,18786098,37906,287068,109920,50316,17289
Burundi,2.7,Unmitigated,11890781,10650068,21235,158964,60762,28239,9816
Cabo Verde,2.7,Unmitigated,555988,503742,1956,12275,4647,2596,852
Cambodia,2.7,Unmitigated,16718971,14385869,53284,357625,134051,70914,23384
Cameroon,2.7,Unmitigated,26545864,23942742,52550,389076,148421,69891,24011
Canada,2.7,Unmitigated,37742157,32097457,308397,1440550,517520,407825,121167
Central African Republic,2.7,Unmitigated,4829764,4361444,9789,68631,26399,12896,4460
Chad,2.7,Unmitigated,16425859,14694912,29866,213507,82086,39415,13544
Channel Islands,2.7,Unmitigated,173859,142533,1288,6198,2114,1712,483
Chile,2.7,Unmitigated,19116209,15610695,112254,561688,194647,148415,42797
China,2.7,Unmitigated,1439323774,1268839039,9546963,52176135,19137753,12653815,3963466
"China, Taiwan Province of China",2.7,Unmitigated,23816775,20831660,202895,988594,356794,269140,80966
Colombia,2.7,Unmitigated,50882884,42605493,239518,1299277,450319,316581,92757
Comoros,2.7,Unmitigated,869595,786981,1988,14298,5442,2643,900
"Congo, Dem. Rep.",2.7,Unmitigated,89561404,80310584,190699,1305196,501123,253853,86239
"Congo, Rep.",2.7,Unmitigated,5518092,4985683,11550,86954,33036,15381,5270
Costa Rica,2.7,Unmitigated,5094114,4210088,26415,139391,48104,35073,10207
Cote d'Ivoire,2.7,Unmitigated,26378275,23782494,54546,397283,151651,72369,24674
Croatia,2.7,Unmitigated,4105268,3305464,33604,153878,52478,44459,12454
Cuba,2.7,Unmitigated,11326616,8979924,80962,385283,133684,107615,30732
Curacao,2.7,Unmitigated,164100,131390,1249,5694,2005,1653,479
Cyprus,2.7,Unmitigated,1207361,1014141,7498,38531,13203,9942,2852
Czechia,2.7,Unmitigated,10708982,8746424,80960,388399,132395,107238,30310
Denmark,2.7,Unmitigated,5792203,4685197,44748,206928,70583,59414,16721
Djibouti,2.7,Unmitigated,988002,896042,3205,21170,7995,4259,1408
Dominican Republic,2.7,Unmitigated,10847904,9256016,45100,250351,87952,59938,17845
Ecuador,2.7,Unmitigated,17643060,15046029,72550,404083,141910,96322,28697
Egypt,2.7,Unmitigated,102334403,92580972,354287,2201525,835745,471782,155477
El Salvador,2.7,Unmitigated,6486201,5512433,28953,152191,53748,38474,11425
Equatorial Guinea,2.7,Unmitigated,1402985,1256860,2537,20615,7731,3387,1154
Eritrea,2.7,Unmitigated,3546427,3220640,10109,61471,23826,13500,4555
Estonia,2.7,Unmitigated,1326539,1079276,10615,48106,16561,14048,3983
Eswatini,2.7,Unmitigated,1160164,1056481,3060,19544,7523,4083,1377
