"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"1",3,3.5,"unmitigated",1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2",3,3.5,"unmitigated",2,0,2,5,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"3",3,3.5,"unmitigated",3,1,4,8.52499999999999,0,0,0,1,4,8.52499999999999,0,0,1,0,0,0,0,0,0
"4",3,3.5,"unmitigated",4,1,6,11,0,0,0,1,6,11,0,0,0.524999999999991,0,0,0,0,0,0
"5",3,3.5,"unmitigated",5,2.475,8,13.525,0,0,1,2.475,8,13.525,0,0,0.524999999999991,0,0,0,0,0,0
"6",3,3.5,"unmitigated",6,4,9,18.525,0,0,0,4,9,18.525,0,0,1,0,0,0,0,0,0
"7",3,3.5,"unmitigated",7,4,11,21.525,0,0,1,4,11,21.525,0,0,1,0,0,1,0,0,0
"8",3,3.5,"unmitigated",8,4,14,27,0,0,1,4,14,27,0,0,1,0,0,1,0,0,0
"9",3,3.5,"unmitigated",9,6.475,16,33,0,0,1,6.475,16,33,0,0,1,0,0,2,0,0,0
"10",3,3.5,"unmitigated",10,9.475,21.5,40.05,0,0,1,9.475,21.5,40.05,0,0,1,0,0,2,0,0,0
"11",3,3.5,"unmitigated",11,9.475,27,52.1499999999999,0,0,1,9.475,27,52.1499999999999,0,0,1,0,1,3,0,0,0
"12",3,3.5,"unmitigated",12,14.475,33,60.625,0,0,1,14.475,33,60.625,0,0,2,0,1,3.52499999999999,0,0,0
"13",3,3.5,"unmitigated",13,16.95,43,73.05,0,0,1,16.95,43,73.05,0,0,1,0,1,4.52499999999999,0,0,0
"14",3,3.5,"unmitigated",14,18.9,53.5,94.05,0,0,1,18.9,53.5,94.05,0,0,1,0,2,5,0,0,0
"15",3,3.5,"unmitigated",15,27.95,64.5,125.05,0,0,2,27.95,64.5,125.05,0,0,1,0,2,5.52499999999999,0,0,0
"16",3,3.5,"unmitigated",16,32.95,83.5,157.15,0,0,2,32.95,83.5,157.15,0,0,2,0,3,7,0,0,1
"17",3,3.5,"unmitigated",17,37.275,105.5,194,0,0,2,37.275,105.5,194,0,0,2,0,3,9.04999999999998,0,0,1
"18",3,3.5,"unmitigated",18,56.375,126.5,239.625,0,0,2.52499999999999,56.375,126.5,239.625,0,0,2,0.475,4,12,0,0,1
"19",3,3.5,"unmitigated",19,62.425,162,302.875,0,0,3.52499999999999,62.425,162,302.875,0,1,3,1,5,13.525,0,0,1
