"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"1",4,3.5,"unmitigated",1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2",4,3.5,"unmitigated",2,0,2,5,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"3",4,3.5,"unmitigated",3,1,4,8.52499999999999,0,0,1,1,4,8.52499999999999,0,0,1,0,0,0,0,0,0
"4",4,3.5,"unmitigated",4,2.475,6,12.525,0,0,0,2.475,6,12.525,0,0,1,0,0,0,0,0,0
"5",4,3.5,"unmitigated",5,4,8,16,0,0,1,4,8,16,0,0,1,0,0,0,0,0,0
"6",4,3.5,"unmitigated",6,4,10,19,0,0,1,4,10,19,0,0,1,0,0,0,0,0,0
"7",4,3.5,"unmitigated",7,5.475,11,22.525,0,0,1,5.475,11,22.525,0,0,1,0,0,1,0,0,0
"8",4,3.5,"unmitigated",8,5,15,28,0,0,1,5,15,28,0,0,1,0,0,1,0,0,0
"9",4,3.5,"unmitigated",9,9.475,19,35.575,0,0,1,9.475,19,35.575,0,0,1,0,0,2,0,0,0
"10",4,3.5,"unmitigated",10,10,23.5,46.575,0,0,1.52499999999999,10,23.5,46.575,0,0,1,0,1,3.52499999999999,0,0,0
"11",4,3.5,"unmitigated",11,11.475,28,61,0,0,1.52499999999999,11.475,28,61,0,0,1,0,1,4.52499999999999,0,0,0
"12",4,3.5,"unmitigated",12,18.475,37,70.625,0,0,1,18.475,37,70.625,0,0,2,0,1,5,0,0,0
"13",4,3.5,"unmitigated",13,20.95,47.5,85.525,0,0,2,20.95,47.5,85.525,0,0,1.52499999999999,0,2,6,0,0,0
"14",4,3.5,"unmitigated",14,30.475,57,113.1,0,0,2,30.475,57,113.1,0,0,1.52499999999999,0,3,6.52499999999999,0,0,0
"15",4,3.5,"unmitigated",15,35.475,73,130.05,0,0,2.52499999999999,35.475,73,130.05,0,0,2,0,3,8,0,0,0
"16",4,3.5,"unmitigated",16,41.95,94.5,169.525,0,0,2,41.95,94.5,169.525,0,0,2,0,4,9,0,0,1
"17",4,3.5,"unmitigated",17,55.475,116,211.575,0,0,3,55.475,116,211.575,0,1,3,0.475,5,11,0,0,1
"18",4,3.5,"unmitigated",18,69.9,145.5,269.575,0,0.5,2.52499999999999,69.9,145.5,269.575,0,1,4,0.475,6,12.525,0,0,1
"19",4,3.5,"unmitigated",19,88.85,190.5,335.25,0,1,3.52499999999999,88.85,190.5,335.25,0,1,4,1.475,7,16,0,0,2
"20",4,3.5,"unmitigated",20,110.95,228.5,437.575,0,1,3,110.95,228.5,437.575,0,1,4,3,10,18,0,0,2
"21",4,3.5,"unmitigated",21,137.375,280.5,536.65,0,1,4,137.375,280.5,536.65,0,2,6,4.475,12,24.525,0,0,2
"22",4,3.5,"unmitigated",22,180.95,361,677.1,0,2,4.52499999999999,180.95,361,677.1,0,2,7.52499999999999,6,14,28.05,0,0,2.52499999999999
"23",4,3.5,"unmitigated",23,230.375,459.5,835.45,0,2,6,230.375,459.5,835.45,0,3,6,8,18,36.625,0,1,3
"24",4,3.5,"unmitigated",24,260.425,569,1098.525,0,2,8.52499999999999,260.425,569,1098.525,0,3,9.04999999999998,9.475,23,43.05,0,1,3.52499999999999
"25",4,3.5,"unmitigated",25,333.6,715,1323.55,0.475,4,9,333.6,715,1323.55,0,5,11.525,12.475,28.5,55.1,0,1,4
"26",4,3.5,"unmitigated",26,440.475,929,1691.175,0.475,4,11,440.475,929,1691.175,0.475,5,15.525,13.475,37,65.625,0,1,4
"27",4,3.5,"unmitigated",27,549.125,1172,2177.875,0,6,13.05,549.125,1172,2177.875,2,7,15.525,17,45,85.6749999999999,0,1,4.52499999999999
"28",4,3.5,"unmitigated",28,691.9,1471.5,2696.425,2,6,16.525,691.9,1471.5,2696.425,3,10,19,21.475,56,110.2,0,2,5.52499999999999
