"","country","R0","output_type","time","unmitigated","supp_1_time","supp_2_time","supp_4_time","supp_8_time","supp_16_time","supp_32_time"
"1",1,2.7,"lower_inc",1,0,0,0,0,0,0,0
"2",1,2.7,"lower_inc",2,0,0,0,0,0,0,0
"3",1,2.7,"lower_inc",3,0.475,0,1,1,1,1,0.475
"4",1,2.7,"lower_inc",4,1,1,2,1,1.475,2,1
"5",1,2.7,"lower_inc",5,1,2,2,2,3,1.475,2.475
"6",1,2.7,"lower_inc",6,3,3,3,2.475,2.475,4,3
"7",1,2.7,"lower_inc",7,3,4,4,4,4,4.475,4
"8",1,2.7,"lower_inc",8,5,4.475,5.475,4.475,5,4,5
"9",1,2.7,"lower_inc",9,5,6,5.475,5.475,6,5,7
"10",1,2.7,"lower_inc",10,6,6,6,6.475,9,6.475,7
"11",1,2.7,"lower_inc",11,9,9,8.475,9,9,8,8
"12",1,2.7,"lower_inc",12,9,10,11,8.95,10.475,8.475,11
"13",1,2.7,"lower_inc",13,10.95,11.475,10.95,14,13,13.475,10.475
"14",1,2.7,"lower_inc",14,15.475,12.95,14.475,17.475,12.95,13.95,14
"15",1,2.7,"lower_inc",15,17.95,15,15,18.95,18.475,18.475,16.475
"16",1,2.7,"lower_inc",16,18.425,21.425,16.475,25,19.425,15.85,19.475
"17",1,2.7,"lower_inc",17,25.475,22.475,23.95,21.95,28.475,22.475,22.475
"18",1,2.7,"lower_inc",18,25.85,29.95,31.375,29.475,29.95,22.475,30.475
"19",1,2.7,"lower_inc",19,31.425,35.425,31,34.95,35.85,29.85,31.475
"20",1,2.7,"lower_inc",20,46.225,37.475,40.95,46.9,42.275,37.475,42.425
"21",1,2.7,"lower_inc",21,53,42.425,49.425,47,50.375,41.65,51.375
"22",1,2.7,"lower_inc",22,64.85,60.9,55.425,59.475,65.425,52.55,52.175
"23",1,2.7,"lower_inc",23,68.95,68.85,72.325,78.425,67.275,61.975,76.475
"24",1,2.7,"lower_inc",24,89.425,82.475,84.475,81.95,96.425,80.05,75.425
"25",1,2.7,"lower_inc",25,105.375,102.475,100.95,101.225,93.325,76.325,94.95
"26",1,2.7,"lower_inc",26,125.85,105.475,113.475,124.65,123,106.475,104.75
"27",1,2.7,"lower_inc",27,135.075,137.375,144.425,154.325,143.475,120.4,125.85
"28",1,2.7,"lower_inc",28,189.95,167.375,161.175,190.225,156.6,144.45,171.425
"29",1,2.7,"lower_inc",29,207.025,193.275,194.85,200.425,207.8,181.775,188.9
"30",1,2.7,"lower_inc",30,236.475,241.7,227.45,250.725,227.5,199.575,235.4
"31",1,2.7,"lower_inc",31,294.85,274.125,287.025,292.425,280.5,261.95,304.375
"32",1,2.7,"lower_inc",32,361.65,344,328.775,351.6,336.775,290.675,328.175
"33",1,2.7,"lower_inc",33,419,396.75,394.175,432.325,382.6,340.375,385.7
"34",1,2.7,"lower_inc",34,510.7,472.225,463.425,490.7,476.95,424.975,499.4
"35",1,2.7,"lower_inc",35,606.65,562.7,557.65,588.325,578.5,501.725,571.35
"36",1,2.7,"lower_inc",36,717.225,668.675,669.95,674.875,684.175,593.425,695.75
"37",1,2.7,"lower_inc",37,891.4,796.95,805.175,811.15,827.2,717.3,852.175
"38",1,2.7,"lower_inc",38,1056.125,970.375,954.3,966.825,965.175,833.75,995.775
"39",1,2.7,"lower_inc",39,1250.625,1155.825,1132.4,1175.15,1192.925,1023.025,1148.125
"40",1,2.7,"lower_inc",40,1515.25,1383.425,1368.925,1388.4,1390.125,1206.575,1374.9
"41",1,2.7,"lower_inc",41,1816.325,1623.175,1643.875,1611.825,1676.1,1442.9,1665.35
"42",1,2.7,"lower_inc",42,2089.825,1989.275,2016.625,2027.325,1954.3,1659.775,2015.725
"43",1,2.7,"lower_inc",43,2545.05,2332.65,2356.75,2394.875,2346.15,2047.5,2348.9
"44",1,2.7,"lower_inc",44,3029.875,2820.325,2700.85,2809.3,2866.95,2407.675,2768.025
"45",1,2.7,"lower_inc",45,3671.575,3374.825,3348.625,3398.9,3286.65,2875.975,3272.125
"46",1,2.7,"lower_inc",46,4277.825,3939.575,3918.175,4029.375,4067.025,3434.575,4023.45
"47",1,2.7,"lower_inc",47,5260.025,4700.75,4746.7,4775.625,4763.05,4101.7,4711.25
"48",1,2.7,"lower_inc",48,6042.65,5544.975,5667.325,5680.025,5757.85,4849.125,5678.75
"49",1,2.7,"lower_inc",49,7341.65,6702.55,6712.3,6781.075,6757.85,5864.7,6696
"50",1,2.7,"lower_inc",50,8715.2,7931.45,8103.775,8083.65,8055.125,7050.375,7870.575
"51",1,2.7,"lower_inc",51,10422.225,9158.025,9566.05,9582.775,9796.875,8459.625,9740.325
