"","country","R0","time","measure","none","incomplete"
"1",3,3,1,"lower",0,0
"2",3,3,2,"lower",0,0
"3",3,3,3,"lower",0,0
"4",3,3,4,"lower",0,0
"5",3,3,5,"lower",0,0
"6",3,3,6,"lower",0,0
"7",3,3,7,"lower",0,0
"8",3,3,8,"lower",0,0
"9",3,3,9,"lower",0,0
"10",3,3,10,"lower",0,0
"11",3,3,11,"lower",0,0
"12",3,3,12,"lower",0,0
"13",3,3,13,"lower",0,0
"14",3,3,14,"lower",0,0
"15",3,3,15,"lower",0,0
"16",3,3,16,"lower",0,0
"17",3,3,17,"lower",0,0
"18",3,3,18,"lower",0,0
"19",3,3,19,"lower",0,0
"20",3,3,20,"lower",0,0
"21",3,3,21,"lower",0,0
"22",3,3,22,"lower",0,0
"23",3,3,23,"lower",0,0
"24",3,3,24,"lower",0,0
"25",3,3,25,"lower",0,0
"26",3,3,26,"lower",0,0
"27",3,3,27,"lower",0,0
"28",3,3,28,"lower",0,0
"29",3,3,29,"lower",0,0
"30",3,3,30,"lower",0,0
"31",3,3,31,"lower",0,0
"32",3,3,32,"lower",0,0
"33",3,3,33,"lower",0,0
"34",3,3,34,"lower",0,0
"35",3,3,35,"lower",0,0
"36",3,3,36,"lower",0,1
"37",3,3,37,"lower",1,1
"38",3,3,38,"lower",1,1
"39",3,3,39,"lower",1,2
"40",3,3,40,"lower",1.475,2
"41",3,3,41,"lower",2,2.475
"42",3,3,42,"lower",3,4
"43",3,3,43,"lower",3.475,5
"44",3,3,44,"lower",6,5.475
"45",3,3,45,"lower",5.95,7
"46",3,3,46,"lower",8.475,7.95
"47",3,3,47,"lower",10.475,10
"48",3,3,48,"lower",11.95,12.95
"49",3,3,49,"lower",16.9,16.425
"50",3,3,50,"lower",21.475,20.375
"51",3,3,51,"lower",23.475,25.85
"52",3,3,52,"lower",29.475,32
"53",3,3,53,"lower",38.95,39.475
"54",3,3,54,"lower",47.425,50.475
"55",3,3,55,"lower",59.425,63.375
"56",3,3,56,"lower",75.8,77.9
"57",3,3,57,"lower",90.8,98
"58",3,3,58,"lower",111.125,112.7
"59",3,3,59,"lower",132.45,141.7
"60",3,3,60,"lower",158.4,171.275
"61",3,3,61,"lower",190.625,211.85
"62",3,3,62,"lower",231.525,254.175
"63",3,3,63,"lower",273.2,304.925
"64",3,3,64,"lower",320.25,373.625
"65",3,3,65,"lower",393.9,456.025
"66",3,3,66,"lower",480.875,553.6
"67",3,3,67,"lower",576.6,671.8
"68",3,3,68,"lower",688.75,821.525
"69",3,3,69,"lower",860.275,1022.675
"70",3,3,70,"lower",1049.175,1246.2
"71",3,3,71,"lower",1292.125,1483.1
"72",3,3,72,"lower",1551.05,1790.375
"73",3,3,73,"lower",1880.5,2079.7
"74",3,3,74,"lower",2251.625,2319.425
"75",3,3,75,"lower",2739.375,2535.35
"76",3,3,76,"lower",3293.8,2681.45
"77",3,3,77,"lower",3950.075,2754.725
"78",3,3,78,"lower",4697.475,2771.025
"79",3,3,79,"lower",5619.275,2715.85
"80",3,3,80,"lower",6770.425,2606.05
"81",3,3,81,"lower",8076.975,2476.6
"82",3,3,82,"lower",9638.85,2351.65
"83",3,3,83,"lower",11381.525,2210.75
"84",3,3,84,"lower",13381.625,2083.75
"85",3,3,85,"lower",15623.55,1960.95
"86",3,3,86,"lower",18042.9,1913.025
"87",3,3,87,"lower",20650.4,1823.5
"88",3,3,88,"lower",23367.675,1733.35
"89",3,3,89,"lower",26246.2,1650.175
"90",3,3,90,"lower",29252.95,1567.725
"91",3,3,91,"lower",32252.05,1473.725
"92",3,3,92,"lower",35117.225,1422.725
"93",3,3,93,"lower",37696.1,1358.225
"94",3,3,94,"lower",39192.925,1268.175
"95",3,3,95,"lower",37568.975,1219.75
"96",3,3,96,"lower",35157.375,1153.3
"97",3,3,97,"lower",32602.75,1086.675
"98",3,3,98,"lower",30033.85,1037.775
"99",3,3,99,"lower",27469.95,996.9
"100",3,3,100,"lower",24913.6,932.225
"101",3,3,101,"lower",22544.275,883.425
"102",3,3,102,"lower",20254.775,817.375
"103",3,3,103,"lower",18115.325,767.9
"104",3,3,104,"lower",16036.95,731.375
"105",3,3,105,"lower",14150.675,700.475
"106",3,3,106,"lower",12499.125,653.75
"107",3,3,107,"lower",10976.275,619
"108",3,3,108,"lower",9565.7,582.425
"109",3,3,109,"lower",8311.45,550.9
"110",3,3,110,"lower",7231.075,526.75
"111",3,3,111,"lower",6301.45,496.85
"112",3,3,112,"lower",5495.8,468.2
"113",3,3,113,"lower",4767.8,435.975
