"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"1",4,3,"unmitigated",1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2",4,3,"unmitigated",2,0,2,5,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"3",4,3,"unmitigated",3,0.475,4,10.525,0,0,0.524999999999991,0.475,4,10.525,0,0,1,0,0,0,0,0,0
"4",4,3,"unmitigated",4,3,6,13,0,0,0,3,6,13,0,0,0.524999999999991,0,0,0,0,0,0
"5",4,3,"unmitigated",5,3,7,14,0,0,0,3,7,14,0,0,1,0,0,0,0,0,0
"6",4,3,"unmitigated",6,3.475,10,19.525,0,0,1,3.475,10,19.525,0,0,1,0,0,0,0,0,0
"7",4,3,"unmitigated",7,5,12,20,0,0,1,5,12,20,0,0,0.524999999999991,0,0,1,0,0,0
"8",4,3,"unmitigated",8,4,13,29.1,0,0,0.524999999999991,4,13,29.1,0,0,0,0,0,1,0,0,0
"9",4,3,"unmitigated",9,6.475,16,34,0,0,0.524999999999991,6.475,16,34,0,0,1,0,0,2,0,0,0
"10",4,3,"unmitigated",10,9,21,37.575,0,0,0,9,21,37.575,0,0,0.524999999999991,0,0,2,0,0,0
"11",4,3,"unmitigated",11,9.475,24,49.525,0,0,1,9.475,24,49.525,0,0,1,0,1,3,0,0,0
"12",4,3,"unmitigated",12,12.475,30,51.525,0,0,1,12.475,30,51.525,0,0,1,0,1,3,0,0,0
"13",4,3,"unmitigated",13,16.475,34.5,68.525,0,0,1,16.475,34.5,68.525,0,0,1,0,1,4,0,0,0
"14",4,3,"unmitigated",14,20.95,43.5,77.525,0,0,1,20.95,43.5,77.525,0,0,1,0,1,4.52499999999999,0,0,0
"15",4,3,"unmitigated",15,20.475,53,105.625,0,0,1,20.475,53,105.625,0,0,1,0,2,5,0,0,0
