"","country","R0","output_type","time","unmitigated","supp_1_time","supp_2_time","supp_4_time","supp_8_time","supp_16_time","supp_32_time"
"1",4,2.7,"lower_inc",1,0,0,0,0,0,0,0
"2",4,2.7,"lower_inc",2,0,0,0,0,0,0,0
"3",4,2.7,"lower_inc",3,1,0.475,0.475,0.475,1,0,0
"4",4,2.7,"lower_inc",4,1,1,2,1,2,1,1
"5",4,2.7,"lower_inc",5,3,2,1.475,2.475,2,2,3
"6",4,2.7,"lower_inc",6,3,1.475,2,2,3.475,2.475,2.475
"7",4,2.7,"lower_inc",7,3.475,2.475,3.475,2,3,3,4
"8",4,2.7,"lower_inc",8,2.475,3.475,4,4.475,4,4,4
"9",4,2.7,"lower_inc",9,5,2.475,4.475,5,5,5,5.475
"10",4,2.7,"lower_inc",10,6.475,5.475,4.95,4.475,7.475,5,6
"11",4,2.7,"lower_inc",11,7,6,8.475,6.95,9,8,7
"12",4,2.7,"lower_inc",12,8.475,7,7.95,7.475,8.475,8,7.475
"13",4,2.7,"lower_inc",13,12,9.475,11.475,8.425,10.475,10.95,11.475
"14",4,2.7,"lower_inc",14,12.95,8.475,14,11.475,15,9,10.95
"15",4,2.7,"lower_inc",15,17.95,9.475,14.9,12.9,17,15.475,14.475
"16",4,2.7,"lower_inc",16,18.475,16.375,17.375,16.475,18,19,19.95
"17",4,2.7,"lower_inc",17,22.95,19.475,21.95,18.475,23.475,21.475,20.95
"18",4,2.7,"lower_inc",18,29.85,23.475,27.425,19.95,30.475,26.375,27.475
"19",4,2.7,"lower_inc",19,34.425,20.425,28.475,27.475,31.475,28.8,28.475
"20",4,2.7,"lower_inc",20,39.325,25.9,32,34.425,40,31.425,40.475
"21",4,2.7,"lower_inc",21,49.475,39.8,41.7,42.475,51.95,47.95,46.9
"22",4,2.7,"lower_inc",22,61.475,46.475,48.375,42.475,58.425,45.475,50.95
"23",4,2.7,"lower_inc",23,69.95,54.8,53.375,50.475,71,61.9,60.85
"24",4,2.7,"lower_inc",24,82.65,62.85,68.75,62.225,81.9,63.475,81.95
"25",4,2.7,"lower_inc",25,93,71.8,84.325,80.9,102,80.55,90.425
"26",4,2.7,"lower_inc",26,114.9,86.75,96.425,90,124.8,95.8,98.425
"27",4,2.7,"lower_inc",27,137.475,105.8,112.325,117.7,150.475,124,132.8
"28",4,2.7,"lower_inc",28,162.375,143.275,141.275,134.55,177.9,141.075,144
"29",4,2.7,"lower_inc",29,185.425,159.375,156,160.95,204.875,184.225,180.95
"30",4,2.7,"lower_inc",30,236.8,187.55,198.475,181.475,232.925,203.275,201.4
"31",4,2.7,"lower_inc",31,290,224.375,243.325,216.4,284.325,253.95,236.7
"32",4,2.7,"lower_inc",32,357.175,275.6,281.275,253.65,344.7,289.425,292.375
"33",4,2.7,"lower_inc",33,428.75,325.875,331.375,304.4,402.3,361.9,358.7
"34",4,2.7,"lower_inc",34,494.9,359.175,400.95,383.75,469.125,394.3,415.425
"35",4,2.7,"lower_inc",35,563.7,472.8,469.65,431.9,600.975,492.375,484.475
"36",4,2.7,"lower_inc",36,698.375,533.4,574.5,517.35,686.975,542.525,550.425
"37",4,2.7,"lower_inc",37,827.675,626.9,633.425,647.575,802,709.55,691.125
"38",4,2.7,"lower_inc",38,1000.45,778.625,784.95,747.65,968.1,810.6,808.525
"39",4,2.7,"lower_inc",39,1158.85,920.725,930.15,883.025,1133.75,978.55,960.5
"40",4,2.7,"lower_inc",40,1435.95,1107.55,1125.7,1071.025,1371.75,1125.55,1146.6
"41",4,2.7,"lower_inc",41,1658.85,1288.575,1395.475,1267.975,1664.25,1386.75,1352.125
"42",4,2.7,"lower_inc",42,1991.575,1506.425,1583.125,1477.15,1982.05,1627.15,1686.625
"43",4,2.7,"lower_inc",43,2420.375,1812.325,1905.175,1815.775,2360.525,1966.25,1975.4
"44",4,2.7,"lower_inc",44,2838.575,2170.5,2245.55,2155.3,2752.725,2321.675,2308.3
"45",4,2.7,"lower_inc",45,3365.625,2567.675,2769.825,2553.45,3345.35,2841.075,2784.425
"46",4,2.7,"lower_inc",46,4060.675,3109.025,3296.5,3083.65,4012.55,3281.625,3338.7
"47",4,2.7,"lower_inc",47,4882.725,3681.85,3827.5,3625.025,4656.4,4003.75,3955.65
"48",4,2.7,"lower_inc",48,5899.275,4348.525,4638.975,4379.275,5632.175,4764.6,4702.15
"49",4,2.7,"lower_inc",49,6918.475,5194.675,5617.675,5242.225,6656.3,5655.625,5525.25
"50",4,2.7,"lower_inc",50,8244.55,6175.625,6432.575,6165.95,7967.1,6741.125,6628.65
"51",4,2.7,"lower_inc",51,9763.05,7430.225,7907.175,7372.375,9487.075,8025.4,7909.05
"52",4,2.7,"lower_inc",52,11627.5,9005.9,9394.025,8850.175,11208.575,9553.9,9494.55
"53",4,2.7,"lower_inc",53,14176.35,10403.775,11133.35,10304.15,13270.25,11434.875,11159.55
"54",4,2.7,"lower_inc",54,16701.875,12042.25,13177.5,12456.8,15768.025,13588.525,13408.75
"55",4,2.7,"lower_inc",55,19932.5,12318.725,15760.475,14939.925,18920.425,16401.45,16115.225
"56",4,2.7,"lower_inc",56,23488.7,11633.825,18756.3,17755.7,22362.125,19149.55,19084.175
"57",4,2.7,"lower_inc",57,28028.925,10879.975,22311.15,21034.125,26507.425,23019.925,22684.8
"58",4,2.7,"lower_inc",58,33252.075,10110.025,25279.6,25001.675,31698.9,27262.35,26960.05
"59",4,2.7,"lower_inc",59,39592.075,9479.625,25840.95,29727.45,37520.1,32210.725,31820.2
"60",4,2.7,"lower_inc",60,46964.225,8813.075,24742.35,35218.875,44579.75,38175.25,37988.375
"61",4,2.7,"lower_inc",61,55535.075,8435.775,23088.975,42054.5,52792.4,45665.85,45039
"62",4,2.7,"lower_inc",62,65547.1,8069.975,21566.975,47793.875,62652.85,53723.3,53328.45
"63",4,2.7,"lower_inc",63,77416.625,7559.025,20051.225,48520.725,74004.225,63461.05,63165.475
"64",4,2.7,"lower_inc",64,91378.25,7170.675,18818.15,46075.075,87008.65,75022.5,74187.9
"65",4,2.7,"lower_inc",65,107311.675,6786.65,17733.275,42897.425,102411.05,89014.5,87836.575
"66",4,2.7,"lower_inc",66,126324,6451.125,16834.525,39779.575,116286.5,104636.175,103675.15
"67",4,2.7,"lower_inc",67,147758.325,6109.1,16085.75,37205.95,116927.65,122324.85,121783.525
"68",4,2.7,"lower_inc",68,172542.7,5761.975,15038.875,34562.15,110584.625,143396.175,142838.6
"69",4,2.7,"lower_inc",69,200919.375,5572.75,14154.2,32633.925,102179.9,167398.175,166705.25
"70",4,2.7,"lower_inc",70,232376.025,5283.875,13438.925,30674.35,94441.275,188528.275,193733.125
"71",4,2.7,"lower_inc",71,267269.475,4926.1,12786.4,28917.875,87339.35,188584.95,224744.25
"72",4,2.7,"lower_inc",72,306325.85,4626.6,12059.025,27614.475,81424.875,177378.55,259137.45
"73",4,2.7,"lower_inc",73,347718.2,4422.175,11458.45,25783,75907.925,163024.975,297048.325
"74",4,2.7,"lower_inc",74,392679.725,4299.425,10901.2,24437.825,70708.55,149069.7,327966.925
"75",4,2.7,"lower_inc",75,439467.45,3978.8,10203.475,23136.875,66098.4,136721.575,323947.225
"76",4,2.7,"lower_inc",76,486797.525,3784.45,9693.6,21836.175,61913.075,126226.1,299548.075
"77",4,2.7,"lower_inc",77,533992.925,3610.325,9216.425,20536.075,58178.6,117094.25,272183.4
"78",4,2.7,"lower_inc",78,580426.925,3429.85,8603.025,19353.775,54385.65,108234.3,246164.75
"79",4,2.7,"lower_inc",79,620076.175,3228.375,8295.575,18352.7,50970.125,100425.45,221574.65
"80",4,2.7,"lower_inc",80,641147.875,3075.65,7794.825,17278.275,47569.025,92805.875,201041.025
"81",4,2.7,"lower_inc",81,615566,2899.975,7293.9,16296.575,44509.975,86014.025,182732.825
"82",4,2.7,"lower_inc",82,573970.725,2708.125,6944.925,15405.275,41679.95,80003.2,165794.025
"83",4,2.7,"lower_inc",83,531398,2652.2,6609.825,14507.225,38644.75,73840.075,151096.075
"84",4,2.7,"lower_inc",84,484719.725,2464.425,6238.8,13688.05,36170.475,68371.125,137872.6
