"","country","R0","output_type","time","unmitigated","supp_1_time","supp_2_time","supp_4_time","supp_8_time","supp_16_time","supp_32_time"
"1",1,3,"lower_inc",1,0,0,0,0,0,0,0
"2",1,3,"lower_inc",2,0,0,0,0,0,0,0
"3",1,3,"lower_inc",3,1,1,2,1.475,1,1,0.475
"4",1,3,"lower_inc",4,2,2,2.475,2,2.475,2,2.475
"5",1,3,"lower_inc",5,3,4,4,4,4,2.475,3
"6",1,3,"lower_inc",6,5.475,4,6,5.475,5.475,4.475,4
"7",1,3,"lower_inc",7,4.475,4,5,4.475,5,4.475,6
"8",1,3,"lower_inc",8,7.475,5.475,6.475,7.475,7,6,4.475
"9",1,3,"lower_inc",9,9,7.95,10,7,8.475,7,7
"10",1,3,"lower_inc",10,10.475,8.475,12.475,8.425,9.475,11,9
"11",1,3,"lower_inc",11,13,13,15.475,13.475,12.475,11.475,12.425
"12",1,3,"lower_inc",12,16.475,14,17.475,13.475,19,15.475,14.475
"13",1,3,"lower_inc",13,18.475,14,19.9,18.475,22.475,20,16.95
"14",1,3,"lower_inc",14,21.95,22,22,20.95,26,20,21
"15",1,3,"lower_inc",15,30.425,25.325,26.425,33.95,30,23.475,25.425
"16",1,3,"lower_inc",16,34.475,32.475,33.475,34.425,38.95,32.85,29.95
"17",1,3,"lower_inc",17,39.325,39.475,51.475,40.95,45.9,34.475,42
"18",1,3,"lower_inc",18,51.95,43,57.75,55.95,58.425,44.475,52.325
"19",1,3,"lower_inc",19,60.475,56.425,70.375,67.9,67.95,61.9,59.225
"20",1,3,"lower_inc",20,79.025,70.475,87.375,86.425,84.425,81.425,70.75
"21",1,3,"lower_inc",21,92.325,88.475,101.95,104.375,97.975,87.85,99.65
"22",1,3,"lower_inc",22,107.275,99.025,132.275,121.475,123.3,105.375,103.825
"23",1,3,"lower_inc",23,147.475,129.225,146.8,151.475,153.375,126.35,136.8
"24",1,3,"lower_inc",24,184.425,151.775,191.8,178.375,190.225,172.075,164.1
"25",1,3,"lower_inc",25,226.7,191.875,231.65,216.375,242.45,212.425,196.85
"26",1,3,"lower_inc",26,262.875,230.525,291.7,286.125,281.175,243.95,238.9
"27",1,3,"lower_inc",27,306.175,284.1,332.7,337,358.75,297.25,297.15
"28",1,3,"lower_inc",28,411.275,330.075,413.925,399.275,420.225,376.425,373.275
"29",1,3,"lower_inc",29,474.025,409.725,512.975,508.425,482.825,447.6,442.725
"30",1,3,"lower_inc",30,592.925,514.425,612.425,586.3,631.3,559.8,546.125
"31",1,3,"lower_inc",31,690.725,623,776.8,759,765.2,674.075,659.1
"32",1,3,"lower_inc",32,873.9,759.3,923.55,880.7,908.425,810.275,802.85
"33",1,3,"lower_inc",33,1059.25,956.4,1145.625,1119.575,1108.875,1038.675,943.525
"34",1,3,"lower_inc",34,1181.3,1156.725,1379.525,1374.525,1316.45,1220.8,1158.025
"35",1,3,"lower_inc",35,1560.25,1398.625,1647.7,1677.125,1690.1,1524.725,1435.3
"36",1,3,"lower_inc",36,1940.025,1687.675,2103.175,2055.675,2046.125,1787.45,1793.65
