"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"45",2,2.7,"unmitigated",45,1554.325,5700,10875.075,3.95,15,35.05,1554.325,5700,10875.075,3.475,20.5,41,57.6,192.5,382.35,1.475,10,20.525
"46",2,2.7,"unmitigated",46,1779.95,6733,12950,3,17,36,1779.95,6733,12950,6.425,23.5,48.525,65.125,232,456.525,2,12,23.525
"47",2,2.7,"unmitigated",47,2184.925,7996,15361.025,3.475,22,43,2184.925,7996,15361.025,8,30.5,59.6749999999999,77.65,274.5,546.525,3.475,15,27.525
"48",2,2.7,"unmitigated",48,2583.075,9534,18279.275,7,25,52.1,2583.075,9534,18279.275,6.475,33.5,64.525,91.45,334.5,645.2,3.95,17,32
"49",2,2.7,"unmitigated",49,3039.05,11274,21745.2,7.475,31.5,58.625,3039.05,11274,21745.2,10.95,40,76.525,107.25,389,767.8,5.475,19,38.525
"50",2,2.7,"unmitigated",50,3658.8,13411,25841.7,8.9,35,71.575,3658.8,13411,25841.7,12.9,49,93.575,122.525,469,925.725,7,23,45.525
"51",2,2.7,"unmitigated",51,4338.175,16109.5,30477.9,10.475,44.5,83.05,4338.175,16109.5,30477.9,14.9,57.5,101.525,146.275,547.5,1117.85,9.95,27.5,51.525
"52",2,2.7,"unmitigated",52,5158.75,19056.5,36453.525,13.475,51,103.05,5158.75,19056.5,36453.525,15.425,68,135.525,176.35,660,1306.6,11.475,32,58.525
"53",2,2.7,"unmitigated",53,6205.05,22827,43067.55,15,62,121.1,6205.05,22827,43067.55,29.425,79.5,153.525,212.325,787,1561.975,12.95,38.5,72.1
"54",2,2.7,"unmitigated",54,7498.45,26968,51186.675,23.475,69.5,143.15,7498.45,26968,51186.675,29.425,100.5,184.525,251.5,952.5,1850.675,14.425,45,88
"55",2,2.7,"unmitigated",55,8823.05,32039.5,60359.625,21.375,87.5,166.575,8823.05,32039.5,60359.625,33.175,116,215.525,293.95,1128.5,2184,16.95,56.5,104
"56",2,2.7,"unmitigated",56,10334.125,38054,71227.675,31.9,100.5,193.775,10334.125,38054,71227.675,36.9,135.5,258.1,348.65,1342.5,2568.35,20.375,65.5,123
"57",2,2.7,"unmitigated",57,12384.325,45062.5,83911.3,23.85,122.5,224.45,12384.325,45062.5,83911.3,42.9,167.5,305.625,412.65,1600,3074.125,22.9,80,146
"58",2,2.7,"unmitigated",58,14716.65,53238,98665.3,33.75,148.5,266.3,14716.65,53238,98665.3,49.425,198.5,351,499.425,1895,3648.625,27.65,94,178.3
"59",2,2.7,"unmitigated",59,17615.35,63314,115800.2,41.425,164.5,311.775,17615.35,63314,115800.2,61.6,227,441.3,595.425,2266,4327.625,33.55,109.5,212.55
"60",2,2.7,"unmitigated",60,20954.025,74731,135739.275,50.125,201,355.075,20954.025,74731,135739.275,69.55,268.5,500.025,713.575,2683,5118.15,39.4,132.5,258.725
