"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"1",1,2.7,"unmitigated",1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2",1,2.7,"unmitigated",2,0,2,5.52499999999999,0,0,0,0,2,5.52499999999999,0,0,0,0,0,0,0,0,0
"3",1,2.7,"unmitigated",3,1,4,9,0,0,0,1,4,9,0,0,0.524999999999991,0,0,0,0,0,0
"4",1,2.7,"unmitigated",4,2,5,11.525,0,0,0.524999999999991,2,5,11.525,0,0,1,0,0,0,0,0,0
"5",1,2.7,"unmitigated",5,1.475,7,13,0,0,0.524999999999991,1.475,7,13,0,0,0.524999999999991,0,0,0,0,0,0
"6",1,2.7,"unmitigated",6,3,9,15.525,0,0,1,3,9,15.525,0,0,0.524999999999991,0,0,0,0,0,0
"7",1,2.7,"unmitigated",7,5,10,20.05,0,0,0.524999999999991,5,10,20.05,0,0,1,0,0,0.524999999999991,0,0,0
"8",1,2.7,"unmitigated",8,4.475,12,21.05,0,0,0,4.475,12,21.05,0,0,1,0,0,1,0,0,0
"9",1,2.7,"unmitigated",9,5.475,14.5,26,0,0,1,5.475,14.5,26,0,0,0,0,0,1.52499999999999,0,0,0
"10",1,2.7,"unmitigated",10,7.475,16,32.05,0,0,1,7.475,16,32.05,0,0,1,0,0,2,0,0,0
"11",1,2.7,"unmitigated",11,9.475,21,36.05,0,0,1,9.475,21,36.05,0,0,1,0,0,3,0,0,0
"12",1,2.7,"unmitigated",12,9.95,25,42.525,0,0,1,9.95,25,42.525,0,0,1,0,1,4,0,0,0
"13",1,2.7,"unmitigated",13,11.475,28,48,0,0,1,11.475,28,48,0,0,1,0,1,4.52499999999999,0,0,0
"14",1,2.7,"unmitigated",14,15,36,65.625,0,0,1,15,36,65.625,0,0,1.52499999999999,0,1,4.52499999999999,0,0,0
"15",1,2.7,"unmitigated",15,14.95,41.5,75.05,0,0,1,14.95,41.5,75.05,0,0,1,0,1.5,5,0,0,0
"16",1,2.7,"unmitigated",16,19,50.5,86,0,0,1.52499999999999,19,50.5,86,0,0,1,0,2,6.52499999999999,0,0,0.524999999999991
"17",1,2.7,"unmitigated",17,25.95,62,105.1,0,0,1.52499999999999,25.95,62,105.1,0,0,1,0,2,6.52499999999999,0,0,1
"18",1,2.7,"unmitigated",18,29.475,71,116.1,0,0,1,29.475,71,116.1,0,0,2,0,3,7.52499999999999,0,0,1
"19",1,2.7,"unmitigated",19,36.95,83.5,143.775,0,0,2,36.95,83.5,143.775,0,0,1.52499999999999,0,3,8,0,0,1
"20",1,2.7,"unmitigated",20,44.425,102.5,170.625,0,0,1.52499999999999,44.425,102.5,170.625,0,0,2,0,4,9,0,0,1
"21",1,2.7,"unmitigated",21,53,118.5,197.05,0,0,2,53,118.5,197.05,0,0,2.52499999999999,1,5,10.525,0,0,2
"22",1,2.7,"unmitigated",22,60.275,141,245.3,0,0,2,60.275,141,245.3,0,0,2,1,5.5,11.525,0,0,2
"23",1,2.7,"unmitigated",23,75.475,173,301.675,0,0,3,75.475,173,301.675,0,1,2,1,7,13,0,0,2
"24",1,2.7,"unmitigated",24,87.85,209,341.025,0,0,3,87.85,209,341.025,0,1,3,1,8,15,0,0,2
"25",1,2.7,"unmitigated",25,99.75,243.5,429.2,0,1,3,99.75,243.5,429.2,0,1,4,2,9,19.525,0,0,3
"26",1,2.7,"unmitigated",26,120.8,293.5,505.15,0,1,3,120.8,293.5,505.15,0,1,4.52499999999999,4,11,22,0,0,3
"27",1,2.7,"unmitigated",27,140.425,357.5,604.725,0,1,4,140.425,357.5,604.725,0,1,5,4,13,27,0,0,3
"28",1,2.7,"unmitigated",28,182.975,406.5,709.25,0,1,4,182.975,406.5,709.25,0,1,4,5.475,16,29.525,0,1,3
"29",1,2.7,"unmitigated",29,196.9,479.5,826.4,0,1,4,196.9,479.5,826.4,0,2,6,6.95,19,32,0,1,3.52499999999999
