"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"1",1,3,"unmitigated",1,0,0,2.52499999999999,0,0,0,0,0,2.52499999999999,0,0,0,0,0,0,0,0,0
"2",1,3,"unmitigated",2,0,2,6,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
"3",1,3,"unmitigated",3,1,5,10,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0
"4",1,3,"unmitigated",4,2.475,6,13,0,0,0,2.475,6,13,0,0,1,0,0,0,0,0,0
"5",1,3,"unmitigated",5,2.475,8,14.525,0,0,0,2.475,8,14.525,0,0,1,0,0,0,0,0,0
"6",1,3,"unmitigated",6,4,10,20,0,0,0,4,10,20,0,0,0.524999999999991,0,0,0,0,0,0
"7",1,3,"unmitigated",7,5,12,22.525,0,0,1,5,12,22.525,0,0,1,0,0,1,0,0,0
"8",1,3,"unmitigated",8,6.475,15,29,0,0,1,6.475,15,29,0,0,1,0,0,1,0,0,0
"9",1,3,"unmitigated",9,7,18,32.525,0,0,1,7,18,32.525,0,0,1,0,0,2,0,0,0
"10",1,3,"unmitigated",10,9.475,22,40,0,0,1,9.475,22,40,0,0,1,0,0,2,0,0,0
"11",1,3,"unmitigated",11,10.475,26,52,0,0,1,10.475,26,52,0,0,1,0,1,3,0,0,0
"12",1,3,"unmitigated",12,14.475,31.5,64.1,0,0,1,14.475,31.5,64.1,0,0,1,0,1,3.52499999999999,0,0,0
"13",1,3,"unmitigated",13,19,38.5,69.525,0,0,1,19,38.5,69.525,0,0,1,0,1,4,0,0,0
"14",1,3,"unmitigated",14,21.9,48,82.525,0,0,1,21.9,48,82.525,0,0,1,0,2,4,0,0,0
"15",1,3,"unmitigated",15,24,59,105,0,0,1,24,59,105,0,0,1,0,2,5,0,0,0
"16",1,3,"unmitigated",16,32.95,70.5,129.15,0,0,1.52499999999999,32.95,70.5,129.15,0,0,1,0,2,6,0,0,0
"17",1,3,"unmitigated",17,42.425,89.5,163.575,0,0,1,42.425,89.5,163.575,0,0,2,0.475,3,6.52499999999999,0,0,1
"18",1,3,"unmitigated",18,42.7,106,187.625,0,0,1,42.7,106,187.625,0,0,2,1,4,8,0,0,1
"19",1,3,"unmitigated",19,60,133.5,227.45,0,0,2,60,133.5,227.45,0,0,2,1,4,9,0,0,1
"20",1,3,"unmitigated",20,67.85,158.5,287.625,0,0,2,67.85,158.5,287.625,0,0,2,0.475,5,10,0,0,1
"21",1,3,"unmitigated",21,88.375,191.5,346.775,0,1,3,88.375,191.5,346.775,0,0,2.52499999999999,1,6,12.525,0,0,1
"22",1,3,"unmitigated",22,109,234.5,414.975,0,0,2.52499999999999,109,234.5,414.975,0,1,3,2,8,14.525,0,0,2
"23",1,3,"unmitigated",23,130.8,285,520.749999999999,0,1,3,130.8,285,520.749999999999,0,1,4,3.475,9,19.05,0,0,2
"24",1,3,"unmitigated",24,158.7,355.5,600.25,0,1,4,158.7,355.5,600.25,0,1,4.52499999999999,4,11,22.525,0,0,2
"25",1,3,"unmitigated",25,190.85,424,726.875,0,1,4,190.85,424,726.875,0,2,5.52499999999999,4.475,13,26,0,0,2
"26",1,3,"unmitigated",26,222.725,526.5,927.95,0,1,4,222.725,526.5,927.95,0,2,6.04999999999998,5,16.5,32.525,0,0,2.52499999999999
"27",1,3,"unmitigated",27,293.4,655.5,1159.375,0,2,5,293.4,655.5,1159.375,0,2.5,7,7,19.5,38.575,0,1,2.52499999999999
"28",1,3,"unmitigated",28,340.725,779,1370.3,0,2,5.52499999999999,340.725,779,1370.3,0,3,7,10,25,45,0,1,3
"29",1,3,"unmitigated",29,450.875,950.5,1654.325,0,2,7,450.875,950.5,1654.325,1,3,9.04999999999998,12,31,52.525,0,1,3.52499999999999
"30",1,3,"unmitigated",30,518.2,1147,2034.225,1,3,7.52499999999999,518.2,1147,2034.225,0,4,10.525,15,37.5,65.625,0,1,4
"31",1,3,"unmitigated",31,670.025,1397,2494.925,0,4,9.52499999999999,670.025,1397,2494.925,0.475,5,12.525,17.475,47,80.575,0,1.5,4.52499999999999
"32",1,3,"unmitigated",32,806.05,1693,3014.725,1,5,11,806.05,1693,3014.725,1.475,6,15.525,20.475,57.5,98.625,0,2,5.52499999999999
"33",1,3,"unmitigated",33,963.175,2102.5,3635.25,0,5.5,12.525,963.175,2102.5,3635.25,2.475,8,17,28.425,70,120.1,0,2,7.04999999999998
"34",1,3,"unmitigated",34,1169.85,2503.5,4445.425,2,7,15.05,1169.85,2503.5,4445.425,3,9,16,33.475,82,146.15,0,3,7.52499999999999
"35",1,3,"unmitigated",35,1482.075,3110.5,5444.425,2,8,19.1,1482.075,3110.5,5444.425,4,12,22.525,42.375,102,184.55,0,3,9
"36",1,3,"unmitigated",36,1775,3749,6562.825,2.475,10,25.1,1775,3749,6562.825,5,13,31.525,55.425,122,217.7,1,4,10.525
"37",1,3,"unmitigated",37,2117.325,4627,8015.2,5,11,27,2117.325,4627,8015.2,5.475,17,34.525,72,144.5,259.025,1.475,6,13
