"","country","R0","output_type","time","unmitigated","supp_1_time","supp_2_time","supp_4_time","supp_8_time","supp_16_time","supp_32_time"
"1",4,3.5,"lower_inc",1,0,0,0,0,0,0,0
"2",4,3.5,"lower_inc",2,0,0,0,0,0,0,0
"3",4,3.5,"lower_inc",3,1,2,1,2,1,1,1.475
"4",4,3.5,"lower_inc",4,2.475,3,2.475,2.475,2.475,2,2
"5",4,3.5,"lower_inc",5,5,3.475,4,4,4,4,4.475
"6",4,3.5,"lower_inc",6,4.475,6,5,5,5.475,4.475,5
"7",4,3.5,"lower_inc",7,6.475,5.475,5,5,5.475,7.475,7.95
"8",4,3.5,"lower_inc",8,9.95,9.475,7,9,9.95,7.475,7.475
"9",4,3.5,"lower_inc",9,13,11.475,9.475,10,11.475,11.475,11
"10",4,3.5,"lower_inc",10,12.475,11.95,14,17.475,16,15.475,12.475
"11",4,3.5,"lower_inc",11,14.425,18.275,13.95,15.95,17.375,17.425,17.425
"12",4,3.5,"lower_inc",12,22.475,21.425,19.95,26.475,23,24.475,21
"13",4,3.5,"lower_inc",13,26.85,29.475,22.95,29.95,29.95,31,24.9
"14",4,3.5,"lower_inc",14,32.95,31.85,27.95,43.475,36,36.95,36
"15",4,3.5,"lower_inc",15,45.425,44.425,38.375,42.425,54.9,44.95,35
"16",4,3.5,"lower_inc",16,53.375,50.95,46,56,65.425,60.475,51.95
"17",4,3.5,"lower_inc",17,64.125,59.375,61.425,77.95,83.425,69.75,61.425
"18",4,3.5,"lower_inc",18,89.85,75.125,79.6,103.9,97.275,81.7,79.95
"19",4,3.5,"lower_inc",19,103.95,91.35,101.95,129.9,123.225,117.275,108.475
"20",4,3.5,"lower_inc",20,131.95,135.8,129.875,154.95,153.925,157.225,115.425
"21",4,3.5,"lower_inc",21,171.6,155.85,156.95,208.275,195.65,183.325,168.9
"22",4,3.5,"lower_inc",22,215.85,204.75,209.925,256.375,222.275,254.075,200
"23",4,3.5,"lower_inc",23,274.9,269.35,254.05,312.425,324.25,294.3,244.275
"24",4,3.5,"lower_inc",24,336.425,299.675,332.75,404.825,402.225,384.9,299.475
"25",4,3.5,"lower_inc",25,432.775,394.9,413.125,520.95,503.9,485.525,396.35
"26",4,3.5,"lower_inc",26,537.525,502.975,519.425,640.475,612.6,575.925,499.1
"27",4,3.5,"lower_inc",27,648.85,635.05,663.35,782.6,824.8,719.95,634.4
"28",4,3.5,"lower_inc",28,835.425,805.575,829.125,992.425,1012.35,977.1,783.95
"29",4,3.5,"lower_inc",29,1004.9,983,1057.825,1218.875,1245.15,1188.4,950.425
"30",4,3.5,"lower_inc",30,1333.3,1286.05,1343.625,1610.6,1590.525,1459.4,1273.925
"31",4,3.5,"lower_inc",31,1659.125,1595.825,1699.25,1998.15,1992.225,1881.4,1590.05
"32",4,3.5,"lower_inc",32,2108.7,1995.325,2086.275,2578.8,2562.825,2348.325,1983.925
"33",4,3.5,"lower_inc",33,2619.775,2557.8,2608.825,3139.6,3219.325,2933.45,2450.95
"34",4,3.5,"lower_inc",34,3320.2,3103,3290.175,3893.25,3978.225,3678.725,3087.95
"35",4,3.5,"lower_inc",35,4158.7,4058.925,4198.3,4969.425,4988.725,4716.6,3918.15
"36",4,3.5,"lower_inc",36,5245.325,4945,5124.325,6424.25,6368.875,5841.45,4873.6
"37",4,3.5,"lower_inc",37,6579.7,6298.625,6626.25,7985.125,7919.675,7376.8,6180.175
"38",4,3.5,"lower_inc",38,8144.5,7954.8,8248.05,10125.575,10066.025,9287.825,7832.475
"39",4,3.5,"lower_inc",39,10423.175,10041.625,10368.575,12622.775,12581.175,11612.3,9578.625
"40",4,3.5,"lower_inc",40,13081.55,12617.5,13094.325,15856.05,15821.7,14683.25,12290.275
"41",4,3.5,"lower_inc",41,16200.55,15661.25,16419.625,19943.075,19793.85,18359.625,15451.175
"42",4,3.5,"lower_inc",42,20421.05,19719.65,20434.625,25076,24704.175,23202.3,19420.825
"43",4,3.5,"lower_inc",43,25859.5,24759.85,25785.5,31477.65,31041.7,29073.775,24391.475
"44",4,3.5,"lower_inc",44,32267.75,31181.075,32452.75,39564.975,39191.8,36446.625,30633.9
