"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"1",4,2.7,"unmitigated",1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2",4,2.7,"unmitigated",2,0,2,4.52499999999999,0,0,0,0,2,4.52499999999999,0,0,0,0,0,0,0,0,0
"3",4,2.7,"unmitigated",3,0,3,8.52499999999999,0,0,0.524999999999991,0,3,8.52499999999999,0,0,0.524999999999991,0,0,0,0,0,0
"4",4,2.7,"unmitigated",4,1,4,10.525,0,0,1,1,4,10.525,0,0,0,0,0,0,0,0,0
"5",4,2.7,"unmitigated",5,1.475,6,10.525,0,0,1,1.475,6,10.525,0,0,1,0,0,0,0,0,0
"6",4,2.7,"unmitigated",6,2,6.5,13.525,0,0,0.524999999999991,2,6.5,13.525,0,0,1,0,0,0,0,0,0
"7",4,2.7,"unmitigated",7,2,9,17,0,0,1,2,9,17,0,0,1,0,0,1,0,0,0
"8",4,2.7,"unmitigated",8,3,9,19.625,0,0,1,3,9,19.625,0,0,1,0,0,1.52499999999999,0,0,0
"9",4,2.7,"unmitigated",9,3,11,21.525,0,0,1,3,11,21.525,0,0,1,0,0,2,0,0,0
"10",4,2.7,"unmitigated",10,3,13,26.525,0,0,1,3,13,26.525,0,0,1,0,1,2.52499999999999,0,0,0
"11",4,2.7,"unmitigated",11,5,16,28,0,0,1,5,16,28,0,0,1,0,1,3,0,0,0
"12",4,2.7,"unmitigated",12,4,16,35.05,0,0,1,4,16,35.05,0,0,1,0,1,3.52499999999999,0,0,0
"13",4,2.7,"unmitigated",13,5.475,19,41.525,0,0,0,5.475,19,41.525,0,0,1,0,1,4,0,0,0
"14",4,2.7,"unmitigated",14,8.475,24.5,46.525,0,0,1,8.475,24.5,46.525,0,0,1.52499999999999,0,2,4.52499999999999,0,0,0
"15",4,2.7,"unmitigated",15,7.475,30,62.575,0,0,1,7.475,30,62.575,0,0,1.52499999999999,0,2,5.52499999999999,0,0,0
"16",4,2.7,"unmitigated",16,9.425,36,68,0,0,1.52499999999999,9.425,36,68,0,0,2,0,3,5.52499999999999,0,0,1
"17",4,2.7,"unmitigated",17,10,42,85,0,0,1.52499999999999,10,42,85,0,0,1.52499999999999,0,3,7,0,0,1
"18",4,2.7,"unmitigated",18,11.475,49,103.525,0,0,1,11.475,49,103.525,0,0,2,0,3,7,0,0,1
"19",4,2.7,"unmitigated",19,13.475,59.5,126.525,0,0,2,13.475,59.5,126.525,0,0,2,0.475,4,9,0,0,1
"20",4,2.7,"unmitigated",20,21.95,70,146.25,0,0,1.52499999999999,21.95,70,146.25,0,0,2,1,5,10,0,0,1.52499999999999
"21",4,2.7,"unmitigated",21,23.375,82,174.575,0,0,2.52499999999999,23.375,82,174.575,0,0,2,1,6,12,0,0,2
"22",4,2.7,"unmitigated",22,24.95,93.5,213.925,0,0,2,24.95,93.5,213.925,0,0,3,1,7,13,0,0,2
"23",4,2.7,"unmitigated",23,33.95,116.5,259.05,0,0,3,33.95,116.5,259.05,0,1,3,1,8,16,0,0,3
"24",4,2.7,"unmitigated",24,39.325,133,309.825,0,0,3,39.325,133,309.825,0,1,4,2,9,20,0,1,3
