"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"1",1,3.5,"unmitigated",1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2",1,3.5,"unmitigated",2,0,3,7,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0
"3",1,3.5,"unmitigated",3,1.475,5,10,0,0,0.524999999999991,1.475,5,10,0,0,0,0,0,0,0,0,0
"4",1,3.5,"unmitigated",4,1.475,8,14.525,0,0,1,1.475,8,14.525,0,0,1,0,0,0,0,0,0
"5",1,3.5,"unmitigated",5,5,10,18,0,0,1,5,10,18,0,0,0,0,0,0,0,0,0
"6",1,3.5,"unmitigated",6,6.475,12,22,0,0,0.524999999999991,6.475,12,22,0,0,1,0,0,0,0,0,0
"7",1,3.5,"unmitigated",7,6.95,15,26.525,0,0,0,6.95,15,26.525,0,0,0,0,0,0,0,0,0
"8",1,3.5,"unmitigated",8,8.475,20,34.525,0,0,1,8.475,20,34.525,0,0,1,0,0,1,0,0,0
"9",1,3.5,"unmitigated",9,9.475,23,45.05,0,0,1,9.475,23,45.05,0,0,1,0,0,2,0,0,0
"10",1,3.5,"unmitigated",10,12,32,54.525,0,0,1,12,32,54.525,0,0,1,0,0,2,0,0,0
"11",1,3.5,"unmitigated",11,14.95,39.5,66.575,0,0,1,14.95,39.5,66.575,0,0,2,0,1,3,0,0,0
"12",1,3.5,"unmitigated",12,25.9,49,86.1,0,0,1,25.9,49,86.1,0,0,1,0,1,3,0,0,0
"13",1,3.5,"unmitigated",13,29.475,62,111.1,0,0,1,29.475,62,111.1,0,0,1.52499999999999,0,1,3,0,0,0
"14",1,3.5,"unmitigated",14,39.475,79.5,134.1,0,0,1,39.475,79.5,134.1,0,0,1.52499999999999,0,2,4,0,0,0
"15",1,3.5,"unmitigated",15,43.95,99,172.1,0,0,2,43.95,99,172.1,0,0,2,0,2,6,0,0,0
"16",1,3.5,"unmitigated",16,62.325,126,212.05,0,0,2,62.325,126,212.05,0,0,3,0,3,7,0,0,0
"17",1,3.5,"unmitigated",17,78.9,153,263.875,0,0,2,78.9,153,263.875,0,0,3,0,3,9,0,0,1
"18",1,3.5,"unmitigated",18,94.8,202.5,339.15,0,0,2,94.8,202.5,339.15,0,1,3,1,5,12,0,0,1
"19",1,3.5,"unmitigated",19,124.225,241.5,427.725,0,1,3.52499999999999,124.225,241.5,427.725,0,1,4,1,6,14,0,0,1
"20",1,3.5,"unmitigated",20,142.85,317.5,523.525,0,1,4,142.85,317.5,523.525,0,1,3.52499999999999,3,7.5,17,0,0,1
"21",1,3.5,"unmitigated",21,187,388,680.925,0,1,3,187,388,680.925,0,1,4.52499999999999,3,10,20,0,0,1.52499999999999
"22",1,3.5,"unmitigated",22,236.95,491.5,847.85,0,1,3.52499999999999,236.95,491.5,847.85,0,1,5.52499999999999,5,12,25.05,0,0,2
"23",1,3.5,"unmitigated",23,292.55,619.5,1076.575,0,1.5,5,292.55,619.5,1076.575,0,2,6.52499999999999,5.475,15.5,30.05,0,0,2.52499999999999
"24",1,3.5,"unmitigated",24,380.475,773,1340.6,0,2,6,380.475,773,1340.6,0,3,7.52499999999999,7,20,37.05,0,0.5,3
"25",1,3.5,"unmitigated",25,458.225,954.5,1658.725,0,2,7.52499999999999,458.225,954.5,1658.725,0,3.5,9,10.475,25,47,0,1,3.52499999999999
"26",1,3.5,"unmitigated",26,561.875,1237.5,2107.5,0,3,8,561.875,1237.5,2107.5,0,4,9.52499999999999,14.475,32,56.525,0,1,4
"27",1,3.5,"unmitigated",27,704.25,1551,2680.375,0.475,4,10,704.25,1551,2680.375,1,6,13,19,40.5,71.575,0,1,4.52499999999999
"28",1,3.5,"unmitigated",28,917.625,1971.5,3432.6,0.475,6,12.525,917.625,1971.5,3432.6,1,7,16,22.85,52,86.525,0,2,5
"29",1,3.5,"unmitigated",29,1122.925,2499.5,4175.075,1,6.5,15,1122.925,2499.5,4175.075,2,9,16.525,29.425,65,108.625,0,2,6
"30",1,3.5,"unmitigated",30,1476.825,3141.5,5325.825,3,9,20.525,1476.825,3141.5,5325.825,4,13,23,33.375,82.5,129.05,0,3,7
"31",1,3.5,"unmitigated",31,1780.075,3870.5,6742.4,4,10,21,1780.075,3870.5,6742.4,5.475,15,26,44.95,100,165.1,0,3,8
"32",1,3.5,"unmitigated",32,2325.6,4966,8492.225,4,14,26.525,2325.6,4966,8492.225,9,19,34.05,61.475,123.5,207.775,0.475,4,11.525
"33",1,3.5,"unmitigated",33,2794.25,6130.5,10695.85,8,19,33.525,2794.25,6130.5,10695.85,7,24,44.525,74.8,161,256.575,1.475,5,12
"34",1,3.5,"unmitigated",34,3586.45,7827,13532.15,8.95,24,43.05,3586.45,7827,13532.15,12.475,30.5,52.1,93.325,193.5,325.15,2,6,14
"35",1,3.5,"unmitigated",35,4517.675,9873.5,16957.475,13,29,52.575,4517.675,9873.5,16957.475,14.475,35,64.05,114.475,246.5,408,2,7,17.525
"36",1,3.5,"unmitigated",36,5717.125,12300,21348.5,11,36.5,60.05,5717.125,12300,21348.5,20,44.5,81.05,142.65,315.5,512.575,2,9,22
"37",1,3.5,"unmitigated",37,7180.425,15381,26755.825,16.95,48,77.525,7180.425,15381,26755.825,21.475,60,96.525,187.45,392.5,660.525,2.475,12,27.1
"38",1,3.5,"unmitigated",38,8976.175,19438,33609.575,26,54.5,97.575,8976.175,19438,33609.575,30.325,76.5,129.05,231.825,490.5,832.525,3.475,15.5,30.525
"39",1,3.5,"unmitigated",39,11457.3,24597.5,42353.825,29.85,70.5,127.575,11457.3,24597.5,42353.825,37.475,93.5,179.1,290.775,612,1038.4,4.475,19,35.05
"40",1,3.5,"unmitigated",40,14349.125,30901.5,52851.85,37.275,90,157,14349.125,30901.5,52851.85,53.475,118.5,207.525,361.9,773,1310.05,8.475,23.5,40.525
"41",1,3.5,"unmitigated",41,18129.775,38602,66573.45,51.425,115,192.05,18129.775,38602,66573.45,72.9,146,261.675,459.95,991,1664.2,9.475,30.5,56.05
"42",1,3.5,"unmitigated",42,22698.65,48467,82950.875,64.475,142,231.575,22698.65,48467,82950.875,87.85,187.5,310.15,569.65,1235,2127.575,14.425,37.5,69.525
"43",1,3.5,"unmitigated",43,28512.475,60650,103268.925,78.225,170.5,294.525,28512.475,60650,103268.925,114.475,220.5,390.1,721,1539.5,2660.825,20.375,49.5,84.525
"44",1,3.5,"unmitigated",44,35643.975,75570,128265.75,105.375,211.5,376.975,35643.975,75570,128265.75,138.55,288,463.525,915.025,1942,3359.4,27.85,61.5,105.1
"45",1,3.5,"unmitigated",45,44859.85,94399,158536.825,135,273.5,438.625,44859.85,94399,158536.825,177.275,363.5,585,1157.05,2438,4297.2,38.9,79,132
"46",1,3.5,"unmitigated",46,55667.5,117638.5,195966.85,171.85,331,535.05,55667.5,117638.5,195966.85,215.6,443,716.775,1454.225,3051.5,5385.15,45.9,99.5,168.05
"47",1,3.5,"unmitigated",47,69737.725,145727.5,239547.025,211.175,407.5,671.825,69737.725,145727.5,239547.025,280.825,544.5,907.525,1810.55,3861,6776.425,57.9,125.5,205.825
"48",1,3.5,"unmitigated",48,87123.9,179757,292697.275,258.075,502,821.625,87123.9,179757,292697.275,333.45,663.5,1108.95,2274.4,4850,8467,73.375,156,258.875
"49",1,3.5,"unmitigated",49,108447.45,220192.5,354611.7,315.375,623,985.925,108447.45,220192.5,354611.7,388.575,823,1294.775,2859.4,6057.5,10504.875,95.175,192.5,323.975
"50",1,3.5,"unmitigated",50,134553.225,269908.5,423580.95,364.9,754,1185.725,134553.225,269908.5,423580.95,543.6,1013.5,1568.6,3622.025,7598,13010.85,113.65,247.5,411.325
"51",1,3.5,"unmitigated",51,166746.65,326892,503214.275,462.4,922.5,1434.675,166746.65,326892,503214.275,612.95,1209,1837.7,4544.775,9543,16092.725,139.925,311,510.7
"52",1,3.5,"unmitigated",52,205089.6,393960.5,588010.225,571.825,1088.5,1606.825,205089.6,393960.5,588010.225,750.85,1470,2188.35,5674,11879.5,19891.9,166.175,383,659.15
"53",1,3.5,"unmitigated",53,251514.8,468719,678963.35,712.225,1308.5,1820.3,251514.8,468719,678963.35,936.2,1739.5,2458.25,7082.025,14718,24540.75,216.15,470,827.575
"54",1,3.5,"unmitigated",54,306391.325,552040,769638.2,835.225,1527,2085.95,306391.325,552040,769638.2,1117.55,2042.5,2738.15,8820.5,18243,30096.725,284.3,599,1051.025
"55",1,3.5,"unmitigated",55,370267.8,640834.5,856185.275,1011.6,1754.5,2296,370267.8,640834.5,856185.275,1346.25,2362,2995.325,11041.9,22470.5,36643.375,357.025,760.5,1295.225
"56",1,3.5,"unmitigated",56,441507.9,732286.5,932721.45,1154.9,1998.5,2461.725,441507.9,732286.5,932721.45,1588.025,2649,3305.775,13726,27636,44424.825,456.5,935.5,1600.325
"57",1,3.5,"unmitigated",57,522491.2,820773,994405.675,1442.9,2221,2595.25,522491.2,820773,994405.675,1893.4,2928,3422.875,16991.1,33794,53392.175,570.8,1171.5,1985.325
"58",1,3.5,"unmitigated",58,608932.65,902362,1034267.1,1606.65,2377.5,2702.525,608932.65,902362,1034267.1,2257.675,3157.5,3562.6,21026.975,40993,63441.15,733.95,1461.5,2496.375
"59",1,3.5,"unmitigated",59,700486.425,971999,1050283.725,1891.55,2547,2721.775,700486.425,971999,1050283.725,2552.475,3372,3601.1,25909.325,49370.5,74431.65,917.3,1835,3084.125
"60",1,3.5,"unmitigated",60,791062.725,1020486.5,1052532.475,2150.325,2621,2756.525,791062.725,1020486.5,1052532.475,2803.7,3462.5,3624.625,31714.25,58905,86210.925,1162,2289.5,3782.775
"61",1,3.5,"unmitigated",61,876144.85,1037776.5,1052893.35,2295.25,2628,2736.625,876144.85,1037776.5,1052893.35,3065.925,3491,3608.525,38456.825,69699.5,98477.5,1426.375,2832,4688.9
"62",1,3.5,"unmitigated",62,941335.775,1034398,1053175.375,2261.8,2583.5,2710.1,941335.775,1034398,1053175.375,2938.9,3431,3574.725,46460.325,81138.5,110774.325,1736.675,3486.5,5752.325
"63",1,3.5,"unmitigated",63,887182.825,1017743.5,1052904.475,2042.475,2494,2730.075,887182.825,1017743.5,1052904.475,2748.95,3317.5,3600.575,55572.55,93417,122773.275,2192.425,4325.5,7030.175
"64",1,3.5,"unmitigated",64,808470.85,980232,1051195,1877.375,2366.5,2726.3,808470.85,980232,1051195,2452.4,3132.5,3572.725,65852.45,105809.5,133379.5,2689.95,5321.5,8479.7
"65",1,3.5,"unmitigated",65,721870.45,918765,1050017.375,1619.1,2123.5,2624.525,721870.45,918765,1050017.375,2172.375,2853,3511.075,77221.375,118207.5,142376.85,3302.25,6495,10204.825
"66",1,3.5,"unmitigated",66,635409.35,842703.5,1038019.35,1397.275,1929.5,2605.2,635409.35,842703.5,1038019.35,1852.625,2564.5,3402.7,89133.775,129689.5,149673.45,4050.725,7881.5,12094.9
"67",1,3.5,"unmitigated",67,550537.975,759143.5,1000276.075,1150.825,1705.5,2430.575,550537.975,759143.5,1000276.075,1573.275,2254.5,3314.625,101560.7,139841,154136.625,4952.675,9471,14122.225
"68",1,3.5,"unmitigated",68,470221.05,670739,941309.95,1001.85,1486,2216.95,470221.05,670739,941309.95,1323.3,1925,3016.275,113921.2,147656,155750.8,6016.75,11265,16260.675
"69",1,3.5,"unmitigated",69,399654.3,585053,869993.025,832.225,1260,2064.7,399654.3,585053,869993.025,1101.95,1685.5,2722.225,125793.375,153131,156271.3,7284,13223.5,18370.4
"70",1,3.5,"unmitigated",70,334823.875,503384.5,788501.525,664.175,1045,1790.375,334823.875,503384.5,788501.525,877.85,1402,2374.875,136286.45,154353.5,156242.575,8788.825,15305.5,20562.875
"71",1,3.5,"unmitigated",71,279614.55,427933.5,700377,548.675,867,1556.475,279614.55,427933.5,700377,738.95,1163,2124.15,143212.875,153796,156206.125,10504.55,17421.5,22530.5
"72",1,3.5,"unmitigated",72,230890.275,360497,613489.7,438.55,734,1354.625,230890.275,360497,613489.7,588.45,953,1771.225,136580.825,152068,156400.825,12444.075,19632,24214.05
"73",1,3.5,"unmitigated",73,190085.375,300636,530860.625,351.8,600,1168.075,190085.375,300636,530860.625,470.275,796.5,1475.275,127470.275,147623.5,156099.475,14496.925,21772.5,25507.725
"74",1,3.5,"unmitigated",74,155870.575,249380.5,453470.5,296.8,473.5,953.25,155870.575,249380.5,453470.5,386.325,640,1283.725,116884.025,140718.5,155490.3,16627.8,23635,26201.825
"75",1,3.5,"unmitigated",75,127505.125,206104.5,383862.575,222.475,387,794.1,127505.125,206104.5,383862.575,315.95,511.5,989.725,105920.2,131488.5,154421.15,18809.725,25137,26624.5
"76",1,3.5,"unmitigated",76,103494.125,168846.5,321255.225,183.475,314,649.025,103494.125,168846.5,321255.225,241.325,416,855.549999999999,94774.8,121491,150258.325,20918.725,25976,26745.35
"77",1,3.5,"unmitigated",77,83989.7,138292.5,267047.65,146.325,251.5,517.575,83989.7,138292.5,267047.65,183.275,332.5,681.725,83619.875,110729,143671,23014.525,26178.5,26737.575
"78",1,3.5,"unmitigated",78,68024.175,112855.5,220881.025,117,194,434.75,68024.175,112855.5,220881.025,153.9,263,551.975,73144.45,99515.5,135231.575,23761.35,26109,26630.875
"79",1,3.5,"unmitigated",79,54679.95,91430,181714.125,87.425,158.5,358.3,54679.95,91430,181714.125,120.475,211,430.4,63320.1,88532,125434.025,22491.825,25721,26664
"80",1,3.5,"unmitigated",80,44514.925,73913.5,148530.3,79.375,127.5,280.325,44514.925,73913.5,148530.3,96.475,172.5,357.65,54430.075,77918,114644.4,20520.575,24748,26587.15
"81",1,3.5,"unmitigated",81,35998.925,59984,121467.45,58.475,104.5,235.25,35998.925,59984,121467.45,77.95,137.5,290.25,46213.675,67528,103660.575,18328.5,23166,26522.55
"82",1,3.5,"unmitigated",82,28875.8,48318.5,98896.525,44,77,175.35,28875.8,48318.5,98896.525,58.375,102.5,244.3,38941.3,58077.5,92423.3,16161.55,21314,26332.1
"83",1,3.5,"unmitigated",83,23312.925,39085,79387.25,31.475,69,135.3,23312.925,39085,79387.25,41.325,88,189.825,32618.925,49491.5,81564.875,14110.275,19159,25430.6
"84",1,3.5,"unmitigated",84,18716.7,31648.5,64591.325,29.475,49,117.575,18716.7,31648.5,64591.325,34,65.5,145.525,27041.825,41681,71281.375,12084.6,17057,24146.55
"85",1,3.5,"unmitigated",85,15071.1,25314,52156.425,19,39,92,15071.1,25314,52156.425,29,53.5,114.925,22295.6,35083,61441.9,10220.35,14958.5,22247.725
"86",1,3.5,"unmitigated",86,12191.825,20392.5,42470.125,18,33,82.2499999999999,12191.825,20392.5,42470.125,23,43.5,92.1999999999999,18258.2,29305,52624.65,8527.4,12862,20294.2
"87",1,3.5,"unmitigated",87,9796.4,16363.5,33975.25,13,27,66.2999999999999,9796.4,16363.5,33975.25,16.475,34,76.575,14910.8,24182.5,44695.375,7069.45,10898,18150.025
"88",1,3.5,"unmitigated",88,7917.425,13168,27487,10,19.5,45.525,7917.425,13168,27487,12.95,28.5,52.525,12093.3,19777,37545.525,5814.925,9150,15825.125
"89",1,3.5,"unmitigated",89,6394.75,10683,22021.65,7.475,16,42.625,6394.75,10683,22021.65,10.475,22,46,9751.3,16194.5,31279.275,4742.825,7597.5,13664.4
"90",1,3.5,"unmitigated",90,5096.3,8485.5,17551.975,6,13,29.625,5096.3,8485.5,17551.975,5.475,17.5,38.525,7883.8,13112.5,25878.1,3852.65,6247.5,11623.9
"91",1,3.5,"unmitigated",91,4128.3,6806,14275.85,3.475,10,21.525,4128.3,6806,14275.85,5.475,13.5,31.1,6356.7,10650,21239.8,3130.4,5126,9779.575
"92",1,3.5,"unmitigated",92,3239.825,5554.5,11586.275,3,9,18.625,3239.825,5554.5,11586.275,3,10,25.575,5084.8,8554,17283.7,2512.025,4152.5,8088.125
"93",1,3.5,"unmitigated",93,2617.75,4439.5,9225.5,2,7,15,2617.75,4439.5,9225.5,3,9,26.575,4078.725,6856,14118.725,2016.2,3371,6676
"94",1,3.5,"unmitigated",94,2080.975,3573.5,7483.625,1,5.5,11.525,2080.975,3573.5,7483.625,2.475,7,16.525,3257.525,5485,11355.7,1613.8,2686.5,5440.05
"95",1,3.5,"unmitigated",95,1690.9,2849,5916.55,1,4,10.525,1690.9,2849,5916.55,2,5,15.525,2604.2,4390.5,9076.875,1277.425,2142.5,4400.025
"96",1,3.5,"unmitigated",96,1361.65,2310,4745.175,0.475,4,9.52499999999999,1361.65,2310,4745.175,0,5,12.525,2070.275,3501,7310.1,990.125,1716.5,3608.925
"97",1,3.5,"unmitigated",97,1081.875,1849.5,3763.575,0,3,8,1081.875,1849.5,3763.575,0,4,11.525,1649.125,2775.5,5866.375,779.95,1365,2890.45
"98",1,3.5,"unmitigated",98,874.8,1513.5,3080.925,0,2,6,874.8,1513.5,3080.925,0,3,8,1315.375,2222.5,4722.95,625.7,1083.5,2322.7
"99",1,3.5,"unmitigated",99,706.175,1217,2470.125,0,2,6,706.175,1217,2470.125,0,2,7,1051.925,1761,3777.55,490.7,869.5,1868.425
"100",1,3.5,"unmitigated",100,567.125,970.5,1974,0,1,4.52499999999999,567.125,970.5,1974,0,2,5,835.475,1415.5,3042.775,391.025,690.5,1509.075
"101",1,3.5,"unmitigated",101,459.125,757.5,1621.625,0,1,4,459.125,757.5,1621.625,0,1,5,652.425,1120.5,2435.45,311,544,1201.775
"102",1,3.5,"unmitigated",102,350.475,615,1317.725,0,1,3,350.475,615,1317.725,0,1,4,515.325,892,1962.975,240.85,430,954.15
"103",1,3.5,"unmitigated",103,288.175,493.5,1051.8,0,1,3,288.175,493.5,1051.8,0,1,3,418.225,715,1566.425,188.85,346,754.2
"104",1,3.5,"unmitigated",104,242.9,400.5,833.25,0,0,2,242.9,400.5,833.25,0,1,3,330.825,571,1275.825,154.475,270,598.55
"105",1,3.5,"unmitigated",105,191.425,313,696.924999999999,0,0,2.52499999999999,191.425,313,696.924999999999,0,1,3,263.65,454.5,1030.95,122.9,226.5,484.225
"106",1,3.5,"unmitigated",106,141.9,263.5,549.1,0,0,2,141.9,263.5,549.1,0,0,2,216.325,364.5,830.749999999999,95.425,181.5,389.1
"107",1,3.5,"unmitigated",107,119.95,206,434.625,0,0,2,119.95,206,434.625,0,0,2.52499999999999,181,292,657.5,77.9,143,309.25
"108",1,3.5,"unmitigated",108,93,165,360.85,0,0,1,93,165,360.85,0,0,2,143.475,229.5,518.275,64.475,109.5,249.4
"109",1,3.5,"unmitigated",109,75.475,131,285.275,0,0,1,75.475,131,285.275,0,0,2,115.425,187.5,415.6,46.425,86,208.775
"110",1,3.5,"unmitigated",110,63.425,107.5,212.2,0,0,1,63.425,107.5,212.2,0,0,1.52499999999999,91.475,147,333.125,34.85,69,170.3
"111",1,3.5,"unmitigated",111,45,84,171.05,0,0,1,45,84,171.05,0,0,1,72.475,119,269.55,28.9,56,135.875
"112",1,3.5,"unmitigated",112,42.475,68,142.15,0,0,1,42.475,68,142.15,0,0,1,56,98,218.775,24.475,43.5,111.675
"113",1,3.5,"unmitigated",113,30.95,55.5,118.875,0,0,1,30.95,55.5,118.875,0,0,2,47.95,77,179.525,20.95,36,85.575
"114",1,3.5,"unmitigated",114,25,43.5,97.8749999999999,0,0,1,25,43.5,97.8749999999999,0,0,1,36.95,64.5,136.625,17,29.5,64.1499999999999
"115",1,3.5,"unmitigated",115,16,35,79.575,0,0,1,16,35,79.575,0,0,1,29,51,113,12,23,53.575
"116",1,3.5,"unmitigated",116,14.475,30,67,0,0,1,14.475,30,67,0,0,1,22,41,87.1499999999999,9,19.5,44.525
"117",1,3.5,"unmitigated",117,12.95,22.5,53.6749999999999,0,0,0,12.95,22.5,53.6749999999999,0,0,1,16.95,34,70.05,7,16,34
"118",1,3.5,"unmitigated",118,8.475,18,38.525,0,0,0,8.475,18,38.525,0,0,0,12.475,27,55.625,4.475,13,26.575
"119",1,3.5,"unmitigated",119,7,15,35.575,0,0,0.524999999999991,7,15,35.575,0,0,1,9,21,44.625,4,10,23
"120",1,3.5,"unmitigated",120,4,11,26.1,0,0,0,4,11,26.1,0,0,0,6.475,17,34.05,3,7.5,18
"121",1,3.5,"unmitigated",121,3.475,9,26.05,0,0,0,3.475,9,26.05,0,0,1,5,15,27.525,2,6,15
"122",1,3.5,"unmitigated",122,2.475,7,17,0,0,0,2.475,7,17,0,0,0,4,11,21.05,1,5,13
"123",1,3.5,"unmitigated",123,2,7,16.525,0,0,0,2,7,16.525,0,0,0,2.475,9,18.1,0.475,4,9.52499999999999
"124",1,3.5,"unmitigated",124,0.475,5,14.05,0,0,0,0.475,5,14.05,0,0,0,2,7.5,14,0,3.5,8.52499999999999
"125",1,3.5,"unmitigated",125,1,4,11,0,0,0,1,4,11,0,0,0,1,6,11,0,3,7
"126",1,3.5,"unmitigated",126,0,3,10,0,0,0,0,3,10,0,0,0,0,5,10.525,0,2,6.52499999999999
"127",1,3.5,"unmitigated",127,0,3,7,0,0,0,0,3,7,0,0,0,0,4,9.52499999999999,0,2,6
"128",1,3.5,"unmitigated",128,0,2,6.52499999999999,0,0,0,0,2,6.52499999999999,0,0,0,0,3,8,0,1,5
"129",1,3.5,"unmitigated",129,0,1,5,0,0,0,0,1,5,0,0,0,0,3,7,0,1,5
"130",1,3.5,"unmitigated",130,0,1,4,0,0,0,0,1,4,0,0,0,0,2,6,0,1,5
"131",1,3.5,"unmitigated",131,0,1,4,0,0,0,0,1,4,0,0,0,0,1.5,5.52499999999999,0,1,3
"132",1,3.5,"unmitigated",132,0,1,3.52499999999999,0,0,0,0,1,3.52499999999999,0,0,0,0,1,5,0,0,2.52499999999999
"133",1,3.5,"unmitigated",133,0,1,3,0,0,0,0,1,3,0,0,0,0,1,4,0,0,2.52499999999999
"134",1,3.5,"unmitigated",134,0,0,2,0,0,0,0,0,2,0,0,0,0,1,3,0,0,2
"135",1,3.5,"unmitigated",135,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2
"136",1,3.5,"unmitigated",136,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1.52499999999999
"137",1,3.5,"unmitigated",137,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2.52499999999999,0,0,1
"138",1,3.5,"unmitigated",138,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.52499999999999,0,0,1
"139",1,3.5,"unmitigated",139,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1
"140",1,3.5,"unmitigated",140,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.52499999999999,0,0,1
"141",1,3.5,"unmitigated",141,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.52499999999999,0,0,1
"142",1,3.5,"unmitigated",142,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.524999999999991
"143",1,3.5,"unmitigated",143,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.524999999999991
"144",1,3.5,"unmitigated",144,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"145",1,3.5,"unmitigated",145,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"146",1,3.5,"unmitigated",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"147",1,3.5,"unmitigated",147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
