"","country","R0","output_type","time","unmitigated","supp_1_time","supp_2_time","supp_4_time","supp_8_time","supp_16_time","supp_32_time"
"1",4,3,"lower_inc",1,0,0,0,0,0,0,0
"2",4,3,"lower_inc",2,0,0,0,0,0,0,0
"3",4,3,"lower_inc",3,1,1,0.475,1,1,1,1
"4",4,3,"lower_inc",4,2,1.475,2,2,2,2,1
"5",4,3,"lower_inc",5,3,2,2,2.475,1.475,3,2
"6",4,3,"lower_inc",6,4.475,2.475,3,4,3,3,2
"7",4,3,"lower_inc",7,6,6,5,5,3.475,4,4
"8",4,3,"lower_inc",8,6,4.475,5.475,6,4,5,6
"9",4,3,"lower_inc",9,7.475,7,6.95,7,5,6,6.475
"10",4,3,"lower_inc",10,12,8,9,8.475,6.475,8.475,7.95
"11",4,3,"lower_inc",11,13.475,9.95,13,11.95,8.425,11,10
"12",4,3,"lower_inc",12,15.475,13,12.475,14,11.475,10.95,13.475
"13",4,3,"lower_inc",13,21.425,15,16,15.475,12.425,12.475,16.475
"14",4,3,"lower_inc",14,25.425,20,22,24,17.95,15.425,17
"15",4,3,"lower_inc",15,30.475,22,23.475,24.95,22.475,19.475,23.475
"16",4,3,"lower_inc",16,36,30.475,31,31.9,28.75,22.425,29.425
"17",4,3,"lower_inc",17,43.9,36.375,38.95,36.95,28.475,30.475,32
"18",4,3,"lower_inc",18,59.9,42,40.375,48.425,38.075,37,38.425
"19",4,3,"lower_inc",19,65.8,52.95,59.9,63.475,56.375,41.95,47.475
"20",4,3,"lower_inc",20,87.425,62.95,69,75.425,62.175,48.375,59.95
"21",4,3,"lower_inc",21,96.9,74.475,86.375,84.9,75.025,60.425,70.75
"22",4,3,"lower_inc",22,122.475,90.425,103.125,109.425,88.55,67.95,88.95
"23",4,3,"lower_inc",23,152,117.475,118.85,137.85,117.45,97.95,115.325
"24",4,3,"lower_inc",24,174.8,135.9,146.9,161.65,138.975,121.225,130.95
"25",4,3,"lower_inc",25,213.75,167.45,188.675,190.975,170.275,144.325,166.55
"26",4,3,"lower_inc",26,281.225,206.175,230.325,246.55,187.375,172.275,213.175
"27",4,3,"lower_inc",27,326.175,237.7,285.85,292,247.875,206.95,266
"28",4,3,"lower_inc",28,403.35,304.275,322.05,352.925,305.725,248.825,294.225
"29",4,3,"lower_inc",29,488.475,364.9,399.975,410.725,360.125,306.075,371.9
"30",4,3,"lower_inc",30,623.15,444.95,458.8,515.95,427.55,373.85,446.225
"31",4,3,"lower_inc",31,702.025,554.275,601.225,639.975,538.725,445.775,558.15
"32",4,3,"lower_inc",32,925.7,638.65,726.475,769.45,640.775,541.25,691.4
"33",4,3,"lower_inc",33,1104.775,805.8,883.075,957.45,753.525,672.7,834.3
"34",4,3,"lower_inc",34,1391.825,977.875,1073.775,1170.75,934.5,838.45,1032.075
"35",4,3,"lower_inc",35,1626.85,1231.575,1319.925,1377.675,1151.6,966.775,1201.35
"36",4,3,"lower_inc",36,2037.5,1448.275,1593.175,1671.25,1405.9,1171.65,1540.825
"37",4,3,"lower_inc",37,2437.8,1789.475,1943.975,2028.825,1714.875,1453.825,1862.25
"38",4,3,"lower_inc",38,3025.55,2149.325,2337.475,2457.675,2049.45,1778.175,2243.6
"39",4,3,"lower_inc",39,3647.475,2583.025,2864.825,2963.075,2579.775,2182.5,2668.625
"40",4,3,"lower_inc",40,4435.7,3193.675,3410.3,3728.425,3135.925,2594.05,3322.525
"41",4,3,"lower_inc",41,5453.875,3862.675,4216.925,4496.525,3716.675,3186.45,4049
"42",4,3,"lower_inc",42,6552.4,4740.225,5146.125,5534.3,4551.05,3819.6,4962.275
"43",4,3,"lower_inc",43,8078.2,5728.95,6269.575,6598.025,5613.375,4666.25,6008.925
"44",4,3,"lower_inc",44,9680.975,7118.975,7668.175,8097.4,6857.125,5643.975,7215.175
"45",4,3,"lower_inc",45,11908.55,8584.9,9147.075,9759.9,8284.5,6864.125,8831.9
"46",4,3,"lower_inc",46,14554.35,10397.425,11175.4,12015.425,10135.825,8380.3,10761.7
"47",4,3,"lower_inc",47,17541.2,12739.35,13537.325,14526.675,12392.65,10256.35,12992.5
"48",4,3,"lower_inc",48,21387.2,15475.975,16631.125,17728.875,14806.625,12536.125,15840.9
"49",4,3,"lower_inc",49,25944.975,18784.3,19957.175,21694.875,18183.8,15207.375,19263.3
"50",4,3,"lower_inc",50,31751.85,21947.75,24297.45,26141,22077.175,18371.575,23368.225
"51",4,3,"lower_inc",51,38190.7,22650.875,29714.725,31924.8,26934.775,22337.425,28310.4
"52",4,3,"lower_inc",52,46180.225,21741.825,36025.525,38555.975,32497.1,27345.375,34422.425
"53",4,3,"lower_inc",53,56183.35,20565.575,42106.75,46880.225,39295.25,33267.325,41634.275
"54",4,3,"lower_inc",54,67493.625,19335.35,43022.575,56725.1,47889.4,39815.925,50241.875
"55",4,3,"lower_inc",55,81830.975,18471.375,41204.75,68709.4,57789.75,48680.725,60910.975
"56",4,3,"lower_inc",56,98686.25,17639.325,39073,82659.725,69641.525,58568.7,74024.675
"57",4,3,"lower_inc",57,118565.975,17014.15,36674.75,96623.025,84074.575,71072.875,88934.8
"58",4,3,"lower_inc",58,142043.325,16207.2,34833.975,97731.3,101534.1,85533.175,107051.025
"59",4,3,"lower_inc",59,169771.8,15505.975,33036.25,94192.325,121973.825,103083.075,127885.9
"60",4,3,"lower_inc",60,201226.6,14979.2,31567.25,87967.325,145861.15,123944.075,153514.725
"61",4,3,"lower_inc",61,239077.6,14428.675,30167.25,82543.25,167559.55,147883.325,182717.9
"62",4,3,"lower_inc",62,280565.05,13774.825,28943.95,77810.175,170208.6,176887.5,217039.65
"63",4,3,"lower_inc",63,328204.125,13253.15,27594.75,73529.25,162503.375,209326.75,256748.275
"64",4,3,"lower_inc",64,380404.5,12858.8,26323.3,69744.6,151206,239505.35,300382.75
"65",4,3,"lower_inc",65,437400.025,12217.25,25538.325,66302.525,140076.3,240959.3,350298.825
"66",4,3,"lower_inc",66,496765.375,11635.075,24463.55,62832.05,131574.45,228167.1,404565.675
"67",4,3,"lower_inc",67,557470.75,11238,23195.225,59992.95,123146.6,212410.7,462080.6
"68",4,3,"lower_inc",68,620028.3,10818.375,22306.6,56963.125,115764.5,195193.05,508937.275
"69",4,3,"lower_inc",69,678445.95,10378.125,21151.975,54083.75,108856.625,181184.75,498913.725
"70",4,3,"lower_inc",70,730703.575,9995.35,20404.7,51370.275,102537.125,169090.325,461317.625
"71",4,3,"lower_inc",71,772214.25,9430.525,19628.425,49149.1,96584.575,157210.05,415010.125
"72",4,3,"lower_inc",72,733686.1,9082.1,18606.475,46373.925,91016.3,146632.575,371903.2
"73",4,3,"lower_inc",73,684187.175,8745.4,17851.275,44076.975,85376.55,136650.35,332936.625
"74",4,3,"lower_inc",74,630903.225,8448.325,17161.725,41616.8,80453.1,128209.875,299145.65
"75",4,3,"lower_inc",75,572756.325,8014.275,16388.7,39631.725,75486.225,119328.725,262952.525
"76",4,3,"lower_inc",76,513640.8,7737.325,15524.225,37793,71500.15,110903,225240.225
"77",4,3,"lower_inc",77,457452.05,7393.175,14976.15,35764.925,66614.475,103402.55,188505.45
"78",4,3,"lower_inc",78,404467.525,7166.2,14384.575,33674,62799.075,96360.875,157109.625
"79",4,3,"lower_inc",79,354661.475,6854.9,13733.35,32088.9,58509.3,89743.075,131242.85
"80",4,3,"lower_inc",80,308300.2,6512.025,13129.5,30371.625,55229.875,82311.9,109949.325
"81",4,3,"lower_inc",81,266271.175,6260.025,12488.975,28787.625,51761.275,74311.55,91874.9
"82",4,3,"lower_inc",82,228574,6094.9,11868.675,27160.6,48759.55,66627.3,76254.375
"83",4,3,"lower_inc",83,196249.55,5864.625,11415.875,25934.6,44332.25,57770.925,63803.775
"84",4,3,"lower_inc",84,167533.325,5593.15,10913.25,24423.5,40212.875,50432.5,53148.6
"85",4,3,"lower_inc",85,142661.375,5343.25,10429.925,23071.375,36573.95,43650.625,44434.125
"86",4,3,"lower_inc",86,121170.15,5143.95,9857.75,21885.575,33155.45,37953.8,36912.35
"87",4,3,"lower_inc",87,102228.65,4986.175,9622.025,20727.675,30428.875,33003.95,30663.95
"88",4,3,"lower_inc",88,86604.55,4763.925,9041.025,19674.025,27298.6,28699.575,25377.875
"89",4,3,"lower_inc",89,72757.725,4472.9,8627.825,18635.7,24121.7,24797.75,21455.05
"90",4,3,"lower_inc",90,61373.3,4336.55,8295.075,17681.8,21309.475,21562.85,17820.55
"91",4,3,"lower_inc",91,51855.675,4191.725,7930.475,16577.95,19198.775,18616.85,14804.525
"92",4,3,"lower_inc",92,43433.375,3950.575,7702.75,15638.475,17074.65,16301.225,12093.175
"93",4,3,"lower_inc",93,36663.975,3897.75,7168.275,14975.675,15393.475,14016.375,10240.075
"94",4,3,"lower_inc",94,30575.725,3642.7,6917.025,14177.975,13456.625,12019.725,8485.125
"95",4,3,"lower_inc",95,25743.3,3545.825,6552.55,13111.375,12010.175,10539.625,7009.05
"96",4,3,"lower_inc",96,21555.875,3348.075,6339.85,12113.425,10641.3,9139.05,5858.325
"97",4,3,"lower_inc",97,18054.125,3278.4,6026.975,11399.4,9453.775,7983.4,4828.575
"98",4,3,"lower_inc",98,14977.45,3114.65,5708.225,10434.525,8396.725,6934.175,4101.775
"99",4,3,"lower_inc",99,12628.65,2945.1,5486.275,9642.95,7345.25,5972.225,3352.4
"100",4,3,"lower_inc",100,10571.95,2867.325,5192.85,8799.025,6569.7,5103.625,2813.025
"101",4,3,"lower_inc",101,8794.975,2722.9,5017.55,8124.375,5836.425,4397.375,2374.15
