"Income","HS","IFR","Mort"
"HIC","Infinite capacity",0.0157549322956739,8539
"HIC","Infinite capacity",0.00507388862214296,2663
"HIC","Infinite capacity",0.00567664247041395,2985
"HIC","Infinite capacity",0.0084496970153186,4490
"HIC","Infinite capacity",0.00665105884856869,3500
"HIC","Infinite capacity",0.00689995164914343,3639
"HIC","Infinite capacity",0.00660140961292423,3488
"HIC","Infinite capacity",0.00675365039078084,3555
"HIC","Infinite capacity",0.00504857501137802,2629
"HIC","Infinite capacity",0.00286830056558039,1491
"HIC","Infinite capacity",0.00598774955321001,3136
"HIC","Infinite capacity",0.0114786481746452,6113
"HIC","Infinite capacity",0.0102211128570247,5438
"HIC","Infinite capacity",0.00790785075845798,4183
"HIC","Infinite capacity",0.00597148473859115,3150
"HIC","Infinite capacity",0.0120987319025926,6504
"HIC","Infinite capacity",0.012493422059334,6695
"HIC","Infinite capacity",0.00747536143466685,3970
"HIC","Infinite capacity",0.00898609442835788,4773
"HIC","Infinite capacity",0.0100817644504032,5339
"HIC","Infinite capacity",0.00913430228837517,4853
"HIC","Infinite capacity",0.00944646782202885,5024
"HIC","Infinite capacity",0.00638101675916301,3370
"HIC","Infinite capacity",0.0143888616676066,7782
"HIC","Infinite capacity",0.0125725158089127,6740
"HIC","Infinite capacity",0.00949645558816087,5029
"HIC","Infinite capacity",0.00396925318453279,2065
"HIC","Infinite capacity",0.010356703843617,5527
"HIC","Infinite capacity",0.0114633368934916,6150
"HIC","Infinite capacity",0.0074993927617197,3952
"HIC","Infinite capacity",0.0139080897020755,7495
"HIC","Infinite capacity",0.0146365959206581,7928
"HIC","Infinite capacity",0.00782343069409613,4149
"HIC","Infinite capacity",0.0130315933148872,7027
"HIC","Infinite capacity",0.00559994978305901,2944
"HIC","Infinite capacity",0.0129375554280348,6944
"HIC","Infinite capacity",0.0106807004143101,5705
"HIC","Infinite capacity",0.00847061748672993,4497
"HIC","Infinite capacity",0.00665948263574112,3504
"HIC","Infinite capacity",0.0129853622611391,6947
"HIC","Infinite capacity",0.00751593586653818,3970
"HIC","Infinite capacity",0.00712685308544498,3782
"HIC","Infinite capacity",0.00880587785298225,4685
"HIC","Infinite capacity",0.00948034104383505,5037
"HIC","Infinite capacity",0.00624501424501425,3288
"HIC","Infinite capacity",0.00982429836480345,5242
"HIC","Infinite capacity",0.0128398144180067,6891
"HIC","Infinite capacity",0.0076245501041864,4025
"HIC","Infinite capacity",0.0133225008226635,7166
"HIC","Infinite capacity",0.0132329873510663,7137
