country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08418063,0.65096337,0.54292564,0.5291841,0.49784002,0.55994753,0.62779978,0.5319035,0.46915731,0.47999981,0.34288674,0.44335932,0.47265695,0.52208369,0.52299458,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35886472,2.5028634,1.60059102,1.83989949,2.02250333,1.67448274,1.81013124,1.85922312,2.24921052,2.42184456,1.69992629,1.83949077,1.75723353,1.855267,1.51559793,1.39747837,1.27022185,,,
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39234698,2.39092564,2.30889636,2.24891974,2.77157281,2.79861338,2.61390111,2.54565237,2.64722633,2.74855884,2.48729744,2.79640995,2.63261915,2.76730455,3.03139046,2.90144108,2.77003546,,,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88585229,3.94548063,3.76615881,3.19083818,2.90883982,3.28891616,3.19456429,3.21476448,3.59924185,3.89360489,4.21197604,4.47595081,4.66728891,4.77317664,4.91001604,4.95471462,5.09364379,,,
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.200094546,2.454705851,2.419731646,2.347549478,2.160348668,2.012494313,2.050024804,2.08221204,1.988680077,2.73293309,2.344165191,2.401897381,2.387457881,2.526720163,2.809872266,2.966976013,2.836763346,,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63412825,1.91322362,1.66402182,1.62154942,1.4060068,1.31882446,1.3325602,1.50538906,1.87159983,2.98414976,2.74735907,2.65606486,2.483293,2.58382362,2.57620338,2.55467344,2.54892462,,,
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63411365,4.72877713,4.17174523,3.89128602,3.74438352,3.91339941,4.01902203,4.25486829,4.50852841,5.66979219,5.5683332,5.68118433,6.13484549,6.24272911,6.3394433,6.82295597,5.61809585,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02914854,1.44836577,1.26424616,1.2780654,1.39002959,1.47274867,1.58960767,1.6196385,1.49586854,1.81022653,1.68813795,1.66484645,1.54073833,1.47709278,1.50548003,1.61020836,1.63330003,,,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5881303,2.86771508,2.86493861,2.85714286,2.57752718,2.86231884,2.88078923,2.87432688,3.24282703,3.23636016,3.82187959,3.8149837,3.35968404,3.5776128,4.01068685,3.21859261,2.60925041,,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.20847671,5.21681228,5.41908327,5.38416756,5.54854638,5.46929736,5.46465689,5.59891957,5.70475005,5.94366293,5.79645684,5.92239651,5.86843134,5.92677418,6.09904046,6.36387162,6.31986614,,,
