country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.011919975,0.99266,0.99949,0.989,0.97706,0.95291,0.96339,0.96798,0.98676,1.00561,1.00444,1.0146,1.00871,1.02156,,,,,,,
AFG,,,,,,,,,,,0.167199999,0.161200002,0.160840005,0.168740004,0.166950002,0.173899993,0.180629998,0.192279994,0.198829994,,,0.242229998,0.483579993,,0.469949991,0.476029992,0.530939996,,0.499659985,,,0.537060022,,0.361770004,0.432000011,0.474040002,,,,,,0,,0.54426,0.40582,0.54769,0.57323,0.5672,0.58602,0.60961,0.62581,0.66345,0.66925,0.65533,0.65402,0.64754,,0.64621,,
AGO,,,,,,,,,,,,0.640190005,0.656719983,,,,,,,,,,0.826059997,0.787509978,,,,,,,,,,,,,,,0.819149971,,,,,,,,,,0.83309,0.8234,0.77763,0.63032,,,,,,,,
ALB,,,,,,,,,,,,,,,,,0.922879994,,0.924769998,0.929279983,0.919539988,0.915809989,0.927450001,0.953499973,0.945689976,0.935949981,0.936429977,0.940090001,0.954760015,0.954240024,0.946529984,0.949710011,1.012799978,1.043849945,1.005259991,0.981710017,0.986419976,0.969780028,,0.968180001,0.97621,0.98732,,,0.9802,0.97804,0.98504,0.99687,0.99979,1.01781,1.00569,1.00029,0.9901,0.98159,0.97668,0.98242,0.99355,1.00432,1.0173,
AND,,,,,,,,,,,,,,,,1.148929954,,,,,,,,1.025050044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,,0.618920028,0.617470026,0.623520017,0.630850017,0.63805002,0.642700016,0.651499987,0.66237998,0.671169996,0.691779971,0.70332998,0.715489984,0.725549996,0.733430028,0.740559995,0.749610007,0.758300006,0.76770997,0.771229982,0.782559991,0.793070018,0.799600005,0.813440025,0.821080029,0.824169993,0.837750018,0.822809994,0.846029997,0.857179999,0.868420005,0.87729001,0.886300027,0.895259976,0.903349996,0.906939983,0.913670003,0.917309999,0.920419991,0.923160017,0.924130023,0.92543,0.92372,0.92969,0.93009,0.93132,0.93496,0.93578,0.93879,0.94112,
ARE,,,,,,,,,,,,,,0.828800023,0.926050007,0.933759987,0.943620026,1.013620019,1.048099995,1.029080033,0.991550028,0.948769987,0.966000021,0.958289981,0.947870016,0.947380006,0.963689983,1.004050016,1.025400043,1.03708005,1.040279984,1.036689997,1.036929965,1.035830021,1.019960046,1.005900025,,1.032699943,1.04685998,,,,,,,,,,,,,,,,,,0.96095,0.95133,,
ARG,,,,,,,,,,,1.033830047,1.024739981,1.011950016,1.013779998,1.00782001,1.010619998,1.012230039,1.018519998,1.031829953,1.020990014,1.024399996,1.022779942,1.009160042,,1.011940002,1.021049976,1.007009983,1.007760048,1.04745996,,,,,,,,1.019279957,1.02105999,1.008990049,1.022969961,1.01587,1.01779,1.0181,1.02208,1.02779,1.033,1.04022,1.04638,1.05001,1.04754,1.03598,1.0402,1.03461,1.03136,1.03123,1.02838,1.02081,1.01963,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07114,,,,,,,1.00601,0.99567,0.9899,0.99522,1.00772,,1.02907,1.04034,1.03799,,,1.02283,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
