country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.59241009,15.25432,15.05386,15.049,14.90022,14.55741,14.1753,14.361,14.46225,13.0991,13.45208,13.80075,13.97348,15.09369,,,,,,,
AFG,,,,,,,,,,,23.13762093,22.52124977,21.70140076,20.51185036,21.9675808,,29.27404022,,,,,,,,,,,,,,24.78792953,,,26.68461037,28.36573982,,,,,,,,,,,,,31.56236,,,,,,,,37.72088,42.68464,38.66756,,
AGO,,,,,,,,,,,,15.16230011,16.86230087,16.73830032,,,,,,,,,,,,,,,,,,,,,,,,,18.26943016,18.26959038,18.83404,18.96118,,,,,,,,,,27.41665,,,,,26.76619,,,
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.77330971,,,16.43434,16.96302,,17.66389,,,,,16.79416,14.7321,14.77747,15.24414,14.89293,14.75715,14.29575,13.50589,12.22137,11.60265,11.19927,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6577,7.25909,7.06522,7.75311,,,,,,,,7.80663,8.65531,8.07904,7.94434,8.22711,8.01599,
ARB,,,,,,,,,,,20.30298042,20.56105042,20.72678947,20.69914055,20.9966507,21.13129044,20.98934937,21.79262924,21.80636024,21.37334061,20.80632019,20.4163208,20.54907036,19.58098984,19.31406975,19.04834938,18.53356934,17.88534927,17.26041985,17.27190971,17.79875946,16.78804016,16.55208015,16.45999908,16.79409027,16.3611393,15.81357956,15.64743996,15.9662199,16.28416061,16.29985046,16.32731056,16.50425911,16.47046089,16.56364059,16.17217064,15.71051979,15.2075901,14.85188007,14.56005955,14.51277,14.46235,14.41522,14.36273,14.44477,14.50165,14.52697,14.55245,14.49976,
ARE,,,,,,,,,,,,12.73278046,12.53715038,9.00701046,7.137929916,7.978980064,,,,10.48958969,10.55926037,,,12.80852985,13.89344025,14.45427036,14.65235043,14.44941044,15.25638962,12.44886971,12.56488037,12.59556007,12.51441956,12.30739021,12.4725399,12.70890999,,,,,,,,,,,,,,,,,,,,,9.54885,,,
ARG,,,,,,,,,,,7.276549816,7.369919777,7.518690109,7.581439972,7.703430176,7.679880142,7.560550213,7.415100098,7.472640038,7.257840157,,,,7.57641983,7.644639969,7.823140144,7.761250019,7.15970993,7.096139908,,,,,,9.664609909,,,,12.41851044,,12.30048,17.48206,17.04147,16.14991,15.42813,15.1209,14.19154,13.63714,12.23531,,,,,,,,,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.504090309,,,10.50057983,,9.754699707,,,,,,,,,,,,,,,,,,,,,,8.01689,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,30.84255028,,21.17790985,26.57024956,21.81150055,19.34915924,15.42162037,,,,,,,,,,,,,,,,,,,,,,13.39086,,,,,,,,,12.62094,12.15562,11.96742,11.59474,,11.98368,11.48074,,9.64207,9.29704,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,,,,,,,,,,,19.57274055,,,,,,,,,,13.6875,12.89659023,12.52443981,11.80202007,11.74934959,11.44631958,10.88132954,10.5363903,10.1493597,9.963319778,9.781399727,9.688670158,9.486000061,9.40802002,9.402879715,9.872429848,9.942669868,10.1542902,10.30091,,,10.43735,10.52508,10.70672,10.98323,10.94344,10.84635,10.57966,10.28249,9.9725,9.67872,9.53847,9.67333,9.61071,9.57663,9.41777,9.32983,,
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.60984,
BDI,,,,,,,,,,,,,11.06888008,12.5686903,16.71043968,,18.63611031,15.66248989,16.20347977,,,,17.6606102,15.69503975,14.16930962,14.58880997,14.02865982,15.21331024,,18.68255043,17.73990059,21.81983948,21.88964081,21.7458992,,,,,,,,,,18.84814,21.21669,22.82075,28.40414,27.98893,,26.52189,29.94031,29.38317,29.70914,31.66009,37.21738,35.79281,32.13206,28.02967,26.59842,
BEL,,,,,,,,,,,,,10.57618046,10.92967987,10.99909973,,,11.40379047,,,,,,,,,,7.817299843,7.02835989,7.485770226,7.317649841,7.233459949,6.922959805,8.097949982,8.296349525,,,,,,,,,,,,,,,,,,,9.44806,9.42359,9.42496,9.14736,8.98821,,
BEN,,,,,,,,,,,,23.11240005,,,,,,31.39164925,,,,,,,,,,27.93847084,,,,,,,,,,,,23.75099945,23.38345,21.59872,,22.38497,23.93407,,,,,,,,,9.82354,9.91567,10.32268,10.99168,,,
BFA,,,,,,,,,,,,22.60969925,20.62545967,23.46615028,,20.43593025,19.83740997,,,,,,,22.47071075,,,,,,,,,,,,,,,,27.86886978,,,,31.34198,,,29.60091,28.19459,30.33107,25.62369,30.25804,26.48814,26.33301,26.90824,27.08945,25.19571,23.38275,23.33086,23.11995,
BGD,,,,,,,,,,,,,,24.06694031,,,,,,22.34147072,23.7584095,,,25.97135925,,27.7304306,28.90527916,29.08716011,26.77235985,26.12482071,27.43811989,,,,,,,,36.31324005,37.4127388,38.4303,37.49703,34.36736,31.07824,27.37356,23.92315,25.04719,25.24427,27.0682,28.16376,28.33145,30.62493,32.23697,35.20296,,,36.192,33.98251,35.09524,
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33100986,10.93134022,11.21689987,12.50347042,11.85532,12.16587,12.07715,12.30837,12.23208,11.97562,11.74476,11.55461,11.47623,11.98892,12.08112,12.29774,12.32203,13.04041,13.2295,,12.63651,,,
