"","Time","Scenario","0_5","5_10","10_15","15_20","20_25","25_30","30_35","35_40","40_45","45_50","50_55","55_60","60_65","65_70","70-75","75+"
"377",77,"Mitigation",63,105,134,105,64,45,54,63,53,25,15,18,19,7,9,10
"378",78,"Mitigation",81,121,145,104,98,51,62,54,50,24,19,19,20,11,15,3
"379",79,"Mitigation",90,108,156,145,65,55,63,46,61,27,23,19,12,21,10,14
"380",80,"Mitigation",103,146,171,135,84,62,90,71,58,42,21,25,20,19,8,7
"381",81,"Mitigation",100,152,190,137,84,75,82,73,61,34,20,17,21,10,10,10
"382",82,"Mitigation",127,158,186,159,98,81,91,84,43,43,25,30,24,21,12,12
"383",83,"Mitigation",126,185,227,166,112,90,105,83,56,34,31,34,20,21,13,11
"384",84,"Mitigation",130,204,248,178,134,104,93,101,68,46,34,42,31,21,9,10
"385",85,"Mitigation",147,237,251,205,131,120,104,91,73,47,38,41,40,28,16,11
"386",86,"Mitigation",172,199,284,218,146,128,93,89,94,53,40,44,27,33,15,18
"387",87,"Mitigation",185,231,279,250,163,126,100,111,112,67,47,51,41,23,12,10
"388",88,"Mitigation",199,289,359,260,176,130,137,120,94,79,47,44,31,29,22,13
"389",89,"Mitigation",195,303,355,296,189,145,144,132,78,63,65,49,38,30,21,17
"390",90,"Mitigation",210,322,392,296,209,160,153,129,107,71,62,56,50,33,28,27
"391",91,"Mitigation",266,322,438,329,226,185,151,164,130,82,77,71,42,36,29,17
"392",92,"Mitigation",223,373,443,368,232,159,202,200,132,83,71,73,64,50,26,17
"393",93,"Mitigation",261,428,514,387,278,224,173,192,154,93,77,59,63,43,26,31
"394",94,"Mitigation",297,464,577,456,284,252,225,229,160,111,76,72,63,55,42,25
"395",95,"Mitigation",308,471,612,457,302,261,213,225,181,99,88,89,44,59,34,34
"396",96,"Mitigation",341,584,664,502,359,264,258,246,202,120,90,74,80,60,43,34
"397",97,"Mitigation",391,583,701,594,338,267,290,255,199,138,91,108,82,65,37,38
"398",98,"Mitigation",401,659,787,575,400,342,328,327,241,164,110,102,88,79,49,36
"399",99,"Mitigation",454,716,838,650,401,339,328,346,250,156,135,124,93,79,71,45
"400",100,"Mitigation",494,730,949,704,473,361,393,347,259,164,131,119,97,88,43,42
"401",101,"Mitigation",580,908,975,795,481,399,396,344,288,187,160,134,105,90,77,53
"402",102,"Mitigation",625,931,1067,857,583,421,421,397,295,234,170,147,130,85,67,55
"403",103,"Mitigation",650,1034,1146,930,629,470,484,451,341,203,155,169,138,107,77,56
"404",104,"Mitigation",712,1079,1236,1024,698,496,503,473,345,219,208,169,159,129,88,70
"405",105,"Mitigation",756,1135,1430,1101,705,548,552,540,431,270,207,184,150,139,99,77
"406",106,"Mitigation",821,1236,1568,1139,774,655,606,569,433,303,208,239,164,124,102,75
"407",107,"Mitigation",903,1371,1642,1334,855,643,618,606,499,338,238,241,178,145,112,61
"408",108,"Mitigation",1000,1491,1720,1353,922,729,690,675,513,347,271,229,214,180,117,99
"409",109,"Mitigation",1063,1641,1917,1487,990,750,768,700,571,360,285,245,210,167,115,99
"410",110,"Mitigation",1181,1726,2136,1620,1153,789,820,820,584,395,315,269,261,197,135,114
"411",111,"Mitigation",1243,1989,2249,1810,1174,911,887,853,683,459,341,320,267,199,151,127
"412",112,"Mitigation",1334,2095,2463,1970,1333,1000,1005,968,680,474,351,336,304,242,164,126
"413",113,"Mitigation",1522,2194,2681,2067,1398,1007,1038,1038,753,517,390,339,305,278,178,132
"414",114,"Mitigation",1588,2459,2922,2208,1527,1226,1127,1073,863,595,446,380,307,240,201,156
"415",115,"Mitigation",1755,2647,3127,2435,1704,1284,1249,1166,886,588,469,410,367,261,183,142
"416",116,"Mitigation",1900,2795,3538,2741,1772,1312,1392,1316,997,660,500,445,347,298,208,181
"417",117,"Mitigation",2061,3049,3833,2963,2029,1465,1457,1402,1098,713,585,509,422,331,247,208
"418",118,"Mitigation",2195,3341,3921,3193,2115,1553,1591,1422,1152,800,632,581,464,347,292,201
"419",119,"Mitigation",2419,3599,4227,3388,2292,1700,1716,1598,1260,857,621,568,496,367,297,227
"420",120,"Mitigation",2620,4032,4682,3488,2404,1954,1885,1790,1386,925,672,629,565,423,332,239
"421",121,"Mitigation",2941,4263,5095,3965,2658,1967,1989,1876,1418,1012,802,658,570,484,338,272
"422",122,"Mitigation",3069,4603,5489,4490,2855,2179,2176,2031,1584,1084,825,718,640,537,346,308
"423",123,"Mitigation",3286,5006,6010,4636,3137,2429,2371,2265,1753,1229,904,796,697,536,382,323
"424",124,"Mitigation",3499,5458,6376,4861,3369,2511,2505,2382,1765,1241,1007,881,693,551,439,364
"425",125,"Mitigation",3811,5911,6931,5435,3650,2837,2766,2638,2001,1252,1004,902,791,607,439,346
"426",126,"Mitigation",4235,6204,7395,5812,3996,3069,2927,2856,2238,1380,1167,993,883,721,459,367
"427",127,"Mitigation",4536,6785,8111,6415,4235,3223,3212,3028,2329,1520,1220,1136,915,733,461,399
"428",128,"Mitigation",4911,7420,8785,6767,4620,3484,3433,3296,2486,1680,1256,1192,989,781,593,461
"429",129,"Mitigation",5143,7874,9209,7288,4933,3716,3746,3570,2655,1758,1425,1249,1041,838,598,466
"430",130,"Mitigation",5660,8625,9997,7849,5330,4068,3962,3751,2921,1968,1494,1350,1173,908,648,535
"431",131,"Mitigation",6186,9266,10814,8419,5749,4502,4285,3929,3153,2064,1666,1483,1256,895,682,558
"432",132,"Mitigation",6525,9860,11507,9160,6015,4706,4527,4378,3374,2208,1715,1599,1279,1094,775,570
"433",133,"Mitigation",7071,10793,12226,9704,6562,5045,4818,4651,3593,2434,1855,1686,1505,1125,855,618
"434",134,"Mitigation",7750,11296,13097,10534,7053,5470,5280,5050,3843,2601,1989,1809,1527,1273,899,662
"435",135,"Mitigation",8050,12261,14146,11284,7453,5793,5631,5410,4116,2746,2160,1949,1607,1285,910,730
"436",136,"Mitigation",8644,13093,14978,11831,8094,6346,5970,5717,4471,3008,2360,2029,1742,1411,943,742
"437",137,"Mitigation",9354,13931,16366,12548,8510,6723,6423,6168,4818,3140,2494,2257,1819,1425,1021,826
"438",138,"Mitigation",9989,14905,17163,13528,9188,7201,6887,6540,5063,3327,2720,2361,1956,1544,1092,902
"439",139,"Mitigation",10587,16044,18187,14520,9955,7802,7402,7001,5453,3670,2796,2521,2084,1673,1156,920
"440",140,"Mitigation",11632,16882,19681,15522,10306,8077,7939,7490,5805,3786,3026,2624,2244,1723,1245,1053
"441",141,"Mitigation",12273,18081,20761,16435,11061,8531,8430,7811,6011,4120,3159,2765,2334,1761,1354,1093
"442",142,"Mitigation",13108,19280,22163,17305,12059,9188,8980,8324,6559,4309,3356,3080,2423,1930,1358,1105
"443",143,"Mitigation",13888,20056,23285,18383,12817,9718,9433,8902,6873,4623,3588,3224,2736,2059,1444,1137
"444",144,"Mitigation",14822,21442,24690,19456,13322,10427,9941,9318,7340,4900,3830,3253,2659,2131,1548,1246
"445",145,"Mitigation",15379,22884,26002,20753,14132,11162,10641,9953,7638,5195,3974,3517,2891,2326,1657,1291
"446",146,"Mitigation",16450,24102,26883,21800,14829,11544,11256,10449,7885,5367,4160,3809,2962,2303,1741,1384
"447",147,"Mitigation",17468,25114,28587,22683,15709,12126,11611,11009,8392,5660,4461,3871,3133,2407,1693,1416
"448",148,"Mitigation",18650,26710,29903,23753,16423,12739,12378,11256,8885,5974,4621,4022,3251,2660,1832,1498
"449",149,"Mitigation",19418,27705,31227,25095,17164,13500,12854,12090,9269,6278,4877,4240,3424,2720,1894,1496
"450",150,"Mitigation",20205,28737,32332,26037,17979,14156,13383,12384,9604,6752,4849,4467,3526,2683,1940,1590
"451",151,"Mitigation",21424,30145,33724,27136,18610,14776,13901,13031,10170,6781,5294,4601,3751,2875,2030,1652
"452",152,"Mitigation",22484,31489,34508,28081,19523,15056,14710,13557,10348,7020,5377,4807,3811,2961,2035,1669
"453",153,"Mitigation",23430,32563,35779,28815,20247,16070,15204,14176,10760,7358,5550,4736,3953,2996,2036,1766
"454",154,"Mitigation",24070,33408,37011,29931,20578,16374,15573,14182,11027,7491,5875,4966,3997,3149,2132,1815
"455",155,"Mitigation",25409,34506,37563,30545,21476,16720,15976,14360,11397,7785,5944,4899,4115,3210,2155,1898
"456",156,"Mitigation",25768,35468,38428,31294,21928,17385,16367,15123,11619,8129,6035,5136,4134,3082,2219,1972
"457",157,"Mitigation",26725,36316,38925,32091,22769,18104,16673,15200,12131,8303,6266,5248,4177,3180,2194,1853
"458",158,"Mitigation",27589,37311,39659,32683,22785,18270,17087,15763,12229,8440,6414,5434,4320,3244,2227,1951
"459",159,"Mitigation",27884,37603,39837,32736,23731,18476,17764,15686,12269,8491,6426,5568,4335,3225,2185,1909
"460",160,"Mitigation",28664,38401,40485,33114,23580,19057,17566,15889,12705,8493,6616,5496,4473,3196,2271,2053
"461",161,"Mitigation",29386,38519,40870,33602,23975,19205,17866,16097,12631,8595,6574,5583,4416,3133,2289,1985
"462",162,"Mitigation",29776,38926,40943,33512,24384,19222,17780,16046,12584,8620,6691,5537,4350,3192,2220,1953
"463",163,"Mitigation",30246,39232,40891,33611,24380,19425,18090,16065,12900,8839,6744,5389,4359,3136,2237,1952
"464",164,"Mitigation",30368,39019,40513,33338,24487,19443,17698,15941,12685,8769,6515,5468,4275,3166,2245,1928
"465",165,"Mitigation",30139,39273,39951,33143,24513,19437,18146,15931,12413,8727,6553,5429,4201,3176,2133,1947
"466",166,"Mitigation",30312,39145,39595,33066,24196,19552,17835,15806,12473,8739,6551,5353,4178,3025,2063,1893
"467",167,"Mitigation",30132,38406,38851,32447,23849,19229,17639,15541,12136,8574,6554,5282,4075,2829,2026,1876
"468",168,"Mitigation",30263,37933,38138,31939,23755,18954,17317,15219,12186,8447,6384,5223,4053,2827,1897,1784
"469",169,"Mitigation",29791,37262,37138,31230,23374,18890,16762,14932,11890,8434,6373,4947,3878,2781,1855,1788
"470",170,"Mitigation",29992,36623,36075,30526,23088,18379,17038,14495,11647,8201,6120,4949,3605,2634,1841,1741
"471",171,"Mitigation",29088,35395,35217,30270,22461,17918,16205,14019,11369,8027,5946,4852,3531,2577,1760,1672
"472",172,"Mitigation",28752,34632,33826,28729,21994,17808,15707,13710,10899,7727,5738,4578,3471,2477,1591,1608
"473",173,"Mitigation",27947,33651,32980,27795,21270,17317,15137,13105,10396,7404,5581,4433,3363,2349,1507,1541
"474",174,"Mitigation",27593,32678,31424,26938,20728,16675,14809,12852,10124,7177,5358,4348,3255,2229,1520,1436
"475",175,"Mitigation",26792,31686,30473,26086,20027,16214,14361,12356,9796,6925,5204,4088,2941,2135,1427,1472
"476",176,"Mitigation",26199,29909,28903,24864,19021,15602,13908,11891,9357,6741,5006,3946,2862,2014,1367,1407
"477",177,"Mitigation",25048,29338,27633,24126,18589,15002,13206,11354,9183,6478,4857,3758,2715,1971,1233,1259
"478",178,"Mitigation",24402,28235,26292,22743,17603,14303,12660,10776,8704,6139,4580,3638,2717,1745,1193,1225
"479",179,"Mitigation",23445,26925,25158,21901,16986,13736,12003,10228,8427,6107,4331,3473,2391,1768,1125,1120
"480",180,"Mitigation",22668,25483,23826,20433,16388,13088,11666,9925,7834,5655,4262,3207,2316,1695,1016,1077
"481",181,"Mitigation",21471,24339,22260,19509,15319,12693,10971,9289,7438,5477,3914,3013,2207,1546,1046,1017
"482",182,"Mitigation",20493,22980,21098,18641,14844,11748,10302,8712,7021,5125,3710,2880,2112,1428,870,1027
"483",183,"Mitigation",19631,21732,20110,17397,14038,11338,9775,8268,6789,4861,3512,2767,2018,1326,864,922
"484",184,"Mitigation",18640,20816,18980,16469,13050,10884,9329,7670,6292,4615,3368,2645,1894,1243,815,894
"485",185,"Mitigation",17842,19303,17617,15462,12586,10338,8778,7340,5980,4280,3103,2338,1764,1079,771,812
"486",186,"Mitigation",17140,18335,16825,14493,11729,9649,8160,6993,5531,4161,2972,2232,1584,1058,744,764
"487",187,"Mitigation",15980,17392,15659,13637,11112,8955,7601,6346,5275,3812,2821,2068,1406,1000,619,710
"488",188,"Mitigation",15135,16290,14420,12771,10605,8650,7185,5929,4930,3538,2597,2095,1310,918,633,672
"489",189,"Mitigation",14139,15355,13593,11914,9889,7889,6957,5656,4497,3342,2500,1794,1235,859,536,595
"490",190,"Mitigation",13353,14122,12917,11030,9215,7687,6412,5302,4252,3218,2303,1747,1220,783,515,583
"491",191,"Mitigation",12551,13686,12055,10443,8444,7082,6127,5045,4045,2996,2085,1654,1154,715,512,534
"492",192,"Mitigation",11796,12448,11096,9790,8095,6552,5479,4583,3708,2773,1999,1454,1081,692,481,474
"493",193,"Mitigation",11147,11564,10356,9220,7527,6234,5216,4264,3588,2603,1894,1353,975,591,415,454
"494",194,"Mitigation",10422,10853,9510,8444,7046,5875,4879,4053,3281,2371,1683,1300,949,557,375,425
"495",195,"Mitigation",9909,10073,8797,8040,6527,5400,4603,3735,2918,2210,1583,1216,838,574,334,421
"496",196,"Mitigation",9011,9543,8298,7299,6185,4867,4186,3510,2773,2109,1398,1161,751,504,320,359
"497",197,"Mitigation",8537,8962,7644,6719,5605,4692,3893,3235,2542,2026,1334,1068,703,439,294,333
"498",198,"Mitigation",7873,8180,7175,6286,5189,4338,3774,2927,2483,1849,1340,959,621,458,289,305
"499",199,"Mitigation",7465,7555,6595,5927,4835,4049,3324,2836,2276,1688,1163,911,628,416,241,291
"500",200,"Mitigation",6955,6986,6140,5280,4453,3712,3185,2598,2192,1591,1115,826,571,393,239,278
"501",201,"Mitigation",6626,6521,5733,5100,4147,3461,2869,2402,1880,1459,1080,827,531,314,224,279
"502",202,"Mitigation",5959,6160,5194,4576,3949,3186,2740,2194,1787,1400,984,679,466,306,172,213
"503",203,"Mitigation",5474,5544,4871,4357,3736,2990,2549,2076,1610,1272,920,694,467,271,200,204
"504",204,"Mitigation",5070,5284,4533,3990,3260,2691,2317,1891,1530,1169,838,607,430,268,179,208
"505",205,"Mitigation",4864,4803,4089,3726,3066,2642,2255,1771,1422,1055,779,526,388,239,156,166
"506",206,"Mitigation",4440,4552,3738,3433,2919,2371,2019,1561,1314,1017,672,520,359,251,133,179
"507",207,"Mitigation",4115,4245,3355,3093,2713,2214,1864,1523,1234,967,649,451,341,198,125,177
"508",208,"Mitigation",3781,3768,3318,3029,2467,2030,1639,1417,1054,862,562,434,295,208,134,154
"509",209,"Mitigation",3403,3484,3070,2713,2243,1867,1567,1249,1081,802,500,411,291,181,116,132
"510",210,"Mitigation",3256,3264,2841,2556,2088,1794,1443,1153,959,668,578,356,228,152,109,125
"511",211,"Mitigation",2905,3079,2589,2323,1953,1585,1351,1104,883,685,441,371,250,151,102,128
"512",212,"Mitigation",2905,2828,2312,2189,1918,1474,1250,1053,828,597,440,296,237,140,90,95
"513",213,"Mitigation",2616,2573,2148,2029,1640,1428,1170,901,736,541,397,315,205,143,76,91
"514",214,"Mitigation",2342,2435,2059,1816,1546,1220,1077,875,683,540,394,287,202,124,73,92
"515",215,"Mitigation",2252,2192,1834,1639,1489,1156,937,792,607,463,325,270,173,101,58,83
"516",216,"Mitigation",2095,2000,1720,1483,1282,1118,874,728,568,469,325,249,161,98,60,73
"517",217,"Mitigation",1860,1891,1568,1383,1249,969,828,676,583,418,296,215,147,81,70,78
"518",218,"Mitigation",1861,1656,1455,1251,1134,900,744,607,504,384,274,219,144,84,58,52
"519",219,"Mitigation",1579,1623,1292,1175,1016,879,690,527,485,364,257,171,132,96,49,69
"520",220,"Mitigation",1475,1458,1163,1136,919,763,626,523,400,297,229,155,117,69,54,50
"521",221,"Mitigation",1390,1326,1055,1058,877,724,581,504,419,299,212,141,94,63,50,43
"522",222,"Mitigation",1204,1328,1020,921,822,647,559,487,388,275,200,143,79,59,43,49
"523",223,"Mitigation",1107,1166,948,907,751,601,506,417,326,282,213,130,77,62,37,40
"524",224,"Mitigation",1138,1098,944,826,632,583,485,381,294,232,164,125,70,52,33,33
"525",225,"Mitigation",971,938,795,740,620,511,412,341,268,208,153,106,79,44,33,18
"526",226,"Mitigation",875,871,746,691,547,452,381,336,251,200,154,101,73,48,26,28
"527",227,"Mitigation",813,852,656,606,526,447,354,322,249,179,122,81,71,40,22,28
"528",228,"Mitigation",745,762,629,632,505,423,327,289,228,169,133,84,60,27,27,38
"529",229,"Mitigation",688,671,605,478,493,398,325,247,179,168,103,81,48,29,21,24
"530",230,"Mitigation",657,677,541,461,416,358,288,233,186,140,114,68,54,32,11,17
"531",231,"Mitigation",654,585,473,408,379,322,253,200,177,120,76,54,43,42,13,22
"532",232,"Mitigation",537,554,465,417,369,288,251,191,147,109,86,62,35,22,14,22
"533",233,"Mitigation",551,497,438,362,312,270,229,183,158,91,70,53,37,22,10,16
"534",234,"Mitigation",420,507,367,332,288,243,207,171,148,95,87,49,33,16,13,19
"535",235,"Mitigation",431,440,372,327,288,209,184,167,113,95,58,47,42,24,13,17
"536",236,"Mitigation",418,381,320,283,244,219,147,160,123,65,49,55,25,17,9,14
"537",237,"Mitigation",369,335,279,293,238,207,161,134,95,90,59,37,24,17,9,20
"538",238,"Mitigation",331,331,267,234,209,174,148,116,106,66,39,49,21,20,4,16
"539",239,"Mitigation",313,334,262,242,208,179,111,118,73,70,43,34,25,23,8,5
"540",240,"Mitigation",302,305,237,198,194,144,113,96,90,61,41,27,22,12,6,9
"541",241,"Mitigation",285,273,226,204,179,145,112,89,66,50,45,33,13,15,8,8
"542",242,"Mitigation",231,244,161,154,155,132,107,81,64,55,45,17,21,19,6,11
"543",243,"Mitigation",204,237,200,156,143,126,114,71,78,51,30,24,25,12,10,6
"544",244,"Mitigation",220,201,157,151,156,103,104,77,41,46,33,22,12,11,9,12
"545",245,"Mitigation",194,167,165,132,105,100,104,66,57,50,29,20,15,15,8,6
"546",246,"Mitigation",165,190,150,139,96,91,75,51,48,45,33,22,18,7,7,6
"547",247,"Mitigation",172,167,140,125,103,88,89,57,48,47,26,18,16,10,2,9
"548",248,"Mitigation",138,149,120,105,92,87,63,49,48,29,31,12,11,4,6,2
"549",249,"Mitigation",152,135,116,121,89,79,67,40,48,26,15,13,8,5,2,4
"550",250,"Mitigation",105,101,96,89,98,77,47,48,33,32,30,16,13,5,0,4
"551",251,"Mitigation",118,122,106,88,91,59,65,39,29,27,23,9,4,4,7,7
"552",252,"Mitigation",113,115,95,83,75,69,50,33,29,30,19,14,4,7,7,2
"553",253,"Mitigation",102,117,89,83,65,58,51,33,33,17,13,13,6,6,3,0
"554",254,"Mitigation",74,100,95,66,56,50,39,27,28,18,12,11,4,7,3,4
"555",255,"Mitigation",84,87,62,67,67,49,37,30,17,17,18,8,5,6,1,2
"556",256,"Mitigation",67,91,56,69,55,49,29,26,20,15,7,7,3,1,1,2
"557",257,"Mitigation",78,77,61,60,48,35,33,26,22,14,12,9,3,2,1,3
"558",258,"Mitigation",60,76,49,42,53,39,18,28,22,16,11,8,9,3,2,3
"559",259,"Mitigation",63,49,55,47,45,38,28,25,15,15,11,4,9,4,1,4
"560",260,"Mitigation",63,59,38,34,38,32,24,15,15,20,6,10,3,3,1,3
"561",261,"Mitigation",56,51,39,32,24,35,15,17,12,12,6,1,3,5,3,1
"562",262,"Mitigation",52,59,37,43,27,20,12,13,17,14,7,1,5,3,2,3
"563",263,"Mitigation",45,45,29,42,27,18,16,22,14,5,6,3,3,2,1,0
"564",264,"Mitigation",42,39,35,30,26,26,23,13,12,10,10,1,3,3,0,2
"565",265,"Mitigation",34,42,36,27,27,19,18,11,6,8,5,2,2,4,1,0
"566",266,"Mitigation",33,44,22,24,27,16,13,8,10,16,7,4,0,0,1,0
"567",267,"Mitigation",33,35,26,30,23,26,14,11,7,4,6,6,5,0,0,2
"568",268,"Mitigation",26,30,28,24,19,15,11,13,8,2,1,1,2,0,0,1
"569",269,"Mitigation",27,30,17,13,18,14,9,7,3,5,4,4,1,2,1,2
"570",270,"Mitigation",31,24,25,24,24,16,11,10,10,4,4,5,2,1,0,0
"571",271,"Mitigation",16,20,19,15,17,14,7,9,6,1,5,3,1,0,0,0
"572",272,"Mitigation",21,27,18,13,13,8,10,5,5,5,3,3,1,1,2,0
"573",273,"Mitigation",14,27,12,12,11,12,7,8,9,3,1,4,3,2,0,1
"574",274,"Mitigation",19,18,18,10,8,7,12,7,9,2,5,2,0,0,1,1
"575",275,"Mitigation",16,17,12,18,10,5,5,6,5,1,2,3,2,3,2,0
"576",276,"Mitigation",19,11,13,12,10,12,5,3,7,9,6,1,1,0,0,0
"577",277,"Mitigation",8,10,15,7,11,12,5,6,4,2,4,1,3,4,0,1
"578",278,"Mitigation",5,16,14,6,9,9,6,5,3,3,5,0,0,1,0,0
"579",279,"Mitigation",13,6,13,11,7,8,9,8,1,4,1,2,2,1,0,0
"580",280,"Mitigation",11,11,14,14,4,9,5,3,6,1,1,1,0,0,0,0
"581",281,"Mitigation",11,13,10,6,6,3,7,4,2,1,2,0,2,1,1,0
"582",282,"Mitigation",5,8,11,8,7,8,2,3,2,1,2,0,0,0,0,0
"583",283,"Mitigation",11,12,7,9,8,3,4,4,4,1,1,3,1,2,0,0
"584",284,"Mitigation",6,17,5,7,4,1,5,5,4,1,0,0,0,0,0,0
"585",285,"Mitigation",6,12,6,7,2,6,8,1,2,2,1,0,0,0,1,1
"586",286,"Mitigation",9,8,5,1,5,2,2,6,4,1,1,1,0,0,2,0
"587",287,"Mitigation",9,7,5,3,6,4,2,1,1,2,0,0,2,0,1,1
"588",288,"Mitigation",9,8,5,5,7,3,0,3,1,1,1,0,1,0,1,0
"589",289,"Mitigation",7,5,3,5,2,2,3,1,3,2,2,3,0,0,0,1
"590",290,"Mitigation",1,4,4,4,3,3,2,2,0,7,1,1,0,0,0,0
"591",291,"Mitigation",4,5,0,5,4,2,1,0,1,0,2,0,0,0,0,0
"592",292,"Mitigation",3,6,4,5,3,4,4,1,1,2,0,0,1,0,2,0
"593",293,"Mitigation",7,5,3,3,2,1,3,0,1,0,3,0,0,0,0,0
"594",294,"Mitigation",6,7,7,2,1,7,1,2,1,0,0,0,0,0,0,0
"595",295,"Mitigation",2,4,0,3,2,1,0,0,1,0,0,0,0,1,0,0
"596",296,"Mitigation",3,2,6,4,3,2,4,1,0,1,0,0,0,0,0,1
"597",297,"Mitigation",5,3,6,1,2,2,0,1,3,0,0,0,1,0,1,0
"598",298,"Mitigation",1,2,3,2,3,1,1,1,0,3,0,1,0,0,0,0
"599",299,"Mitigation",2,3,3,0,5,2,0,1,0,0,0,0,1,0,0,0
"600",300,"Mitigation",4,4,2,0,3,1,0,2,1,0,2,0,0,0,0,0
"601",1,"Suppression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"602",2,"Suppression",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"603",3,"Suppression",1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
"604",4,"Suppression",0,0,3,3,1,0,1,2,0,0,1,0,0,0,0,0
"605",5,"Suppression",0,1,1,3,2,1,0,1,1,0,0,0,0,0,0,0
"606",6,"Suppression",1,0,3,2,0,3,2,3,2,0,1,1,0,1,0,0
"607",7,"Suppression",0,3,3,2,4,1,1,0,0,0,1,0,0,0,0,0
"608",8,"Suppression",3,3,3,1,1,0,2,2,1,1,0,1,1,0,0,0
"609",9,"Suppression",3,1,2,1,4,0,2,4,1,1,1,4,0,0,0,0
"610",10,"Suppression",6,4,2,3,2,1,2,3,2,3,0,0,3,0,0,0
"611",11,"Suppression",2,5,6,3,2,3,5,5,1,0,1,0,0,0,1,1
"612",12,"Suppression",5,7,7,12,6,2,2,4,5,0,2,1,0,0,3,0
"613",13,"Suppression",11,3,8,7,6,4,1,3,3,2,1,2,1,1,0,0
"614",14,"Suppression",4,8,13,9,5,4,7,5,5,3,1,0,1,0,3,0
"615",15,"Suppression",6,10,19,11,9,8,6,6,5,4,2,4,0,1,0,0
"616",16,"Suppression",8,11,10,24,10,3,6,6,2,0,2,2,1,2,0,0
"617",17,"Suppression",15,19,20,14,9,9,12,7,3,7,4,2,1,0,1,2
"618",18,"Suppression",19,9,24,25,17,3,6,8,4,4,3,8,5,1,2,1
"619",19,"Suppression",16,21,39,24,17,5,16,15,5,9,8,2,2,2,0,2
"620",20,"Suppression",21,27,38,37,23,19,14,15,8,3,9,4,4,6,0,2
"621",21,"Suppression",24,48,46,22,23,18,23,11,15,12,9,4,5,4,3,0
"622",22,"Suppression",34,46,51,41,20,14,25,29,18,9,12,7,11,8,5,1
"623",23,"Suppression",35,55,77,56,27,34,37,28,16,14,10,11,9,7,1,4
"624",24,"Suppression",61,79,71,67,45,36,30,35,22,20,14,11,12,10,3,7
"625",25,"Suppression",59,96,105,80,47,48,43,39,36,17,17,18,15,6,8,5
"626",26,"Suppression",69,121,127,111,60,46,54,40,43,26,13,12,16,9,7,9
"627",27,"Suppression",94,145,159,135,69,58,55,46,35,26,24,15,21,15,14,3
"628",28,"Suppression",110,141,213,145,96,71,76,58,58,45,26,29,18,17,16,12
"629",29,"Suppression",119,202,234,163,122,90,116,95,67,48,32,30,18,13,16,13
"630",30,"Suppression",125,265,288,226,128,103,122,111,68,51,38,35,33,30,20,16
"631",31,"Suppression",205,289,358,285,206,120,131,130,101,58,47,57,30,34,17,18
"632",32,"Suppression",227,351,414,349,226,169,159,162,100,85,65,55,50,37,41,24
"633",33,"Suppression",286,445,507,430,270,220,194,199,173,92,75,70,61,49,40,25
"634",34,"Suppression",352,573,616,512,336,250,283,238,156,100,94,97,83,62,46,34
"635",35,"Suppression",416,633,776,609,400,274,301,280,208,160,98,96,96,57,52,39
"636",36,"Suppression",502,769,933,757,449,371,358,360,276,168,155,123,104,78,70,47
"637",37,"Suppression",612,988,1183,849,594,454,467,419,314,203,169,162,149,98,84,58
"638",38,"Suppression",758,1159,1439,1119,689,563,575,501,392,271,207,174,164,127,85,83
"639",39,"Suppression",926,1455,1695,1383,881,682,707,634,465,316,237,228,191,143,126,84
"640",40,"Suppression",1117,1670,2088,1625,1026,840,823,825,598,396,312,296,239,169,136,97
"641",41,"Suppression",1371,2050,2447,2025,1332,1057,990,914,723,468,419,342,281,235,163,132
"642",42,"Suppression",1696,2621,3143,2427,1551,1243,1266,1192,893,601,472,436,351,290,209,152
"643",43,"Suppression",2043,3073,3641,2939,1955,1463,1458,1420,1073,718,550,480,462,336,220,206
"644",44,"Suppression",2445,3914,4758,3488,2371,1782,1744,1741,1337,860,728,608,552,404,301,234
"645",45,"Suppression",3030,4700,5462,4359,2873,2219,2126,2064,1624,1048,882,700,621,534,338,292
"646",46,"Suppression",3570,5688,6622,5268,3513,2685,2601,2494,1935,1317,1061,877,747,598,424,358
"647",47,"Suppression",4563,6796,8027,6203,4247,3332,3256,3069,2377,1531,1203,1067,899,753,509,419
"648",48,"Suppression",5439,8390,9717,7705,5112,3927,3969,3710,2816,1888,1461,1318,1070,908,682,505
"649",49,"Suppression",6627,10019,11883,9302,6245,4745,4743,4409,3504,2291,1729,1614,1386,1099,793,612
"650",50,"Suppression",8034,12187,14199,11106,7495,5799,5750,5375,4164,2680,2135,1882,1569,1349,968,745
"651",51,"Suppression",9703,14665,17165,13384,9004,6941,6763,6438,4873,3283,2651,2327,1904,1537,1128,914
"652",52,"Suppression",11615,17529,20349,16352,10736,8247,8205,7742,5954,4002,3202,2784,2377,1924,1268,1058
"653",53,"Suppression",13887,21041,24530,19444,13134,10134,9841,9366,7306,4814,3704,3334,2912,2257,1553,1235
"654",54,"Suppression",16857,25425,29098,23053,15583,12051,11805,11062,8619,5637,4552,4049,3340,2690,1861,1525
"655",55,"Suppression",20271,30267,34597,27377,18630,14249,13911,13227,10044,6696,5327,4682,3973,3063,2265,1772
"656",56,"Suppression",24070,35150,41117,32588,21902,16981,16491,15777,11922,8104,6271,5475,4628,3672,2668,2090
