"Income","HS","IFR","Mort"
"HIC","Infinite capacity",0.0075644085464146,3984
"HIC","Infinite capacity",0.0108702994820986,5793
"HIC","Infinite capacity",0.0147562557924004,7961
"HIC","Infinite capacity",0.0114796301299949,6118
"HIC","Infinite capacity",0.0121542658249547,6523
"HIC","Infinite capacity",0.0104498220426345,5555
"HIC","Infinite capacity",0.0147360032175655,7914
"HIC","Infinite capacity",0.0129762541607228,6986
"HIC","Infinite capacity",0.00850670887984321,4514
"HIC","Infinite capacity",0.00398666031443545,2092
"HIC","Infinite capacity",0.0158127429614796,8591
"HIC","Infinite capacity",0.0105198960395575,5606
"HIC","Infinite capacity",0.0137101313059453,7381
"HIC","Infinite capacity",0.0134521726355956,7234
"HIC","Infinite capacity",0.00534233361808022,2808
"HIC","Infinite capacity",0.00898208657310561,4779
"HIC","Infinite capacity",0.0120066854773267,6451
"HIC","Infinite capacity",0.0125158490152726,6742
"HIC","Infinite capacity",0.00800737336956933,4231
"HIC","Infinite capacity",0.0106172243702336,5676
"HIC","Infinite capacity",0.0072314517224209,3834
"HIC","Infinite capacity",0.011677758947711,6243
"HIC","Infinite capacity",0.00966977310325856,5132
"HIC","Infinite capacity",0.0115018117367567,6139
"HIC","Infinite capacity",0.00457693431325936,2397
"HIC","Infinite capacity",0.00562303750659322,2953
"HIC","Infinite capacity",0.0124858793983924,6687
"HIC","Infinite capacity",0.0123748009465272,6652
"HIC","Infinite capacity",0.00766702139343238,4049
"HIC","Infinite capacity",0.0132123852427991,7121
"HIC","Infinite capacity",0.00738788976655177,3903
"HIC","Infinite capacity",0.0064925171311797,3409
"HIC","Infinite capacity",0.0056588059463098,2976
"HIC","Infinite capacity",0.00970908388340846,5176
"HIC","Infinite capacity",0.0108645174820985,5802
"HIC","Infinite capacity",0.00911290504940868,4836
"HIC","Infinite capacity",0.0142344736705731,7691
"HIC","Infinite capacity",0.0118862078328826,6391
"HIC","Infinite capacity",0.00461752307339302,2435
"HIC","Infinite capacity",0.00628256989098729,3319
"HIC","Infinite capacity",0.00841097138657282,4486
"HIC","Infinite capacity",0.0127421836487758,6824
"HIC","Infinite capacity",0.0134979603864609,7283
"HIC","Infinite capacity",0.00810246131371983,4293
"HIC","Infinite capacity",0.00975053510173943,5216
"HIC","Infinite capacity",0.00294408364672541,1525
"HIC","Infinite capacity",0.00595360530225117,3126
"HIC","Infinite capacity",0.00978588550306833,5197
"HIC","Infinite capacity",0.00842049616735264,4460
"HIC","Infinite capacity",0.0120608314681117,6450
"HIC","Infinite capacity",0.00676558965400953,3571
"HIC","Infinite capacity",0.00705323812913143,3726
"HIC","Infinite capacity",0.00779107289448099,4119
"HIC","Infinite capacity",0.010712275303036,5709
"HIC","Infinite capacity",0.0111303427601536,5974
"HIC","Infinite capacity",0.0068562213930724,3631
"HIC","Infinite capacity",0.00375402593865035,1957
"HIC","Infinite capacity",0.00890215533790549,4730
"HIC","Infinite capacity",0.00978506393071707,5194
"HIC","Infinite capacity",0.00731591466910909,3866
"HIC","Infinite capacity",0.00315177308764685,1647
"HIC","Infinite capacity",0.00919074010037477,4917
"HIC","Infinite capacity",0.0114639715753252,6140
"HIC","Infinite capacity",0.0135630082171273,7284
"HIC","Infinite capacity",0.00632303505682728,3318
"HIC","Infinite capacity",0.00671592179615024,3556
"HIC","Infinite capacity",0.0063042376279573,3333
"HIC","Infinite capacity",0.013144104884782,7061
"HIC","Infinite capacity",0.0105206579263892,5598
"HIC","Infinite capacity",0.0078836631093273,4176
"HIC","Infinite capacity",0.0147483250142835,8028
"HIC","Infinite capacity",0.0117908108369726,6334
"HIC","Infinite capacity",0.00784119914865899,4141
"HIC","Infinite capacity",0.0112446808112488,6009
"HIC","Infinite capacity",0.00943747181722531,5023
"HIC","Infinite capacity",0.00920785070664246,4904
"HIC","Infinite capacity",0.0111074933717847,5970
"HIC","Infinite capacity",0.00767782013700087,4044
"HIC","Infinite capacity",0.00527998541881049,2781
"HIC","Infinite capacity",0.00792858988406983,4204
"HIC","Infinite capacity",0.00647890148097284,3425
"HIC","Infinite capacity",0.0129234140543753,6959
"HIC","Infinite capacity",0.00597708908934724,3152
"HIC","Infinite capacity",0.015441693309891,8370
"HIC","Infinite capacity",0.0124050698819557,6671
"HIC","Infinite capacity",0.0138536109024973,7434
"HIC","Infinite capacity",0.00604775906214148,3184
"HIC","Infinite capacity",0.0132188898661376,7109
"HIC","Infinite capacity",0.00530600780711124,2777
"HIC","Infinite capacity",0.00659768342109402,3482
"HIC","Infinite capacity",0.0122637423363279,6569
"HIC","Infinite capacity",0.00808605564500354,4299
"HIC","Infinite capacity",0.0132266131206366,7114
"HIC","Infinite capacity",0.00893733134223802,4746
"HIC","Infinite capacity",0.0109090161129571,5834
"HIC","Infinite capacity",0.00571537218366765,3006
"HIC","Infinite capacity",0.0101334979839653,5416
"HIC","Infinite capacity",0.00669128837300552,3513
"HIC","Infinite capacity",0.0133470874688673,7181
"HIC","Infinite capacity",0.0104961688983521,5600
"HIC","Infinite capacity",0.0124315704067073,6665
"HIC","Infinite capacity",0.0144494205160933,7766
"HIC","Infinite capacity",0.0120326729322816,6436
"HIC","Infinite capacity",0.00734930312925791,3862
"HIC","Infinite capacity",0.00609315786766149,3198
"HIC","Infinite capacity",0.00462482537462041,2420
"HIC","Infinite capacity",0.0142016086680118,7707
"HIC","Infinite capacity",0.0108660794157748,5794
"HIC","Infinite capacity",0.0103957958206307,5531
"HIC","Infinite capacity",0.00765676517741009,4050
"HIC","Infinite capacity",0.00831028069148484,4401
"HIC","Infinite capacity",0.00667378941665435,3523
"HIC","Infinite capacity",0.0130295346062052,6988
"HIC","Infinite capacity",0.00766419566551773,4058
"HIC","Infinite capacity",0.0101836246563966,5420
"HIC","Infinite capacity",0.00715282822942302,3761
