Country,R0,Strategy,Social_distance,total_pop,total_infected,total_deaths,total_hospital,total_critical,pop_0_5,pop_5_10,pop_10_15,pop_15_20,pop_20_25,pop_25_30,pop_30_35,pop_35_40,pop_40_45,pop_45_50,pop_50_55,pop_55_60,pop_60_65,pop_65_70,pop_70_75,pop_75_80,pop_80_200,infected_0_5,infected_5_10,infected_10_15,infected_15_20,infected_20_25,infected_25_30,infected_30_35,infected_35_40,infected_40_45,infected_45_50,infected_50_55,infected_55_60,infected_60_65,infected_65_70,infected_70_75,infected_75_80,infected_80_200,deaths_0_5,deaths_5_10,deaths_10_15,deaths_15_20,deaths_20_25,deaths_25_30,deaths_30_35,deaths_35_40,deaths_40_45,deaths_45_50,deaths_50_55,deaths_55_60,deaths_60_65,deaths_65_70,deaths_70_75,deaths_75_80,deaths_80_200,hospitalisations_0_5,hospitalisations_5_10,hospitalisations_10_15,hospitalisations_15_20,hospitalisations_20_25,hospitalisations_25_30,hospitalisations_30_35,hospitalisations_35_40,hospitalisations_40_45,hospitalisations_45_50,hospitalisations_50_55,hospitalisations_55_60,hospitalisations_60_65,hospitalisations_65_70,hospitalisations_70_75,hospitalisations_75_80,hospitalisations_80_200,critical_0_5,critical_5_10,critical_10_15,critical_15_20,critical_20_25,critical_25_30,critical_30_35,critical_35_40,critical_40_45,critical_45_50,critical_50_55,critical_55_60,critical_60_65,critical_65_70,critical_70_75,critical_75_80,critical_80_200,,,,,,,,,,,,,,,,,,,,
Azerbaijan,2.4,Enhanced social distancing of elderly,0.354739515,10139.175,5088.867744,15.54570323,123.8700039,20.61560507,825.398,860.64,698.221,637.237,719.127,889.858,941.226,825.466,664.205,616.598,628.449,652.627,496.586,307.722,152.039,90.723,133.053,364.845932,611.1906112,478.4360616,390.7495257,317.3575759,332.3122348,529.7188073,495.4477055,400.1883306,332.5275026,283.2376926,229.4773813,179.9228898,57.06210162,41.52705835,18.18965522,26.67667731,0.010285992,0.014683549,0.021226246,0.035447234,0.064278556,0.129541623,0.325791369,0.464357867,0.52200926,0.722436284,1.278059105,1.873238321,3.085720201,1.545706426,1.765499838,1.11778007,2.569641293,0.271515424,0.387596305,0.560300778,0.935686079,1.696732286,3.41945468,8.599775067,11.56829221,11.58330036,12.83790326,16.35269391,16.61924189,18.28060785,6.675114034,6.067064355,3.212923456,4.801801916,0.013636274,0.019466266,0.028140011,0.046992907,0.085235827,0.17159058,0.431906626,0.61560613,0.692035292,0.957744752,1.694342779,2.483377454,4.090788207,2.051189286,2.345083263,1.481857679,3.40661174,,,,,,,,,,,,,,,,,,,,
Bahamas,2.4,Enhanced social distancing of elderly,0.338027604,393.248,175.9794866,0.588457619,4.085603239,0.780092339,27.064,26.59,31.293,32.502,33.496,33.072,28.015,27.442,27.577,28.919,25.569,23.653,17.584,11.846,8.023,5.622,4.981,13.68496915,18.7324788,23.10173817,21.08506287,13.15902558,12.67377839,10.9360126,12.97946276,10.27779249,10.65131881,9.237642841,7.164776161,5.685602391,2.565016117,1.708533852,1.238757102,1.097518521,0.000385816,0.000450038,0.001024929,0.001912753,0.002665269,0.00494048,0.006725943,0.012164988,0.013406445,0.02314064,0.041683201,0.058486519,0.097509428,0.069481526,0.072637368,0.076123378,0.105718897,0.010184245,0.011879501,0.027054653,0.050490144,0.070353901,0.130411722,0.177541834,0.303059669,0.297486829,0.411215913,0.533334192,0.518888386,0.577671178,0.300055108,0.249615197,0.218807432,0.197553334,0.000511482,0.000596624,0.001358768,0.002535762,0.003533383,0.006556125,0.008933958,0.016127306,0.017773121,0.030677898,0.055260021,0.077536446,0.129269667,0.092135321,0.096215444,0.100917895,0.140153117,,,,,,,,,,,,,,,,,,,,
Bahrain,2.4,Enhanced social distancing of elderly,0.353772366,1701.583,917.3815836,2.611004826,23.80749206,3.462305909,108.054,110.081,92.954,88.901,91.684,214.986,293.461,214.272,148.286,108.435,81.177,59.054,45.12,21.452,10.958,6.86,5.848,21.80946719,49.43843618,59.85798372,59.29462711,55.42158157,104.6913156,155.7020356,116.2630464,85.03523541,70.4238129,49.84256202,41.59333118,24.12764133,10.57792349,6.152024676,3.859996551,3.290562658,0.000614868,0.001187734,0.002655653,0.005378971,0.011225253,0.040810664,0.095760956,0.108967424,0.110920726,0.153000029,0.224905589,0.339528983,0.413794767,0.286536315,0.261549915,0.237202254,0.316964725,0.016230431,0.031352175,0.070100223,0.141986499,0.296307994,1.077261598,2.52776089,2.71464552,2.461312831,2.718855103,2.877654287,3.012277846,2.451427664,1.237403522,0.898805047,0.681809155,0.592301278,0.000815139,0.001574602,0.003520645,0.007130983,0.014881456,0.054116522,0.126844992,0.144459733,0.147049233,0.202834438,0.298160699,0.450118823,0.548573389,0.379865727,0.34708297,0.31507171,0.420204848,,,,,,,,,,,,,,,,,,,,
Bangladesh,2.4,Enhanced social distancing of elderly,0.354470146,164689.383,93445.57104,321.5051461,2174.92768,426.2172738,14328.179,14644.431,15089.278,15585.144,15239.226,14525.807,13763.089,12748.544,11225.285,9425.985,8304.795,6700.908,4500.389,2796.448,2357.159,1738.653,1716.063,7972.00118,9839.826209,10165.71696,8968.501396,8174.961667,8242.879407,7861.623551,7010.457735,5822.335719,4905.222948,4460.309133,3254.875373,2941.658699,1425.865196,1090.000625,658.9484185,650.3868223,0.224752238,0.236396905,0.451011182,0.813586573,1.655781261,3.213231008,4.835110748,6.570544502,7.594707113,10.65689607,20.12634211,26.56975273,50.45014386,38.62404176,46.34077163,40.49331339,62.64876301,5.932699502,6.240083228,11.90516262,21.47591066,43.70691753,84.81828117,127.6303452,163.6883624,168.5253124,189.3761484,257.5154081,235.7250237,298.8797544,166.7974454,159.2480711,116.3931259,117.069628,0.297956994,0.313396045,0.597913518,1.078584263,2.195088072,4.259825431,6.416309654,8.727541987,10.0684143,14.12800803,26.68179192,35.22390316,66.8825117,51.20445214,61.44974249,53.63743693,83.05439721,,,,,,,,,,,,,,,,,,,,
Barbados,2.4,Enhanced social distancing of elderly,0.328447888,287.371,116.6314675,0.638044238,3.506529964,0.846455056,15.12,15.498,17.547,18.965,18.769,18.809,18.101,19.023,18.804,20.263,19.635,20.301,18.54,15.033,11.889,8.265,12.809,8.299461164,11.10872873,13.24271211,12.57596704,7.864046038,7.690979444,7.119340043,8.82293518,6.914402368,7.347731011,6.75302203,5.814384944,5.198310615,2.621408368,1.97016349,1.28946977,1.998405116,0.000233984,0.000266882,0.000587525,0.001140841,0.001592807,0.00299809,0.004378586,0.008269287,0.009019209,0.015963394,0.030471796,0.047463191,0.089152259,0.071009087,0.083760407,0.079239743,0.192497148,0.006176393,0.007044778,0.015508659,0.030114323,0.042044627,0.079139294,0.115579666,0.206008205,0.20013477,0.28367416,0.38988491,0.421090171,0.528161136,0.306651863,0.287839042,0.227765047,0.359712921,0.000310195,0.00035381,0.000778891,0.001512429,0.002111604,0.003974606,0.005806185,0.010953496,0.011956897,0.021162912,0.040396911,0.062922657,0.118190541,0.094137717,0.111042497,0.105153031,0.255690677,,,,,,,,,,,,,,,,,,,,
Belarus,2.4,Enhanced social distancing of elderly,0.350626812,9449.321,4290.678829,18.90037441,128.6894186,25.05422051,548.121,595.719,485.256,443.627,425.472,652.33,814.015,716.333,652.631,632.77,592.26,753.531,665.034,578.217,269.539,256.023,368.443,263.7077206,434.6666273,342.9015241,282.8036544,218.9361791,260.0870396,456.6067538,425.3045232,377.7657668,320.2829136,259.5571001,244.8617979,208.4748561,72.14413604,48.75848099,30.2651469,43.55460846,0.007434633,0.010442648,0.015213135,0.025654816,0.044343991,0.10138687,0.280825482,0.398616239,0.492761066,0.695834167,1.171204694,1.998822282,3.575393191,1.954250746,2.072939758,1.859836133,4.195414559,0.196249176,0.275650796,0.401575061,0.677199651,1.170528489,2.676265728,7.412829831,9.930507188,10.9342877,12.3651759,14.98549777,17.73341418,21.18155781,8.439407616,7.123568435,5.345873752,7.839829522,0.009856191,0.013844026,0.02016832,0.03401097,0.058787417,0.134409777,0.372294925,0.528973248,0.654525995,0.92247784,1.55268345,2.649868421,4.739950612,2.590779435,2.748126258,2.466218209,5.557245413,,,,,,,,,,,,,,,,,,,,
Belgium,2.4,Enhanced social distancing of elderly,0.353697088,11589.616,5714.757375,34.23915099,202.1267506,45.40250021,633.653,669.05,671.469,640.782,657.702,728.383,746.195,757.802,751.566,766.873,795.492,803.249,735.907,633.969,555.598,383.815,658.111,264.977974,333.0058619,422.9860303,451.1473103,442.2770659,425.1143877,476.3616235,474.3494893,446.5327913,451.1806432,410.2942532,409.0395184,298.8256257,133.9118791,128.6568872,53.81749688,92.27853702,0.007470445,0.008000299,0.018766156,0.040926279,0.089580124,0.165717665,0.29297526,0.444583584,0.582461392,0.980217469,1.851378965,3.339015358,5.124930303,3.627424264,5.469776156,3.307161389,8.888765883,0.197194488,0.211180995,0.495362747,1.080314191,2.36460647,4.374378161,7.733542318,11.07566639,12.9247233,17.41875004,23.68828906,29.62351522,30.36141809,15.66498671,18.7966508,9.50603494,16.61013666,0.00992285,0.010606155,0.024878624,0.054256575,0.118757463,0.219694089,0.388401694,0.589535863,0.771528122,1.29948908,2.454400563,4.426581841,6.794197049,4.808932795,7.251356885,4.384356269,11.7956043,,,,,,,,,,,,,,,,,,,,
Belize,2.4,Enhanced social distancing of elderly,0.344758218,397.621,191.6011298,0.484509236,3.504707351,0.642421671,39.446,38.66,37.997,39.853,39.341,36.478,32.103,27.612,23.055,20.903,17.481,14.329,10.45,7.364,5.019,3.292,4.238,17.3455294,25.84452444,27.71302546,25.25862278,14.91038097,13.86631225,12.26900246,13.53535509,9.687678268,8.92280454,7.583339402,5.095172327,4.267763584,2.0262284,1.303184349,0.862218138,1.109987992,0.000489017,0.000620902,0.001229513,0.002291361,0.003019993,0.005405352,0.007545768,0.012685998,0.012636695,0.019385337,0.034218454,0.041592213,0.073193157,0.054886767,0.055404159,0.052984525,0.106920024,0.012908404,0.016389719,0.032454974,0.060484121,0.079717413,0.142682758,0.199182396,0.316039293,0.280406195,0.34448309,0.437823183,0.369003258,0.43361527,0.237027821,0.190394014,0.152297603,0.199797839,0.000647752,0.000823142,0.001629988,0.003037692,0.004003643,0.00716595,0.010003531,0.016818027,0.016769192,0.025749217,0.045363912,0.055139413,0.097033266,0.07276418,0.073450121,0.070242355,0.141780289,,,,,,,,,,,,,,,,,,,,
Benin,2.4,Enhanced social distancing of elderly,0.358949993,12123.198,6710.939437,15.30850105,112.9893088,20.29435396,1908.329,1688.621,1488.071,1291.415,1115.836,945.932,785.32,651.123,538.732,443.1,363.185,287.496,218.586,160.597,111.041,73.794,52.02,746.2247703,949.8964919,987.9833419,809.5727551,603.5554617,490.6221523,454.6193986,408.6156735,323.8994463,238.7016864,197.4115717,170.9129241,139.3198354,80.52818396,57.02488531,30.52952029,21.52133839,0.021038091,0.022820788,0.04383277,0.073441202,0.122245934,0.191253837,0.279603205,0.382974631,0.422497353,0.518593974,0.890784183,1.395172967,2.389368196,2.181359043,2.42438135,1.876082251,2.073051271,0.555334504,0.602392059,1.157036184,1.938597252,3.226871252,5.048445525,7.380565906,9.540836416,9.375147362,9.215566032,11.3975332,12.37787886,14.15523773,9.420171982,8.331282369,5.392571253,3.873840911,0.027918012,0.030312576,0.058109875,0.097362084,0.162062987,0.253547636,0.370674289,0.507715016,0.560248531,0.686929596,1.180925799,1.84960144,3.167620918,2.891860365,3.214040041,2.487147915,2.748276882,,,,,,,,,,,,,,,,,,,,
Bhutan,2.4,Enhanced social distancing of elderly,0.350982623,771.612,434.8356108,1.566399631,10.20247479,2.076874343,63.855,61.973,66.263,69.73,74.308,79.006,75.718,62.963,50.275,39.329,33.389,25.625,21.303,15.605,12.754,9.48,10.036,36.13583376,42.74260493,45.22267699,40.51902328,39.26507188,42.76830035,41.26307295,34.07376957,26.42899895,21.13585796,18.63648058,13.25416118,13.87170064,7.307194677,5.455563508,3.281422441,3.473877175,0.001018767,0.00102687,0.002006345,0.003675724,0.007952865,0.016671896,0.025377904,0.031935606,0.034474224,0.045918941,0.084093764,0.108194553,0.237902954,0.197938342,0.231940255,0.201648056,0.334622567,0.026891998,0.027105907,0.052960684,0.09702657,0.209928233,0.440080892,0.669889649,0.795594204,0.764977411,0.815992956,1.075974951,0.95989465,1.409398882,0.854794274,0.797052722,0.579612918,0.625297892,0.001350924,0.001360196,0.002659848,0.004872961,0.010543214,0.022102153,0.033643895,0.04233747,0.045703016,0.060935539,0.111700306,0.143435116,0.315391498,0.262409822,0.307486549,0.267327847,0.443613988,,,,,,,,,,,,,,,,,,,,
Bolivia,2.4,Enhanced social distancing of elderly,0.351396959,11673.029,5590.004743,16.35608916,106.8002129,21.68273311,1185.499,1179.088,1161.012,1136.684,1065.189,974.345,870.945,768.154,667.885,570.458,480.562,403.03,336.191,279.127,225.44,166.501,202.919,513.4405685,782.0711913,840.4746158,723.2856353,411.8407009,382.1941262,341.7216079,384.0727232,280.5238757,249.4541223,212.8033247,143.4938097,130.7271021,68.26620107,48.31343291,34.84960559,42.47209997,0.014475276,0.018788869,0.037288413,0.06561358,0.083415451,0.148986532,0.210168015,0.359971776,0.365917868,0.541954297,0.960236698,1.171349009,2.242000783,1.849204685,2.054018786,2.141557611,4.091141509,0.382098364,0.495962959,0.984287387,1.731974719,2.201880361,3.932733606,5.547714982,8.967778923,8.119657825,9.630685776,12.2861742,10.39212806,13.2821949,7.985767503,7.058547326,6.155648026,7.644977995,0.019190076,0.024933371,0.049529664,0.086984889,0.110584917,0.197513409,0.278622883,0.477219961,0.485102537,0.718653496,1.271929318,1.552874695,2.97225389,2.451518067,2.723043444,2.839096298,5.423682192,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2.4,Enhanced social distancing of elderly,0.347573865,3280.815,1438.04814,6.771147663,45.24978315,8.978972284,133.254,161.958,181.24,165.035,216.168,187.104,216.385,242,220.803,226.935,231.338,268.844,241.967,221.828,143.428,99.07,123.458,71.34964027,121.7569915,125.5498585,103.2922542,96.66479976,80.01965699,128.8389236,142.7469254,127.3366955,112.8355825,95.27894042,86.03858301,73.64086465,25.93515031,20.89533775,11.516467,14.35146848,0.002011539,0.002925151,0.005570132,0.00937026,0.019578779,0.031193183,0.079239417,0.133789413,0.166099132,0.245142186,0.429929068,0.702338374,1.262958282,0.702535086,0.888353688,0.707703204,1.38241077,0.053097831,0.077214144,0.147032569,0.247342909,0.516812262,0.823393068,2.091648905,3.333022084,3.685712644,4.356248072,5.500918097,6.231097874,7.482092857,3.033889059,3.052789287,2.034207164,2.583264327,0.002666723,0.003878883,0.007378212,0.012422293,0.025955835,0.041353209,0.10504892,0.177366704,0.220199849,0.324988925,0.570526105,0.932904004,1.674322606,0.931361228,1.177703763,0.938212395,1.832682629,,,,,,,,,,,,,,,,,,,,
