Country,R0,Strategy,Social_distance,total_pop,total_infected,total_deaths,total_hospital,total_critical,pop_0_5,pop_5_10,pop_10_15,pop_15_20,pop_20_25,pop_25_30,pop_30_35,pop_35_40,pop_40_45,pop_45_50,pop_50_55,pop_55_60,pop_60_65,pop_65_70,pop_70_75,pop_75_80,pop_80_200,infected_0_5,infected_5_10,infected_10_15,infected_15_20,infected_20_25,infected_25_30,infected_30_35,infected_35_40,infected_40_45,infected_45_50,infected_50_55,infected_55_60,infected_60_65,infected_65_70,infected_70_75,infected_75_80,infected_80_200,deaths_0_5,deaths_5_10,deaths_10_15,deaths_15_20,deaths_20_25,deaths_25_30,deaths_30_35,deaths_35_40,deaths_40_45,deaths_45_50,deaths_50_55,deaths_55_60,deaths_60_65,deaths_65_70,deaths_70_75,deaths_75_80,deaths_80_200,hospitalisations_0_5,hospitalisations_5_10,hospitalisations_10_15,hospitalisations_15_20,hospitalisations_20_25,hospitalisations_25_30,hospitalisations_30_35,hospitalisations_35_40,hospitalisations_40_45,hospitalisations_45_50,hospitalisations_50_55,hospitalisations_55_60,hospitalisations_60_65,hospitalisations_65_70,hospitalisations_70_75,hospitalisations_75_80,hospitalisations_80_200,critical_0_5,critical_5_10,critical_10_15,critical_15_20,critical_20_25,critical_25_30,critical_30_35,critical_35_40,critical_40_45,critical_45_50,critical_50_55,critical_55_60,critical_60_65,critical_65_70,critical_70_75,critical_75_80,critical_80_200,,,,,,,,,,,,,,,,,,,,
Afghanistan,2.4,Enhanced social distancing of elderly,0.355009881,38928.341,21902.60864,49.00679413,360.6759886,64.97695624,5672.509,5416.223,5192.114,4629.445,3926.485,3109.386,2478.259,2056.387,1658.723,1304.736,1032.359,807.839,612.638,444.858,312.451,168.004,105.925,2603.173414,3200.817851,3156.37962,2449.404872,2001.614033,1789.440597,1516.994642,1245.687781,971.3102797,771.259527,640.2548822,469.2567586,472.839026,263.0790804,182.4995204,103.4024485,65.194307,0.073390487,0.076898048,0.140035623,0.222200212,0.405412911,0.697557944,0.932992664,1.167519627,1.266985871,1.675608369,2.88903491,3.830572484,8.109301358,7.126324012,7.758865821,6.354226875,6.279866917,1.93726083,2.029849854,3.69646458,5.865327761,10.70150332,18.41313796,24.62780729,29.08577452,28.11420986,29.77604895,36.96503816,33.98457632,48.04160728,30.77494189,26.66300911,18.26445571,11.73497526,0.097212898,0.101945266,0.185647694,0.294574083,0.537461048,0.924762168,1.236881583,1.54779923,1.681320162,2.22568233,3.830036377,5.078246633,10.75062243,9.447470877,10.28604431,8.423890839,8.327358315,,,,,,,,,,,,,,,,,,,,
Albania,2.4,Enhanced social distancing of elderly,0.350134885,2877.8,1290.662296,5.351736882,36.40847164,7.094711894,166.278,167.554,162.181,199.597,228.356,244.323,223.924,166.849,152.51,170.509,184.185,201.906,186.459,143.783,108.132,86.536,84.718,77.54503434,122.6043226,112.8233372,117.6091717,93.94971569,88.24117949,128.1668834,106.2779152,94.01923373,89.25819318,77.60359977,67.28780301,58.29537756,18.96540244,17.19782039,10.51914943,10.29815685,0.002186204,0.002945508,0.005005509,0.010669034,0.019028857,0.034398088,0.078826094,0.09960887,0.122639535,0.193918869,0.350172275,0.549274575,0.999779541,0.513737552,0.731155789,0.646416628,0.991973954,0.057708394,0.077751493,0.132128426,0.281626099,0.502296236,0.907991589,2.080738598,2.481501003,2.721351275,3.445994813,4.480434443,4.873126353,5.92295365,2.21856925,2.512585461,1.85804632,1.853668233,0.002901141,0.003912481,0.006635891,0.014144095,0.025226797,0.045601982,0.104500971,0.132052921,0.16262497,0.25686494,0.464228578,0.728181429,1.325422592,0.68106957,0.969304596,0.856963368,1.315075571,,,,,,,,,,,,,,,,,,,,
Algeria,2.4,Enhanced social distancing of elderly,0.355957003,43851.043,22564.5343,79.59968629,584.7477963,105.544828,5041.518,4635.972,3821.402,2910.345,2999.837,3573.878,3727.719,3547.516,3014.029,2434.59,2061.884,1738.172,1387.342,1143.2,723.938,513.896,575.805,905.192338,1987.746773,2369.060218,1970.975448,1681.202834,1923.211962,2304.859836,2173.020902,1823.606097,1581.038114,1199.281015,1095.035779,648.8381647,380.5392183,227.830915,138.221574,154.8731133,0.025519816,0.047754622,0.105105489,0.178799009,0.340515866,0.749704564,1.417551031,2.036661668,2.378728206,3.434901745,5.41153971,8.938846052,11.1277283,10.30810114,9.686104904,8.493911443,14.91821273,0.673636896,1.26056142,2.774427742,4.719684011,8.988445034,19.78962992,37.41848672,50.73823229,52.78359099,61.03920486,69.24034429,79.30482902,65.92355237,44.51540697,33.28588343,24.4147199,27.87716039,0.033840268,0.063255999,0.139340199,0.237036483,0.451426156,0.993893226,1.879270161,2.700030167,3.153517065,4.558197223,7.188055533,11.85036022,14.75219552,13.66560395,12.84100929,11.2605056,19.77729091,,,,,,,,,,,,,,,,,,,,
Angola,2.4,Enhanced social distancing of elderly,0.359781003,32866.268,18003.59012,34.03216324,269.495796,45.11548147,5795.004,5104.164,4349.261,3532.518,2882.566,2423.471,2040.757,1658.972,1330.695,1082.04,787.212,677.39,481.968,303.929,212.513,119.216,84.592,2165.337679,2764.155711,2815.03776,2189.401345,1565.604881,1266.656264,1184.698795,1049.363401,812.3753063,595.1620918,454.9137678,416.6736469,324.7243082,174.1735758,123.9901502,59.26723208,42.05420158,0.061046716,0.066407459,0.124891684,0.198613732,0.317102309,0.493766678,0.728621746,0.983514798,1.059669661,1.293025949,2.052716493,3.40133323,5.569098846,4.718038901,5.27137242,3.642055333,4.050887284,1.611426978,1.752933571,3.296716056,5.242725135,8.370407864,13.03374729,19.2331158,24.50176339,23.51389698,22.97744787,26.26439134,30.17639511,32.99278789,20.3747925,18.11484488,10.46864703,7.569756285,0.080930491,0.088124608,0.165891834,0.263305148,0.420386534,0.654592988,0.965944754,1.30386026,1.404819181,1.714605129,2.719027812,4.509197739,7.383037434,6.254774119,6.988337306,4.828329513,5.370316618,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2.4,Enhanced social distancing of elderly,0.315974068,97.928,42.81804533,0.155582312,1.039864029,0.206309369,7.355,7.228,6.814,7.053,7.579,7.315,7.066,7.028,6.916,6.944,6.799,6.033,4.658,3.385,2.501,1.6,1.654,3.544479447,4.989849982,5.133826141,4.674549471,3.058504524,2.913631381,2.724032033,3.249066852,2.541934683,2.563719367,2.374280161,1.804557697,1.462233748,0.671501743,0.4745432,0.313379178,0.323955725,9.99E-05,0.000119879,0.000227767,0.000424056,0.000619479,0.001135789,0.001675353,0.003045185,0.003315722,0.005569837,0.010713512,0.014730718,0.025077655,0.018189736,0.020174941,0.019257594,0.031205161,0.002637773,0.003164393,0.00601227,0.011193643,0.016352102,0.029980932,0.044223581,0.075863011,0.073575341,0.098977621,0.137078778,0.130689921,0.148566543,0.078552149,0.069330317,0.055353623,0.05831203,0.000132415,0.000158976,0.0003017,0.000562179,0.00082125,0.00150573,0.002221041,0.004037049,0.004395697,0.007384022,0.014217085,0.01956656,0.03324582,0.024114405,0.026746221,0.025530071,0.041369148,,,,,,,,,,,,,,,,,,,,
Argentina,2.4,Enhanced social distancing of elderly,0.344891316,45195.777,20157.74035,77.86721999,470.0142512,103.2256108,3736.651,3709.817,3597.262,3539.449,3477.335,3520.249,3318.98,3122.432,3089.901,2637.843,2301.731,2123.209,1883.733,1645.009,1337.223,963.414,1191.539,1733.761202,2524.174133,2667.431156,2319.885347,1402.371818,1384.886007,1275.080845,1480.896749,1156.76927,1048.438545,907.0304002,676.9817542,619.6574966,331.4487319,244.7548936,171.7516282,212.4203752,0.048879409,0.060642021,0.118342984,0.210450719,0.284040595,0.539854878,0.784209147,1.387968997,1.508900247,2.277796694,4.092811415,5.52624471,10.62727292,8.978330979,10.40561846,10.55438075,20.46147506,1.290251216,1.600745413,3.123852634,5.555181212,7.497692574,14.25031775,20.70043259,34.57770847,33.48225042,40.47711094,52.3672904,49.028464,62.95872477,38.77281101,35.75846086,30.33728942,38.23566753,0.064800015,0.080394386,0.157044287,0.279538068,0.376556192,0.715692684,1.039638189,1.840050567,2.000371261,3.019708564,5.427233777,7.32006227,14.08873416,11.90270705,13.79488249,13.99210093,27.12609591,,,,,,,,,,,,,,,,,,,,
Armenia,2.4,Enhanced social distancing of elderly,0.353248095,2963.234,1413.928745,5.397503239,38.04366163,7.159059931,204.987,213.872,198.453,170.477,176.497,232.427,267.191,236.762,190.759,162.329,163.255,199.398,197.081,131.321,84.343,42.4,91.682,93.86816342,154.2306469,135.2622398,105.3836512,81.707414,88.80056302,149.4065209,140.4546485,114.0628808,89.29179006,76.00453612,68.49182153,63.27406758,19.40202901,15.87849741,5.821461776,12.5878127,0.002646397,0.003705314,0.006001031,0.009559983,0.016549265,0.034616147,0.091889044,0.131640979,0.148784648,0.193991861,0.342956788,0.559103054,1.085165255,0.525564956,0.675065505,0.357737069,1.212525943,0.069855936,0.097807832,0.158406826,0.252350953,0.436843541,0.913747581,2.425555702,3.279499325,3.301507082,3.447291889,4.388112696,4.960323946,6.428800794,2.269645745,2.31983361,1.028271887,2.265806286,0.003508363,0.004912207,0.007957627,0.012663151,0.021939569,0.04589108,0.121818713,0.174518415,0.197246088,0.2571777,0.454663225,0.741943031,1.441406517,0.696749273,0.894944384,0.474257396,1.607463192,,,,,,,,,,,,,,,,,,,,
Aruba,2.4,Enhanced social distancing of elderly,0.314522809,106.766,43.7015037,0.212946064,1.288325889,0.282274453,6.08,5.677,6.8,7.21,7.565,7.415,5.424,5.82,6.74,7.531,8.142,9.063,7.706,6.048,4.302,2.656,2.587,3.219336019,4.086661074,5.09563926,4.766238061,3.09044235,2.969733126,2.339348008,2.930652967,2.525191081,2.744518576,2.710065157,2.501988533,2.098665671,1.013127965,0.715145928,0.453262598,0.441487327,9.08E-05,9.82E-05,0.000226073,0.000432374,0.000625947,0.001157658,0.001438762,0.002746752,0.003293882,0.005962634,0.012228681,0.02042389,0.035992614,0.027443756,0.030404032,0.027853628,0.042526438,0.002395804,0.002591622,0.005967549,0.0114132,0.016522855,0.030558212,0.037978389,0.068428311,0.073090704,0.105957744,0.156465284,0.181199351,0.213229591,0.118515521,0.104482151,0.080061882,0.079467719,0.000120235,0.000130254,0.000299708,0.00057377,0.000831433,0.001534722,0.00190739,0.003641409,0.004366745,0.007904754,0.01621174,0.027082905,0.04767581,0.036382596,0.040307077,0.036925968,0.056377936,,,,,,,,,,,,,,,,,,,,
Australia,2.4,Enhanced social distancing of elderly,0.352013647,25499.881,11689.10766,49.90987489,329.13594,66.18860221,1669.707,1639.267,1610.574,1519.906,1594.568,1780.886,1875.461,1842.883,1628.711,1677.349,1558.324,1549.411,1418.526,1232.661,1083.379,762.997,1055.271,766.9554346,1197.584235,1103.785905,927.2145161,723.2418211,703.5765678,1091.337036,1109.152958,961.6120835,856.6348937,684.1664386,544.5270889,473.7979517,170.1433273,164.6993691,88.40649979,122.2715364,0.021622544,0.028771362,0.048970455,0.084113192,0.146487568,0.274267514,0.671201743,1.0395525,1.254335456,1.861091561,3.087177904,4.445008932,8.125747162,4.60886695,7.002102268,5.432704596,11.77785318,0.570762099,0.759467204,1.292653607,2.22030139,3.866766832,7.239721971,17.71742462,25.89779986,27.83349923,33.07213932,39.50026655,39.43581434,48.13903649,19.90333478,24.06242366,15.6156515,22.00887655,0.028665282,0.038142766,0.064920976,0.111537493,0.194037075,0.363600031,0.889822476,1.378150146,1.662891009,2.467278421,4.092713766,5.892818264,10.78306051,6.121879285,9.282790939,7.202217531,15.61407624,,,,,,,,,,,,,,,,,,,,
Austria,2.4,Enhanced social distancing of elderly,0.346207741,9006.4,3867.343281,19.53024815,123.6327695,25.89106254,448.166,426.016,423.838,452.37,508.761,606.616,620.374,623.042,565.684,612.581,713.443,693.557,582.363,450.957,407.288,383.149,488.195,220.3009531,321.6139177,301.4164626,281.8678924,238.5505776,239.2270082,363.3539279,372.6321164,329.6472114,303.9277051,278.2922725,225.1534165,182.8834551,59.62701387,57.90546149,39.99001555,50.95387341,0.006210879,0.007726614,0.013372613,0.025569928,0.04831675,0.093255233,0.223472476,0.349249078,0.429994789,0.660301479,1.255743787,1.837941523,3.136494598,1.615185138,2.461818558,2.457443081,4.908151626,0.163946207,0.203956612,0.352991532,0.674958882,1.275395634,2.461618403,5.898907131,8.70065026,9.541514256,11.73374968,16.06717068,16.30609112,18.58140857,6.975156992,8.459933724,7.06362256,9.171697213,0.008233843,0.010243329,0.017728292,0.033898455,0.064117369,0.123869166,0.296260893,0.4630047,0.570050425,0.87537136,1.664758251,2.436585548,4.159119188,2.139473959,3.263669446,3.257868936,6.506809379,,,,,,,,,,,,,,,,,,,,
