"","Country","Supp_1.6_Inc_Abs","Supp_1.6_Death_Abs","Supp_1.6_Total_Hosp_Abs","Supp_1.6_Max_Hosp_Abs","Supp_1.6_Total_ICU_Abs","Supp_1.6_Max_ICU_Abs"
"1","Afghanistan",12492541,35740,231028,93549,46671,17463
"2","Albania",791708,3678,22518,9011,4908,1772
"3","Algeria",11844178,51775,335362,129273,68660,23767
"4","Angola",14015899,32104,228330,101100,42628,17255
"5","Antigua and Barbuda",16595,67,388,139,87,29
"6","Argentina",10771885,47284,252448,98319,63057,22150
"7","Armenia",882093,3757,23823,9476,5010,1809
"8","Aruba",24558,137,728,290,180,65
"9","Australia",6364134,30453,178754,68468,40158,13846
"10","Austria",1787891,9925,56037,20875,13144,4403
"11","Azerbaijan",3751721,12999,92747,38780,17181,6550
"12","Bahamas",129218,505,3078,1301,662,256
"13","Bahrain",653420,2256,18215,7711,2974,1189
"14","Bangladesh",47869670,197281,1198445,461468,264277,94005
"15","Barbados",74457,479,2325,973,642,238
"16","Belarus",2857561,14226,86703,35254,18898,6871
"17","Belgium",3062489,21190,113802,43671,28298,9692
"18","Belize",144480,432,2726,1167,566,222
"19","Benin",3863962,10842,71305,28402,14447,5238
"20","Bhutan",168830,741,4252,1517,975,316
"21","Bolivia",3074798,10069,59263,23009,13566,4716
"22","Bosnia and Herzegovina",676479,3414,20763,7701,4539,1536
"23","Botswana",780948,2573,16672,6659,3406,1241
"24","Brazil",49599016,206087,1182457,460361,272916,97044
"25","Brunei Darussalam",151838,659,4520,1832,869,327
"26","Bulgaria",1266255,6892,39682,14341,9113,2961
"27","Burkina Faso",7192476,17149,121390,49519,22848,8596
"28","Burundi",5194180,12284,85246,37615,16039,6586
"29","Cabo Verde",198436,754,4596,1884,978,367
"30","Cambodia",5379295,20144,139277,56525,26309,9888
"31","Cameroon",10545849,26251,183822,78484,34822,13670
"32","Canada",7547937,45828,250266,91140,61084,20043
"33","Central African Republic",1580702,4035,27236,10937,5392,1983
"34","Chad",7074291,16469,113850,50849,21889,9052
"35","Channel Islands",47063,256,1471,592,340,121
"36","Chile",4898942,24532,131122,53701,32685,11912
"37","China",380818659,2130919,13249047,4980780,2800348,949378
"38","Hong Kong SAR, China",840739,9863,44260,14154,13147,3627
"39","Macao SAR, China",153824,913,5637,2061,1196,394
"40","China, Taiwan Province of China",5556825,35834,208541,76920,47263,15469
"41","Colombia",9396845,35399,207846,75289,47565,15888
"42","Comoros",307732,846,5788,2365,1121,426
"43","Congo, Rep.",1838083,4813,33729,13567,6384,2366
"44","Costa Rica",1230399,5414,30053,11874,7166,2549
