"","Country","Supp_1.6_Inc_Abs","Supp_1.6_Death_Abs","Supp_1.6_Total_Hosp_Abs","Supp_1.6_Max_Hosp_Abs","Supp_1.6_Total_ICU_Abs","Supp_1.6_Max_ICU_Abs"
"45","Cote d'Ivoire",10180735,26328,181242,76759,34727,13706
"46","Croatia",1124214,6799,37028,15101,8977,3253
"47","Cuba",2672000,16875,84833,34586,22555,8152
"48","Curacao",29401,181,890,333,242,81
"49","Cyprus",345825,1575,9775,3926,2110,766
"50","Czechia",2121329,10909,64506,23910,14468,4853
"51","Korea, Dem. People’s Rep.",8429296,44555,276117,110979,58064,21202
"52","Congo, Dem. Rep.",28893669,76526,507173,203394,101773,37361
"53","Denmark",1705374,9853,53966,22362,13079,4799
"54","Djibouti",338221,1189,7682,3108,1580,588
"55","Dominican Republic",3283642,11722,68431,27936,15264,5641
"56","Ecuador",4848509,16951,100219,39984,22497,8064
"57","Egypt",37489323,139958,858847,358534,184412,70038
"58","El Salvador",1827341,6837,38772,15624,9006,3267
"59","Equatorial Guinea",621768,1460,10889,4834,1945,798
"60","Eritrea",1155789,3699,22669,9046,4934,1802
"61","Estonia",363654,2083,11480,4646,2789,1000
"62","Eswatini",368473,1134,7068,2788,1483,537
"63","Ethiopia",46677790,135203,866170,374982,176975,69858
"64","Fiji",271813,1126,7624,2996,1487,537
"65","Finland",1288219,7089,42430,16083,9455,3211
"66","France",13733534,114526,555458,201193,153311,49037
"67","French Guiana",145604,456,2980,1387,610,259
"68","French Polynesia",77910,382,2440,931,504,173
"69","Gabon",684128,2041,13636,5360,2705,978
"70","Gambia",1014433,2430,17068,7485,3221,1307
"71","Georgia",924779,4251,25739,9726,5629,1910
"72","Germany",19939326,148683,775379,291551,196038,65909
"73","Ghana",13380089,37539,261535,114101,49481,19926
"74","Greece",1842494,10957,59315,21621,14582,4703
"75","Grenada",24762,102,577,222,136,47
"76","Guadeloupe",81345,557,2568,999,737,250
"77","Guam",45242,227,1396,533,303,104
"78","Guatemala",6988370,19902,122558,53516,26038,10274
"79","Guinea",5031293,13072,88026,37264,17235,6691
"80","Guinea-Bissau",713806,1838,12684,5267,2429,935
"81","Guyana",257585,887,5376,2241,1188,450
"82","Haiti",4898851,14297,90639,40742,18858,7735
"83","Honduras",3025648,8515,53725,21712,11320,4192
"84","Hungary",3438229,20378,114235,50010,26997,10707
"85","Iceland",103217,496,2932,1191,657,242
"86","India",468704827,2085532,12362838,4974364,2783469,1007196
"87","Indonesia",78845604,339539,2271395,871351,447211,155293
"88","Iran (Islamic Republic of)",33682850,152376,1005480,432018,200130,78533
"89","Iraq",10036401,32114,232132,88687,42873,15055
"90","Ireland",1455362,6500,40200,15961,8666,3087
"91","Israel",2860327,11521,69964,28771,15296,5629
"92","Italy",17264552,131378,672505,286619,174750,65997
"93","Jamaica",509114,1930,11144,3980,2581,832
"94","Japan",20610477,143380,712619,261598,189285,60886
"95","Jordan",3097101,10769,76567,30458,14487,5258
"96","Kazakhstan",6503419,22379,153002,62429,29560,10737
"97","Kenya",23561108,57613,417515,182519,76014,30682
"98","Kiribati",41719,148,1038,435,196,76
"99","Kuwait",1315322,5133,40669,16094,6858,2575
"100","Kyrgyz Republic",1828711,5026,37454,14246,6582,2315
"101","Lao PDR",2746538,9767,68221,29128,12921,5041
"102","Latvia",522127,3102,17072,6972,4132,1511
"103","Lebanon",1850338,8260,53921,20498,11106,3841
"104","Lesotho",808346,2883,17652,7428,3763,1441
"105","Liberia",1746870,4963,32778,13278,6585,2442
"106","Libya",2158800,8438,59047,23392,11109,4072
"107","Lithuania",708891,4344,23384,9399,5732,2035
"108","Luxembourg",200400,966,6079,2480,1277,471
"109","Madagascar",8699415,24189,161533,63620,31637,11463
"110","Malawi",8072850,19646,136616,59517,26389,10661
"111","Malaysia",9817405,42814,286865,112648,57535,20674
"112","Maldives",182826,671,4374,1786,891,335
"113","Mali",10462673,23986,168237,78644,31680,13616
"114","Malta",120540,708,3900,1588,929,343
"115","Martinique",84017,674,2980,1213,892,323
"116","Mauritania",1810801,5092,34416,14634,6713,2636
"117","Mauritius",325976,2102,11072,4242,2782,962
"118","Mayotte",75183,244,1502,572,324,112
"119","Mexico",49765567,187758,1108957,491253,249163,100129
"120","Micronesia (Fed. States of)",32245,114,827,321,151,54
"121","Mongolia",911590,3555,25239,9742,4762,1683
"122","Montenegro",138564,638,3886,1440,838,277
"123","Morocco",10337466,46280,301345,115969,61940,21722
"124","Mozambique",11654408,29794,200397,83860,39646,15407
"125","Myanmar",13282160,55193,375585,137153,72825,24079
"126","Namibia",934800,2801,18451,7656,3736,1442
"127","Nepal",8087491,33206,195807,74733,44005,15224
"128","Netherlands",4822256,28186,153919,63083,36820,13330
"129","New Caledonia",73813,365,2318,861,480,162
"130","New Zealand",1504573,7540,43708,18047,9942,3687
"131","Nicaragua",2541675,7924,50030,21816,10694,4282
"132","Niger",9736065,23313,158619,68760,31259,12516
"133","Nigeria",87600110,218632,1542718,674293,288977,115582
"134","North Macedonia",633931,2925,18484,7560,3837,1418
"135","Norway",1510276,7688,44934,17982,10259,3653
"136","Oman",1412685,4706,37427,14435,6239,2257
"137","Pakistan",87105522,314407,1932753,819897,419187,163085
"138","Panama",1759545,7196,40520,18306,9535,3864
"139","Papua New Guinea",3072306,10103,73535,30874,13435,5216
"140","Paraguay",2098906,6665,40521,16375,8885,3245
"141","Peru",9560177,37133,216767,88846,49768,18502
"142","Philippines",44116068,174749,1165647,506571,232263,92070
"143","Poland",11316780,67077,385822,160137,89055,33131
"144","Portugal",1846189,11241,60362,22227,14863,4859
"145","Puerto Rico",716435,5468,24767,10349,7274,2667
"146","Qatar",952384,2867,26130,10808,3807,1499
"147","Korea, Rep.",12655406,64648,400012,157307,85863,30487
"148","Moldova",1333725,5796,38274,15891,7718,2928
"149","Réunion",288127,1481,7820,3366,1967,750
"150","Romania",5141228,28083,160083,64085,36952,13208
"151","Russian Federation",43066149,211955,1273264,515820,277334,100308
"152","Rwanda",4981005,13651,93194,39061,17936,6917
"153","St. Lucia",63176,307,1702,753,406,160
"154","St. Vincent and the Grenadines",44264,206,1143,519,276,112
"155","Samoa",56163,211,1419,559,281,100
"156","Sao Tome and Principe",70421,196,1301,519,261,96
"157","Saudi Arabia",10412730,39636,293921,114254,52456,19165
"158","Senegal",6983707,18625,124689,54139,24771,9865
"159","Serbia",2722900,14629,84750,35427,19445,7287
"160","Seychelles",20906,107,610,218,142,46
"161","Sierra Leone",3534860,9281,63787,28233,12224,5011
"162","Singapore",1027101,9910,49767,16923,13209,4001
"163","Slovakia",1344414,6509,39972,15358,8559,2945
"164","Slovenia",570306,3349,18702,7607,4464,1622
"165","Solomon Islands",242602,800,5583,2389,1052,411
"166","Somalia",5726111,14627,97410,40464,19490,7383
"167","South Africa",22629957,90469,613931,260261,119747,46365
"168","South Sudan",4922092,13802,90694,39857,18298,7310
"169","Spain",12582820,73562,410392,164857,97540,34706
"170","Sri Lanka",4552508,25691,141159,50109,34366,11064
"171","State of Palestine",1613193,5030,36311,14984,6576,2490
"172","Sudan",16504567,48953,316627,132346,64581,24863
"173","Suriname",210422,755,4585,1968,999,388
"174","Sweden",2578740,14518,79040,31355,19166,6792
"175","Switzerland",1859838,10111,58160,22150,13603,4592
"176","Syrian Arab Republic",4771873,17075,106850,40457,22562,7859
"177","Tajikistan",4314552,10643,81607,36226,14183,5823
"178","Thailand",15777357,90286,552896,200500,121120,39245
"179","Timor-Leste",406722,1364,9453,3862,1823,683
"180","Togo",2976242,7758,54533,22429,10369,3987
"181","Tonga",39901,157,1017,439,210,82
"182","Trinidad and Tobago",405172,1928,10845,4544,2549,972
"183","Tunisia",3001658,15612,87058,32726,20619,6892
"184","Turkey",24774436,85866,594628,231456,115485,40479
"185","Turkmenistan",1973188,5635,41229,16402,7327,2718
"186","Uganda",15324598,33823,242183,98691,44597,16711
"187","Ukraine",11824017,59515,358385,141122,78963,27959
"188","United Arab Emirates",3469776,9932,92733,38971,12988,5183
"189","United Kingdom",19009388,120735,640236,254138,160995,56851
"190","Tanzania",31069326,75749,532710,248742,100798,43642
"191","United States",82980824,474227,2605123,997609,627962,213248
"192","United States Virgin Islands",24863,170,800,323,225,81
"193","Uruguay",742688,4098,20042,7826,5519,1903
"194","Uzbekistan",13805024,40299,300361,129338,53229,20813
"195","Vanuatu",104326,346,2445,1029,458,178
"196","Venezuela (Bolivarian Republic of)",10936165,40968,244006,107440,54533,21667
"197","Vietnam",24722462,120476,762331,283435,157620,52796
"198","Western Sahara",202349,625,4533,1818,826,306
"199","Yemen",10843028,28558,195614,80940,38103,14577
"200","Zambia",7825201,17377,125150,54947,23019,9356
"201","Zimbabwe",5670689,14960,100576,42104,19899,7677
