"","Country","Supp_0.2_Inc_Abs","Supp_0.2_Death_Abs","Supp_0.2_Total_Hosp_Abs","Supp_0.2_Max_Hosp_Abs","Supp_0.2_Total_ICU_Abs","Supp_0.2_Max_ICU_Abs"
"169","Spain",3300993,17058,97423,29353,22367,6118
"170","Sri Lanka",1253461,6961,37859,10936,9201,2452
"171","State of Palestine",306610,990,7193,2088,1318,357
"172","Sudan",4131092,12370,80003,23867,16327,4413
"173","Suriname",58455,185,1137,352,243,69
"174","Sweden",701216,3395,19513,5791,4570,1203
"175","Switzerland",431744,2053,12306,3535,2772,727
"176","Syrian Arab Republic",1203371,4190,26658,7701,5687,1543
"177","Tajikistan",839624,1931,15234,4524,2503,676
"178","Thailand",3191552,17059,106881,30464,22552,5902
"179","Timor-Leste",105737,350,2494,747,470,130
"180","Togo",827218,2251,15316,4608,2961,836
"181","Tonga",6215,23,156,45,31,8
"182","Trinidad and Tobago",125306,526,3013,945,709,195
"183","Tunisia",548760,2727,15231,4282,3546,903
"184","Turkey",10571366,34178,238983,75631,44539,12891
"185","Turkmenistan",582026,1531,11520,3396,2021,562
"186","Uganda",6292587,14564,102499,33009,19271,5752
"187","Ukraine",2725250,12202,75679,22250,15891,4292
"188","United Arab Emirates",786349,2664,22326,6620,3579,1041
"189","United Kingdom",3805866,21825,117324,34153,28865,7386
"190","Tanzania",7095696,18589,125484,39275,24781,7153
"191","United States",16267291,84124,481013,135695,112144,28632
"192","United States Virgin Islands",6426,39,185,56,51,14
"193","Uruguay",237372,1209,5944,1830,1611,438
"194","Uzbekistan",2422678,6356,48914,14025,8573,2385
"195","Vanuatu",17754,61,431,121,80,21
"196","Venezuela (Bolivarian Republic of)",1930068,6081,37577,11208,8053,2124
"197","Vietnam",5574980,25994,166984,48139,34180,9077
"198","Western Sahara",55077,170,1216,360,223,62
"199","Yemen",2516141,6630,45759,13635,9107,2504
"200","Zambia",2181808,5234,36604,11360,7024,2070
"201","Zimbabwe",1600768,4462,28960,8890,5826,1640
