,Country,Unmit_Inc_Abs,Unmit_Death_Abs,Unmit_Total_Hosp_Abs,Unmit_Max_Hosp_Abs,Unmit_Total_ICU_Abs,Unmit_Max_ICU_Abs
121,Mongolia,2910923,10970,76238,31598,14496,5390
122,Montenegro,541238,4386,21856,8138,5817,1835
123,Morocco,33007185,177366,1027568,418234,235102,82813
124,Mozambique,28765983,64288,450800,189972,84882,32113
125,Myanmar,48995734,224280,1426350,585376,296811,107239
126,Namibia,2352352,6679,45192,18841,8876,3289
127,Nepal,27306425,111877,668977,282618,147773,54748
128,Netherlands,14365190,144137,659956,245262,191297,58804
129,New Caledonia,257682,1661,9209,3720,2206,769
130,New Zealand,4135860,34945,167724,62678,46380,14482
131,Nicaragua,5880597,23524,141121,54323,31231,10448
132,Niger,22040235,44518,317948,134026,59161,22510
133,Nigeria,189732638,413526,3104658,1295587,547352,207005
134,North Macedonia,1805547,13626,72260,26683,18032,5697
135,Norway,4633217,41268,195366,72851,54643,16989
136,Oman,4531573,11870,103083,41805,15723,5884
137,Pakistan,206813615,691824,4403621,1864806,917211,343609
138,Panama,3780459,20801,110940,42418,27655,9035
139,Papua New Guinea,7827395,22930,169143,69848,30529,11297
140,Paraguay,6308582,27638,157099,60631,36816,12199
141,Peru,28675674,157650,861401,326720,210209,67965
142,Philippines,97582964,405302,2548034,1050472,537561,194819
143,Poland,32122997,297828,1445691,551940,395737,126362
144,Portugal,8431162,95850,419676,155409,127172,38866
145,Puerto Rico,2325498,26307,112170,43734,35035,11151
146,Qatar,2598643,5795,62542,24347,7693,2743
147,"Korea, Rep.",43595642,380712,1950636,714282,505263,156081
148,Moldova,3523427,24013,134447,49890,31935,10184
149,Réunion,766270,5735,28282,10821,7621,2455
150,Romania,16283637,154904,731837,271767,205971,63579
151,Russian Federation,126202684,1044154,5210604,1944898,1385319,436235
152,Rwanda,11987296,29846,214305,89250,39441,14831
153,St. Lucia,155980,1030,5398,2026,1366,436
154,St. Vincent and the Grenadines,95776,605,3164,1200,801,259
155,Samoa,172083,681,4221,1732,899,324
156,Sao Tome and Principe,203133,511,3529,1482,674,252
157,Saudi Arabia,31434568,103202,822986,340586,137024,51551
158,Senegal,15447748,37292,259076,108551,49324,18431
159,Serbia,7405560,67524,323990,119850,89481,27648
160,Seychelles,89831,539,3031,1240,714,252
161,Sierra Leone,7378611,17280,124770,52121,22779,8564
162,Singapore,5476249,49923,258746,111912,66099,24426
163,Slovakia,4682682,39403,199810,73655,52307,16293
164,Slovenia,1742828,18053,82852,30670,23949,7369
165,Solomon Islands,589862,1799,12101,5035,2390,883
166,Somalia,14564497,32737,223862,94340,43168,16348
167,South Africa,53021201,217343,1406692,578915,288338,104612
168,South Sudan,10332593,26854,180560,75753,35587,13394
169,Spain,39331479,410968,1865322,693130,545853,167803
170,Sri Lanka,19841593,138452,721203,299722,183192,64747
171,State of Palestine,4395175,12013,85259,35359,16026,5942
172,Sudan,40589416,113695,751642,315495,150596,56112
173,Suriname,515898,2505,14476,5523,3321,1095
174,Sweden,8496869,84777,379197,141485,112952,34845
175,Switzerland,7294512,72337,334363,123764,95906,29353
176,Syrian Arab Republic,16243203,59077,376968,156189,78343,28623
177,Tajikistan,8607513,23073,170117,67199,30722,10873
178,Thailand,62828210,536081,2720705,1079038,707576,239456
179,Timor-Leste,1134428,3842,24366,9988,5065,1823
180,Togo,7656800,17559,131333,54802,23439,8813
181,Tonga,92665,403,2346,960,535,190
182,Trinidad and Tobago,1189922,8150,43011,16157,10783,3432
183,Tunisia,10829721,65681,359179,147277,87060,30688
184,Turkey,75638628,405452,2321985,886555,538771,177357
185,Turkmenistan,5466961,19367,131528,51424,25651,8855
186,Uganda,41902539,71610,572142,239347,95681,36570
187,Ukraine,37537514,328913,1620489,600963,438024,136218
188,United Arab Emirates,8900753,18606,209171,80858,24647,8822
189,United Kingdom,59462912,601823,2683313,1054670,796883,259936
190,Tanzania,54993789,118017,876453,365633,156898,59504
191,United States,293011173,2654410,12452700,4896026,3526519,1158327
192,United States Virgin Islands,86386,906,3982,1542,1203,383
193,Uruguay,2939850,25683,113846,43823,33991,10775
194,Uzbekistan,30264963,108671,748181,290785,144635,49554
195,Vanuatu,266284,810,5594,2322,1075,400
196,Venezuela (Bolivarian Republic of),25059281,128323,721896,276487,170283,56027
197,Vietnam,87684406,517491,2938204,1200642,688330,242573
198,Western Sahara,551289,1634,12736,5146,2145,788
199,Yemen,27588973,64276,464007,193408,85061,31918
200,Zambia,16904019,30969,242707,101116,41261,15592
201,Zimbabwe,13767424,32726,227962,95738,43543,16371
