country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.27687073,99.29058838,99.3052063,100,100,100,100,100,100,91.660398,100,100,100,100,100,100,100,100,100,93.35629215,100,100,100,100,100,100,100,,
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,26.92931747,33.01575089,42.4,45.23712158,42.7,43.22201891,69.1,70.15348053,89.5,71.5,97.7,97.7,,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,25.07325554,26.14588165,27.19437218,28.21688461,29.22390366,37.5,31.24573517,32.28768539,33.36841965,34.6,35.67078781,36.878685,32,42,40.62452698,41.88623047,,
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.26256561,76.65349815,79.02110165,80.20927897,84.11696145,82.86336534,85.08340737,84.67445838,86.00761988,86.42827172,87.07057557,88.17683639,87.34273859,89.13012075,89.67868506,90.2736866,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.51106347,96.10918427,96.38056946,96.62782288,96.84909058,97.05487061,97.2587204,97.47422028,97.71492767,98.82,99.34118652,99.60309601,99.57840729,100,99.82357788,99.9668808,100,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,100,98,99.23591614,99.2819519,99.8,99.30657959,99.30921936,99.32350922,99.36300659,99.8,99.89261627,99.97852325,100,100,100,100,100,,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
